List of Banks in Peer Group -- MESVG All Insured Savings Banks in Maine

Reporting Period End Date	09/30/2018
Number of Banks in Peer Group	19

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
419406	18408	SI	BANGOR SAVINGS BANK	BANGOR	ME	62	4,077,326	22,876
229173	28288	SI	AUBURN SAVINGS BANK, FSB	AUBURN	ME	2	75,029	270
583071	29636	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF BATH	BATH	ME	5	127,587	958
339607	17743	SI	SACO & BIDDEFORD SAVINGS INSTITUTION	SACO	ME	6	964,911	6,046
583905	17897	SI	KENNEBEC SAVINGS BANK	AUGUSTA	ME	4	987,484	7,493
433505	17749	SI	BATH SAVINGS INSTITUTION	BATH	ME	10	879,707	7,146
95677	28369	SI	ROCKLAND SAVINGS BANK, FSB	ROCKLAND	ME	2	72,423	18
111205	17115	SI	SANFORD INSTITUTION FOR SAVINGS	SANFORD	ME	9	559,193	3,431
289702	17658	SI	NORWAY SAVINGS BANK	NORWAY	ME	24	1,162,602	11,218
463977	29661	SI	KENNEBEC FEDERAL SAVINGS & LOAN ASSOCIATION	WATERVILLE	ME	2	93,572	182
132107	17751	SI	ANDROSCOGGIN SAVINGS BANK	LEWISTON	ME	12	982,070	4,954
137205	19531	SI	MACHIAS SAVINGS BANK	MACHIAS	ME	17	1,347,139	11,801
247908	13063	SI	KENNEBUNK SAVINGS BANK	KENNEBUNK	ME	19	1,178,111	7,395
401906	19532	SI	SKOWHEGAN SAVINGS BANK	SKOWHEGAN	ME	17	593,438	3,283
548203	17476	SI	MECHANICS SAVINGS BANK	AUBURN	ME	4	402,222	2,762
351878	29743	SI	AROOSTOOK COUNTY FEDERAL SAVINGS & LOAN ASSOCIATION	CARIBOU	ME	2	121,018	514
106676	30878	SI	BAR HARBOR SAVINGS AND LOAN ASSOCIATION	BAR HARBOR	ME	1	104,761	746
241607	17748	SI	GORHAM SAVINGS BANK	GORHAM	ME	13	1,122,829	5,056
499501	17741	SI	BIDDEFORD SAVINGS BANK	BIDDEFORD	ME	5	490,914	2,925
