List of Banks in Peer Group -- MICOM All Insured Commercial Banks in Michigan

Reporting Period End Date	12/31/2016
Number of Banks in Peer Group	93

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
47247	5033	NM	DART BANK, THE	MASON	MI	4	340,916	2,903
113740	15032	NM	FIRST STATE BANK	EASTPOINTE	MI	11	663,980	5,909
132554	14816	NM	MBANK	MANISTIQUE	MI	24	864,348	6,049
137652	14587	NM	UNIVERSITY BANK	ANN ARBOR	MI	1	167,510	3,853
150044	11807	NM	UNITED BANK OF MICHIGAN	GRAND RAPIDS	MI	12	564,058	4,471
230254	14775	N	FIRST NATIONAL BANK OF CRYSTAL FALLS	CRYSTAL FALLS	MI	3	71,207	-17
236957	1090	NM	UPPER PENINSULA STATE BANK	ESCANABA	MI	2	180,129	2,255
239556	14276	NM	FIRST BANK, UPPER MICHIGAN	GLADSTONE	MI	3	186,360	3,689
240459	1091	SM	STATE BANK OF EWEN, THE	EWEN	MI	2	64,543	687
242958	1092	NM	BAYBANK	GLADSTONE	MI	3	90,678	653
245557	5058	N	SUPERIOR NATIONAL BANK AND TRUST COMPANY OF HANCOCK, THE	HANCOCK	MI	8	585,724	5,534
292850	5076	N	FIRST NATIONAL BANK OF WAKEFIELD, THE	WAKEFIELD	MI	2	49,437	251
324340	1014	SM	CHOICEONE BANK	SPARTA	MI	12	586,681	6,133
355559	5072	N	RANGE BANK, NATIONAL ASSOCIATION	MARQUETTE	MI	12	338,564	2,312
356752	8183	SM	CITIZENS STATE BANK OF ONTONAGON, THE	ONTONAGON	MI	3	54,586	204
358448	12899	NM	MAYVILLE STATE BANK	MAYVILLE	MI	3	90,795	650
364449	12181	NM	MONROE BANK & TRUST	MONROE	MI	20	1,337,269	14,720
413141	17438	N	FIRST NATIONAL BANK OF AMERICA	EAST LANSING	MI	3	957,187	23,348
475345	11810	SM	HURON COMMUNITY BANK	EAST TAWAS	MI	6	191,458	1,584
513340	18584	NM	COMMERCIAL BANK	ALMA	MI	7	398,261	3,145
533759	32436	NM	NORTHERN MICHIGAN BANK & TRUST	ESCANABA	MI	7	249,075	2,339
540542	999	SM	G.W. JONES EXCHANGE BANK	MARCELLUS	MI	4	60,054	128
