List of Banks in Peer Group -- MNCOM All Insured Commercial Banks in Minnesota

Reporting Period End Date	12/31/2005
Number of Banks in Peer Group	443

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
457	10202	NM	LOWRY STATE BANK	LOWRY	MN	1	28,501	693
2554	18525	NM	STATE BANK OF MARIETTA	MARIETTA	MN	1	7,260	159
9357	20268	NM	FIDELITY BANK	EDINA	MN	2	372,983	1,063
10250	1607	NM	BANK OF ELK RIVER, THE	ELK RIVER	MN	6	319,263	4,693
13251	10185	NM	ELYSIAN BANK	ELYSIAN	MN	1	33,473	1,383
14454	8186	N	STEARNS BANK OF EVANSVILLE, NATIONAL ASSOCIATION	EVANSVILLE	MN	1	40,452	1,134
16551	10956	NM	NORTHVIEW BANK	FINLAYSON	MN	6	136,174	1,917
16953	10186	NM	FIRST STATE BANK OF FERTILE	FERTILE	MN	1	30,780	305
20857	10998	NM	GRANITE FALLS BANK	GRANITE FALLS	MN	1	70,509	839
21359	22263	SM	AMERICAN STATE BANK OF GRYGLA	GRYGLA	MN	1	17,194	325
22552	10576	NM	FIRST SOUTHEAST BANK	HARMONY	MN	1	44,948	732
22954	5161	N	FIRST NATIONAL BANK	HAWLEY	MN	2	66,589	775
23456	5162	N	FIRST NATIONAL BANK OF HENNING, THE	OTTERTAIL	MN	3	76,275	1,294
24659	10178	NM	PRODUCE STATE BANK	HOLLANDALE	MN	2	27,815	777
26756	10563	NM	JASPER STATE BANK	JASPER	MN	1	16,910	609
28152	11415	NM	STATE BANK OF KIMBALL	KIMBALL	MN	2	61,004	1,099
30650	8193	NM	STATE BANK OF LONG LAKE	LONG LAKE	MN	1	158,034	1,934
33259	21714	NM	PREMIER BANK	MAPLEWOOD	MN	5	453,782	8,012
34153	20843	SM	AMERICAN BANK OF SAINT PAUL	SAINT PAUL	MN	14	661,311	13,080
40855	10980	NM	EITZEN STATE BANK	EITZEN	MN	1	41,740	905
41759	1416	NM	FARMERS STATE BANK OF ELKTON	ELKTON	MN	1	34,656	507
43454	10204	NM	AMERICAN STATE BANK OF ERSKINE	ERSKINE	MN	1	18,892	329
43856	5141	N	MINERS NATIONAL BANK OF EVELETH, THE	EVELETH	MN	1	41,361	125
45551	5170	N	BANK MIDWEST MINNESOTA-IOWA, NATIONAL ASSOCIATION	FAIRMONT	MN	8	410,226	5,987
46053	1610	NM	STATE BANK OF FARIBAULT, THE	FARIBAULT	MN	2	160,533	2,904
48150	16778	NM	FRANKLIN STATE BANK	FRANKLIN	MN	1	21,362	159
48552	8852	NM	FIRST COMMUNITY BANK	SAVAGE	MN	1	101,060	2,416
49054	10212	NM	COMMERCE BANK	GENEVA	MN	2	124,732	4,390
52456	10575	NM	HARDWICK STATE BANK	HARDWICK	MN	1	14,637	91
56258	10218	NM	CITIZENS BANK & TRUST CO., HUTCHINSON, MINN.	HUTCHINSON	MN	1	160,914	2,956
58355	9733	NM	KENT STATE BANK	KENT	MN	1	7,434	24
58757	1409	NM	FIRST STATE BANK OF KENSINGTON	KENSINGTON	MN	1	72,667	-2,829
59259	10973	NM	AMERICAN ALLIANCE BANK	LAKE CITY	MN	2	158,305	4,185
60554	10162	NM	FIRST STATE BANK MINNESOTA	LE ROY	MN	2	52,733	743
61757	8843	N	AMERICAN HERITAGE NATIONAL BANK	LONG PRAIRIE	MN	4	183,277	2,106
64758	1926	NM	UNITED PRAIRIE BANK - OWATONNA	OWATONNA	MN	3	117,075	1,879
72454	8210	NM	FREEPORT STATE BANK	FREEPORT	MN	2	63,251	362
75053	5151	NM	FIRST MINNESOTA BANK	MINNETONKA	MN	8	349,073	4,680
75455	10187	NM	NORTHERN STATE BANK OF GONVICK, THE	GONVICK	MN	1	29,736	709
77150	15621	NM	FIRST FARMERS & MERCHANTS STATE BANK OF GRAND MEADOW	GRAND MEADOW	MN	2	29,168	92
78054	8854	NM	YELLOW MEDICINE COUNTY BANK	GRANITE FALLS	MN	2	78,561	1,233
79257	8857	NM	FIRST STATE BANK OF GROVE CITY	GROVE CITY	MN	1	15,939	389
80552	8199	NM	STATE BANK OF HAMBURG	HAMBURG	MN	1	19,690	34
