List of Banks in Peer Group -- MNSVG All Insured Savings Banks in Minnesota

Reporting Period End Date	12/31/2021
Number of Banks in Peer Group	11

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
936583	58536	SI	THINK MUTUAL BANK	ROCHESTER	MN	9	2,121,230	18,983
291376	30492	SI	JACKSON FEDERAL SAVINGS & LOAN ASSOCIATION	JACKSON	MN	1	40,933	52
685779	27932	SI	RIVERWOOD BANK	BAXTER	MN	10	530,148	5,587
168357	10568	SI	COMMUNITY DEVELOPMENT BANK FSB	OGEMA	MN	3	210,542	1,036
3470239	58303	SI	AMERIPRISE BANK, FSB	MINNEAPOLIS	MN	1	9,950,850	66,548
258874	29426	SI	WORTHINGTON FEDERAL SAVINGS BANK, F.S.B.	WORTHINGTON	MN	2	96,167	517
3971	28865	SI	MIDCOUNTRY BANK	BLOOMINGTON	MN	13	886,512	10,987
796572	29042	SI	HOME FEDERAL SAVINGS BANK	ROCHESTER	MN	14	983,670	14,174
3229642	57695	SI	AMERICAN INVESTORS BANK AND MORTGAGE	EDEN PRAIRIE	MN	1	92,671	950
890078	29049	SI	LAKE CITY FEDERAL BANK	LAKE CITY	MN	1	81,288	469
284752	1415	SI	NORTHWOODS BANK OF MINNESOTA	PARK RAPIDS	MN	3	144,198	1,591
