List of Banks in Peer Group -- MOCOM All Insured Commercial Banks in Missouri

Reporting Period End Date	12/31/2022
Number of Banks in Peer Group	206

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
1351	9392	NM	BANK OF GRANDIN	GRANDIN	MO	5	198,654	2,582
3458	16103	NM	FARMBANK	GREEN CITY	MO	3	75,716	329
14155	9378	NM	F & C BANK	HOLDEN	MO	3	311,863	6,717
26457	16423	NM	LA MONTE COMMUNITY BANK	LA MONTE	MO	1	44,370	188
34555	14695	SM	MA BANK	MACON	MO	2	351,988	2,872
35057	1946	NM	ALLIANT BANK	MADISON	MO	5	219,279	2,450
44750	16126	NM	CITIZENS BANK OF THE MIDWEST	ROLLA	MO	3	186,894	1,477
94858	8251	SM	ADRIAN BANK	ADRIAN	MO	3	180,885	3,062
97457	22601	NM	CITIZENS BANK	BUTLER	MO	10	196,380	2,485
125873	29764	NM	CLAY COUNTY SAVINGS BANK	LIBERTY	MO	3	156,637	540
143372	31488	SM	PROGRESSIVE OZARK BANK	SALEM	MO	6	165,537	2,239
164957	13788	NM	CONCORDIA BANK	CONCORDIA	MO	4	105,578	1,198
169653	12229	SM	FIRST BANK	CREVE COEUR	MO	72	6,816,567	40,937
173557	8898	NM	ST. JOHNS BANK & TRUST COMPANY	SAINT LOUIS	MO	4	366,571	2,407
177751	1068	SM	CASS COMMERCIAL BANK	DES PERES	MO	3	1,588,122	24,818
185859	1073	SM	LINDELL BANK & TRUST COMPANY	SAINT LOUIS	MO	16	871,528	14,373
203052	15101	NM	SENATH STATE BANK	SENATH	MO	2	98,437	1,464
223452	15415	NM	PEOPLES BANK OF WYACONDA	KAHOKA	MO	3	126,355	1,031
228158	19212	NM	FIRST MIDWEST BANK OF THE OZARKS	POPLAR BLUFF	MO	7	669,885	12,553
236256	9385	N	BANK OF BROOKFIELD-PURDIN NATIONAL ASSOCIATION	BROOKFIELD	MO	4	108,095	740
242257	15264	NM	PEOPLES SAVINGS BANK OF RHINELAND	RHINELAND	MO	11	522,108	4,940
246451	8572	NM	CITIZENS BANK OF ROGERSVILLE	ROGERSVILLE	MO	2	123,584	1,378
252452	10628	NM	PREFERRED BANK	ROTHVILLE	MO	5	145,576	205
266851	14056	NM	FARMERS AND MERCHANTS BANK OF ST. CLAIR	SAINT CLAIR	MO	4	317,280	3,172
272272	28332	SM	SOUTHERN BANK	POPLAR BLUFF	MO	49	3,249,375	45,953
293754	26358	NM	STATE BANK OF SOUTHWEST MISSOURI	SPRINGFIELD	MO	1	195,592	1,600
303952	4539	SM	FARMERS BANK OF NORTHERN MISSOURI	UNIONVILLE	MO	9	500,255	4,981
309150	14036	SM	MISSOURI BANK, THE	WARRENTON	MO	6	421,629	4,950
312356	9388	NM	CORNERSTONE BANK, THE	SOUTH WEST CITY	MO	5	180,981	2,183
317258	15489	NM	WEST PLAINS BANK AND TRUST COMPANY	WEST PLAINS	MO	5	599,300	6,367
322551	1622	NM	FIRST SECURITY BANK	UNION STAR	MO	2	50,335	452
330855	1617	NM	BANK OF MISSOURI, THE	PERRYVILLE	MO	27	2,801,068	34,115
342054	18841	NM	PHELPS COUNTY BANK	ROLLA	MO	4	501,772	7,037
345756	12219	NM	FIRST STATE BANK OF ST. CHARLES, MISSOURI	SAINT CHARLES	MO	6	469,192	4,473
365950	11003	NM	LIMEBANK	BOLIVAR	MO	4	81,812	-464
366658	18380	NM	FIRST INDEPENDENT BANK	AURORA	MO	1	126,162	774
367150	22567	NM	COMMUNITY STATE BANK	SHELBINA	MO	2	102,241	1,411
376947	17830	NM	CITIZENS' BANK OF CHARLESTON	CHARLESTON	MO	2	177,272	2,520
381343	4533	NM	CITIZENS BANK AND TRUST COMPANY	KANSAS CITY	MO	14	997,817	7,001
382658	22895	NM	PUTNAM COUNTY STATE BANK	UNIONVILLE	MO	2	252,670	4,034
382854	15347	NM	SECURITY BANK OF PULASKI COUNTY	SAINT ROBERT	MO	2	130,044	799
385547	11463	SM	CITIZENS-FARMERS BANK OF COLE CAMP, THE	COLE CAMP	MO	2	169,405	2,601
393355	1418	NM	BANK OF WESTON	WESTON	MO	3	207,163	2,377
397755	22319	SM	LEGACY BANK & TRUST COMPANY	MOUNTAIN GROVE	MO	6	1,004,560	13,176
400057	16162	NM	FIRST STATE BANK OF PURDY	PURDY	MO	5	221,733	2,959
413673	30595	SM	F&M BANK AND TRUST COMPANY	HANNIBAL	MO	3	169,390	901
426758	14349	NM	BANK OF SALEM	SALEM	MO	2	127,029	888
428855	15701	NM	SEYMOUR BANK, THE	SEYMOUR	MO	3	205,720	1,762
436953	8892	NM	SULLIVAN BANK	SULLIVAN	MO	10	869,034	10,298
440857	8893	NM	AMERICA'S COMMUNITY BANK	BLUE SPRINGS	MO	1	38,703	562
441359	8576	NM	MARIES COUNTY BANK, THE	VIENNA	MO	11	568,563	5,108
487357	13071	SM	TOWN & COUNTRY BANK	SALEM	MO	10	721,654	9,935
489548	14185	SM	FIRST STATE BANK AND TRUST COMPANY, INC.	CARUTHERSVILLE	MO	6	519,823	9,605
490843	1611	NM	CARROLL COUNTY TRUST COMPANY OF CARROLLTON, MISSOURI	CARROLLTON	MO	2	182,587	765
498148	1426	NM	FOCUS BANK	CHARLESTON	MO	8	817,337	12,042
499743	15282	NM	HERITAGE COMMUNITY BANK	UNION	MO	4	201,617	2,470
501459	19512	NM	ROYAL BANKS OF MISSOURI	SAINT LOUIS	MO	15	1,036,409	10,046
503640	16247	NM	NEIGHBORS BANK	CLARENCE	MO	1	68,779	-2,646
504142	15546	NM	CHILLICOTHE STATE BANK	CHILLICOTHE	MO	1	146,731	1,097
508346	10619	NM	HAWTHORN BANK	JEFFERSON CITY	MO	20	1,814,996	22,733
509857	12225	NM	FMB BANK	WRIGHT CITY	MO	1	51,580	131
527057	14604	NM	COMMUNITY POINT BANK	RUSSELLVILLE	MO	3	160,562	1,992
535753	19600	N	ACADEMY BANK, N.A.	KANSAS CITY	MO	70	2,328,934	29,834
552956	14178	NM	SILEX BANKING COMPANY	SILEX	MO	1	91,583	730
562058	14334	NM	UNITED BANK OF UNION	UNION	MO	3	472,082	6,744
565750	12627	NM	BANK OF WASHINGTON	WASHINGTON	MO	6	916,175	17,980
565844	10623	NM	STATE BANK OF MISSOURI	CONCORDIA	MO	3	139,711	1,127
