List of Banks in Peer Group -- MOSVG All Insured Savings Banks in Missouri

Reporting Period End Date	12/31/2012
Number of Banks in Peer Group	27

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
11275	30284	SI	PULASKI BANK	CREVE COEUR	MO	13	1,305,262	10,162
125873	29764	SI	CLAY COUNTY SAVINGS BANK	LIBERTY	MO	4	101,687	-651
143372	31488	SI	PROGRESSIVE OZARK BANK, F.S.B.	SALEM	MO	4	110,710	2,457
152374	30364	SI	FIRST HOME SAVINGS BANK	MOUNTAIN GROVE	MO	9	191,391	-515
204376	30691	SI	B & L BANK	LEXINGTON	MO	3	147,476	-872
211271	29708	SI	NORTH AMERICAN SAVINGS BANK, FSB	GRANDVIEW	MO	9	1,217,705	22,261
343378	30526	SI	MISSISSIPPI COUNTY SAVINGS AND LOAN ASSOCIATION	CHARLESTON	MO	2	9,511	15
379171	30817	SI	BANKLIBERTY	LIBERTY	MO	10	416,853	3,534
413673	30595	SI	F&M BANK AND TRUST COMPANY	HANNIBAL	MO	8	167,584	-588
452476	31713	SI	CARROLL COUNTY SAVINGS AND LOAN ASSOCIATION	CARROLLTON	MO	1	24,101	82
501972	28694	SI	HEARTLAND BANK	SAINT LOUIS	MO	13	852,687	11,242
507479	30866	SI	BOULEVARD BANK	NEOSHO	MO	3	154,782	1,168
544577	30664	SI	CENTRAL FEDERAL SAVINGS AND LOAN ASSOCIATION	ROLLA	MO	1	66,524	204
566775	28731	SI	MIDWEST FEDERAL SAVINGS AND LOAN ASSOCIATION OF ST. JOSEPH	SAINT JOSEPH	MO	2	35,044	41
612878	27898	SI	HOME SAVINGS AND LOAN ASSOCIATION OF CARROLL COUNTY, F.A.	NORBORNE	MO	1	89,957	-218
634973	28776	SI	QUARRY CITY SAVINGS AND LOAN ASSOCIATION	WARRENSBURG	MO	1	39,192	283
713074	30950	SI	AMERICAN LOAN AND SAVINGS ASSOCIATION	HANNIBAL	MO	1	5,821	-32
717670	29143	SI	SYSTEMATIC SAVINGS BANK	SPRINGFIELD	MO	1	41,637	46
770273	28276	SI	HOME SAVINGS BANK	JEFFERSON CITY	MO	1	30,813	-91
950178	29047	SI	FIRST FEDERAL BANK, F.S.B.	KANSAS CITY	MO	7	366,220	1,123
966973	31329	SI	WEST PLAINS SAVINGS AND LOAN ASSOCIATION	WEST PLAINS	MO	1	89,921	692
1016174	28277	SI	OZARKS FEDERAL SAVINGS AND LOAN ASSOCIATION	FARMINGTON	MO	5	226,331	1,217
2716547	34723	SI	TIAA-CREF TRUST COMPANY FSB	SAINT LOUIS	MO	1	1,345,958	-17,070
2783763	35002	SI	SHELTER FINANCIAL BANK	COLUMBIA	MO	1	165,310	-651
3352399	58124	SI	H & R BLOCK BANK	KANSAS CITY	MO	1	1,604,977	57,154
3529315	28390	SI	EDWARD JONES TRUST COMPANY	SAINT LOUIS	MO	1	87,684	3,532
3688052	58656	SI	SCOTTRADE BANK	TOWN AND COUNTRY	MO	1	14,636,809	157,835
