List of Banks in Peer Group -- MSCOM All Insured Commercial Banks in Mississippi

Reporting Period End Date	12/31/2021
Number of Banks in Peer Group	64

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
11640	19070	N	FIRST NATIONAL BANK OF CLARKSDALE	CLARKSDALE	MS	5	392,816	3,703
12142	12201	NM	CLEVELAND STATE BANK, THE	CLEVELAND	MS	2	299,680	3,783
29636	12204	NM	CITIZENS BANK OF PHILADELPHIA, THE	PHILADELPHIA	MS	27	1,418,934	8,099
31835	8243	NM	BANK OF ANGUILLA	ANGUILLA	MS	4	169,561	1,270
34434	22081	NM	MAGNOLIA STATE BANK	BAY SPRINGS	MS	8	414,632	4,451
40033	11817	NM	RICHTON BANK & TRUST COMPANY	RICHTON	MS	1	59,638	818
58636	11448	NM	CENTURY BANK	LUCEDALE	MS	9	445,541	4,504
68831	10594	NM	BANK OF FRANKLIN	MEADVILLE	MS	4	188,406	3,481
69333	4993	N	CITIZENS NATIONAL BANK OF MERIDIAN, THE	MERIDIAN	MS	24	1,684,320	30,243
70638	9366	NM	PEOPLES BANK	MENDENHALL	MS	5	423,317	22,218
84541	15953	NM	GUARANTY BANK AND TRUST COMPANY	BELZONI	MS	21	1,355,065	23,187
94139	12203	NM	MERCHANTS & MARINE BANK	PASCAGOULA	MS	12	704,779	2,306
99442	9359	NM	BANK OF COMMERCE	GREENWOOD	MS	8	674,892	9,254
101738	8552	SM	GREAT SOUTHERN BANK	MERIDIAN	MS	12	351,424	3,490
118736	11431	NM	BANK OF YAZOO CITY	YAZOO CITY	MS	4	298,990	2,476
121642	5903	NM	BANKPLUS	BELZONI	MS	79	4,994,627	60,066
179335	8250	NM	BANK OF WIGGINS	WIGGINS	MS	3	192,759	1,428
205243	15801	SM	FARMERS AND MERCHANTS BANK	BALDWYN	MS	10	444,805	8,245
342634	4988	N	TRUSTMARK NATIONAL BANK	JACKSON	MS	171	17,053,653	153,425
398837	8231	SM	COPIAH BANK	HAZLEHURST	MS	9	280,383	3,724
460033	8879	NM	COMMUNITY BANK OF MISSISSIPPI	FOREST	MS	47	4,283,300	41,677
463735	12441	NM	HANCOCK WHITNEY BANK	GULFPORT	MS	180	34,930,551	478,357
514132	324	NM	CITIZENS BANK	COLUMBIA	MS	8	473,871	8,066
544335	21083	NM	UNITED MISSISSIPPI BANK	NATCHEZ	MS	10	416,260	5,173
568939	16612	SM	FNB PICAYUNE BANK	PICAYUNE	MS	6	259,253	8,117
573335	8234	NM	RIVERHILLS BANK	VICKSBURG	MS	4	385,254	6,197
579636	327	NM	MERCHANTS AND PLANTERS BANK	RAYMOND	MS	3	113,760	1,830
590640	5005	SM	FNB OXFORD BANK	OXFORD	MS	3	458,395	6,282
593249	15871	NM	PEOPLES BANK, THE	RIPLEY	MS	2	517,584	5,801
606046	11813	NM	CADENCE BANK	TUPELO	MS	414	41,014,991	195,162
