List of Banks in Peer Group -- MTCOM All Insured Commercial Banks in Montana

Reporting Period End Date	06/30/2006
Number of Banks in Peer Group	79

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
662556	19666	NM	FIRST BOULDER VALLEY BANK	BOULDER	MT	2	27,572	197
2634191	30788	SM	GLACIER BANK	KALISPELL	MT	10	704,933	6,499
3425725	58199	NM	BEARTOOTH BANK	BILLINGS	MT	1	8,641	-1,723
3314119	58010	NM	FREEDOM BANK	COLUMBIA FALLS	MT	1	25,924	97
667252	358	SM	STOCKMENS BANK	CASCADE	MT	1	23,280	125
666750	2168	N	WESTERN BANK OF CHINOOK, NATIONAL ASSOCIATION	CHINOOK	MT	1	32,634	96
666358	22502	SM	FIRST CITIZENS BANK OF BUTTE	BUTTE	MT	1	63,022	627
659855	1105	SM	FIRST INTERSTATE BANK	BILLINGS	MT	48	4,604,886	33,088
656555	19964	NM	FIRST CITIZENS BANK OF BILLINGS	BILLINGS	MT	5	169,162	92
656153	26190	NM	FIRST VALLEY BANK	SEELEY LAKE	MT	1	41,773	519
652351	21010	SM	FIRST SECURITY BANK OF MISSOULA	MISSOULA	MT	7	735,949	6,378
651859	16191	NM	STOCKMAN BANK OF MONTANA	MILES CITY	MT	22	1,121,058	15,128
651457	20646	SM	FIRST SECURITY BANK OF MALTA	MALTA	MT	1	25,457	177
650955	19775	NM	FIRST BANK OF LINCOLN	LINCOLN	MT	1	10,565	115
649650	2191	N	FIRST NATIONAL BANK OF LEWISTOWN	LEWISTOWN	MT	1	86,811	370
639857	26941	NM	PEOPLES BANK OF DEER LODGE	DEER LODGE	MT	1	23,612	65
620752	21478	SM	FIRST CITIZENS BANK OF POLSON	POLSON	MT	2	29,050	213
619457	15744	SM	FLINT CREEK VALLEY BANK	PHILIPSBURG	MT	3	46,174	293
605058	8311	NM	CITIZENS STATE BANK	HAMILTON	MT	2	72,177	227
604556	8310	SM	RAVALLI COUNTY BANK	HAMILTON	MT	4	161,501	1,011
599755	22974	NM	COMMUNITY FIRST BANK OF GLENDIVE	GLENDIVE	MT	1	38,752	255
566953	1114	SM	STATE BANK OF TOWNSEND, THE	TOWNSEND	MT	1	39,119	528
