List of Banks in Peer Group -- NCCOM All Insured Commercial Banks in North Carolina

Reporting Period End Date	03/31/2015
Number of Banks in Peer Group	47

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
49821	12267	NM	HIGH POINT BANK AND TRUST COMPANY	HIGH POINT	NC	12	831,356	1,014
212577	27677	N	HOMETRUST BANK, NATIONAL ASSOCIATION	ASHEVILLE	NC	41	2,599,139	279
216922	15019	NM	FIRST BANK	TROY	NC	86	3,192,755	7,637
220527	5956	NM	PEOPLES BANK	NEWTON	NC	20	1,035,872	2,449
282329	19861	NM	YADKIN BANK	STATESVILLE	NC	73	4,244,282	11,044
292524	11506	SM	FOUR OAKS BANK & TRUST COMPANY	FOUR OAKS	NC	12	810,119	1,283
332224	12266	NM	MECHANICS & FARMERS BANK	DURHAM	NC	7	302,974	-131
348720	2036	NM	FARMERS AND MERCHANTS BANK	GRANITE QUARRY	NC	11	517,380	844
480228	3510	N	BANK OF AMERICA, NATIONAL ASSOCIATION	CHARLOTTE	NC	4805	1,582,034,000	4,188,000
491224	11063	NM	FIRST-CITIZENS BANK & TRUST COMPANY	RALEIGH	NC	560	30,190,940	64,341
584920	11507	NM	FIDELITY BANK, THE	FUQUAY VARINA	NC	59	1,648,505	2,158
590220	24919	SM	UWHARRIE BANK	ALBEMARLE	NC	8	518,335	806
591825	4879	N	COMMUNITYONE BANK, NATIONAL ASSOCIATION	ASHEBORO	NC	44	2,197,929	2,814
617024	16799	SM	NEWBRIDGE BANK	GREENSBORO	NC	40	2,585,066	4,180
651121	20568	NM	LUMBEE GUARANTY BANK	PEMBROKE	NC	14	310,631	546
717924	15359	NM	SOUTHERN BANK AND TRUST COMPANY	MOUNT OLIVE	NC	67	2,175,625	1,555
852320	9846	NM	BRANCH BANKING AND TRUST COMPANY	WINSTON-SALEM	NC	1835	181,807,796	492,976
883874	31084	NM	FIRST SOUTH BANK	WASHINGTON	NC	34	878,974	828
1908082	33527	NM	BANK OF NORTH CAROLINA	THOMASVILLE	NC	47	4,077,451	10,025
2483120	34209	NM	SURREY BANK & TRUST	MOUNT AIRY	NC	5	252,062	733
2516626	34348	NM	CAROLINA BANK	GREENSBORO	NC	8	682,357	1,688
2651899	34478	N	CEDAR HILL NATIONAL BANK	CHARLOTTE	NC	1	13,401	32
2750699	34903	NM	BANK OF THE CAROLINAS	MOCKSVILLE	NC	8	374,243	943
2806626	35100	NM	PARAGON COMMERCIAL BANK	RALEIGH	NC	3	1,202,437	2,482
2849463	34966	NM	FIRST CAPITAL BANK	LAURINBURG	NC	2	52,517	84
2895835	35284	NM	CORNERSTONE BANK	WILSON	NC	1	109,796	159
2903123	35365	NM	BANK OF OAK RIDGE	OAK RIDGE	NC	4	357,993	746
2913551	35163	NM	TRUSTATLANTIC BANK	RALEIGH	NC	5	444,196	1,085
2913887	35465	NM	SELECT BANK & TRUST COMPANY	DUNN	NC	14	745,709	1,809
2915461	35519	NM	NORTH STATE BANK	RALEIGH	NC	7	735,691	1,587
2963266	35530	NM	FIRST CAROLINA BANK	ROCKY MOUNT	NC	3	114,242	50
2966614	57026	NM	CAROLINA TRUST BANK	LINCOLNTON	NC	9	298,642	175
3047659	57095	NM	SOUND BANKING COMPANY	MOREHEAD CITY	NC	4	151,894	271
3276543	57733	NM	ALLIANCE BANK & TRUST COMPANY	GASTONIA	NC	4	158,526	-215
3285778	57784	NM	NANTAHALA BANK & TRUST COMPANY	FRANKLIN	NC	3	148,068	-149
3299814	57888	NM	NEWDOMINION BANK	CHARLOTTE	NC	2	286,230	-133
3345449	58021	NM	SQUARE 1 BANK	DURHAM	NC	1	3,183,028	8,672
3404506	58239	NM	PROVIDENCE BANK	ROCKY MOUNT	NC	4	233,639	534
3429059	58245	NM	UNION BANK & TRUST COMPANY	OXFORD	NC	6	246,722	359
3446636	58296	NM	AQUESTA BANK	CORNELIUS	NC	6	263,283	509
3470985	58408	NM	PARK STERLING BANK	CHARLOTTE	NC	52	2,368,708	4,317
3551521	58516	NM	CAROLINA PREMIER BANK	CHARLOTTE	NC	7	246,138	183
3620913	58561	NM	OLDTOWN BANK	WAYNESVILLE	NC	1	110,288	25
3636914	58691	NM	BLUEHARBOR BANK	MOORESVILLE	NC	2	135,183	178
3649624	58659	SM	GREAT STATE BANK	WILKESBORO	NC	3	96,428	153
3650808	58665	NM	LIVE OAK BANKING COMPANY	WILMINGTON	NC	1	740,731	6,571
3869123	58899	SM	COASTAL BANK & TRUST	JACKSONVILLE	NC	2	68,371	32
