List of Banks in Peer Group -- NCSVG All Insured Savings Banks in North Carolina

Reporting Period End Date	12/31/2008
Number of Banks in Peer Group	15

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
563774	29485	SI	ROANOKE VALLEY SAVINGS BANK, SSB	ROANOKE RAPIDS	NC	1	44,606	1
853372	28139	SI	SECURITY SAVINGS BANK, SSB	SOUTHPORT	NC	11	423,553	529
416674	29771	SI	KS BANK, INC.	SMITHFIELD	NC	10	320,863	955
472979	28471	SI	ROXBORO SAVINGS BANK, SSB	ROXBORO	NC	2	165,005	390
2744782	34934	SI	LITTLE BANK, SSB, THE	KINSTON	NC	6	304,282	1,416
258379	32348	SI	TAYLORSVILLE SAVINGS BANK, SSB	TAYLORSVILLE	NC	3	84,300	-404
971379	31345	SI	HERTFORD SAVINGS BANK, SSB	HERTFORD	NC	1	15,604	-82
239275	31445	SI	MACON BANK, INC.	FRANKLIN	NC	11	1,070,333	7,072
247476	28314	SI	ROANOKE RAPIDS SAVINGS BANK, SSB	ROANOKE RAPIDS	NC	1	51,449	-12
444677	27897	SI	BLACK MOUNTAIN SAVINGS BANK, SSB	BLACK MOUNTAIN	NC	1	32,314	98
360777	31266	SI	JACKSON SAVINGS BANK, SSB	SYLVA	NC	2	30,656	182
800479	29061	SI	TARBORO SAVINGS BANK, SSB	TARBORO	NC	1	26,571	30
55176	30668	SI	HOME SAVINGS BANK OF ALBEMARLE, INC., SSB	ALBEMARLE	NC	4	293,489	428
342175	29663	SI	ASHEVILLE SAVINGS BANK, SSB	ASHEVILLE	NC	13	662,742	2,432
341178	32347	SI	BLUE RIDGE SAVINGS BANK, INC	ASHEVILLE	NC	1	303,078	-7,413
