List of Banks in Peer Group -- NECOM All Insured Commercial Banks in Nebraska

Reporting Period End Date	12/31/2024
Number of Banks in Peer Group	142

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
514057	16516	NM	NEBRASKA STATE BANK	LYNCH	NE	1	18,717	185
456054	5439	NM	MINDEN EXCHANGE BANK & TRUST COMPANY	MINDEN	NE	1	189,860	3,156
492650	1435	NM	EXCHANGE BANK	KEARNEY	NE	7	1,456,402	22,755
1011852	17589	NM	CULBERTSON BANK	CULBERTSON	NE	1	12,551	101
140157	11482	NM	HOMESTEAD BANK	COZAD	NE	9	509,176	6,556
566056	5424	SM	SECURITY BANK	LAUREL	NE	5	302,426	4,020
993250	5384	SM	FIRST COMMUNITY BANK	BEEMER	NE	4	247,458	1,696
3614837	58727	NM	ACCESS BANK	OMAHA	NE	6	996,887	9,929
983055	5380	SM	FIRST BANK OF BANCROFT	BANCROFT	NE	1	30,052	72
926650	14069	NM	STATE BANK OF SCOTIA	SCOTIA	NE	1	60,557	376
469559	5473	SM	JONES BANK	SEWARD	NE	3	466,519	4,777
911759	9819	NM	NEBRASKA STATE BANK	OSHKOSH	NE	1	62,336	2,981
81175	31485	SM	EQUITABLE BANK	GRAND ISLAND	NE	5	506,098	3,335
1008450	8323	NM	COMMUNITY STATE BANK	COLON	NE	2	43,794	312
1836701	33380	SM	ENTERPRISE BANK	OMAHA	NE	3	517,298	2,518
3614846	58724	NM	NEBRASKA BANK OF COMMERCE	LINCOLN	NE	2	190,071	1,077
275255	19274	NM	BANNER CAPITAL BANK	HARRISBURG	NE	6	338,244	6,450
1016558	14096	NM	GENERATIONS BANK	EXETER	NE	1	52,436	371
570651	8333	NM	FIRST TRI-COUNTY BANK	SWANTON	NE	2	74,153	76
660253	9822	NM	STATE BANK OF TABLE ROCK	TABLE ROCK	NE	6	133,290	1,605
2726050	34995	NM	FIRST CENTRAL BANK MCCOOK	MCCOOK	NE	2	124,935	-702
2667957	34811	SM	NEBRASKALAND BANK	NORTH PLATTE	NE	6	970,949	3,089
157155	11475	NM	THAYER COUNTY BANK	HEBRON	NE	1	80,600	810
222754	19742	SM	FIRST WESTROADS BANK, INC.	OMAHA	NE	2	344,886	4,674
481579	28543	NM	CUSTER FEDERAL STATE BANK	BROKEN BOW	NE	2	123,946	698
75651	1993	NM	CERESCOBANK	CERESCO	NE	1	72,448	379
858452	12745	NM	BANK OF PRAGUE	PRAGUE	NE	1	40,926	1,273
913856	10634	NM	PINNACLE BANK	LINCOLN	NE	66	8,749,601	64,818
384353	10635	NM	BANK OF STEINAUER	STEINAUER	NE	1	17,385	55
74056	16707	NM	SOUTH CENTRAL STATE BANK	CAMPBELL	NE	5	193,977	3,838
207050	19850	NM	WEST GATE BANK	LINCOLN	NE	10	1,288,302	8,473
13457	5425	NM	LEGENDS WEST BANK	LEWELLEN	NE	2	59,899	62
669555	13255	SM	MIDWEST BANK	PIERCE	NE	11	1,106,720	6,876
88455	18740	NM	HEARTLAND BANK	GENEVA	NE	14	863,757	12,084
472250	17825	NM	BOELUS STATE BANK	BOELUS	NE	1	21,939	277
967952	5369	SM	WEST PLAINS BANK	AINSWORTH	NE	2	124,217	1,324
276850	5415	NM	SECURITY FIRST BANK	LINCOLN	NE	30	1,965,703	15,649
266655	5405	SM	FIRST BANK AND TRUST OF FULLERTON	FULLERTON	NE	2	101,941	871
284958	8604	NM	FIRST STATE BANK	HORDVILLE	NE	1	48,115	239
244158	5394	NM	WAYPOINT BANK	COZAD	NE	7	376,039	4,474
332756	9812	NM	ADAMS STATE BANK	ADAMS	NE	1	69,865	198
45056	9818	NM	PLATTE VALLEY BANK	NORTH BEND	NE	1	97,401	772
117458	20130	NM	BANKFIRST	NORFOLK	NE	12	1,095,002	22,703
439356	16553	NM	ELKHORN VALLEY BANK & TRUST	NORFOLK	NE	7	1,295,865	10,044
516154	14275	NM	FARMERS AND MERCHANTS BANK	MILLIGAN	NE	2	170,692	3,175
413758	13692	NM	BRUNSWICK STATE BANK	BRUNSWICK	NE	3	160,239	2,807
1000052	12241	NM	WASHINGTON COUNTY BANK	BLAIR	NE	4	612,453	8,799
576952	12248	SM	FIRST NEBRASKA BANK	VALLEY	NE	11	353,150	4,495
385471	31999	SM	MADISON COUNTY BANK	MADISON	NE	6	595,841	3,863
70955	13696	NM	NEBRASKA STATE BANK	BRISTOW	NE	1	21,069	289
208655	5432	SM	FIRST NORTHEAST BANK OF NEBRASKA	LYONS	NE	9	456,020	7,127
663955	14327	NM	HORIZON BANK	WAVERLY	NE	4	453,221	10,830
731050	16079	NM	YORK STATE BANK	YORK	NE	3	188,601	2,860
416357	13251	NM	CHAMBERS STATE BANK	CHAMBERS	NE	2	79,715	1,480
7456	13962	SM	BANK OF HARTINGTON	HARTINGTON	NE	2	133,119	1,580
844053	19213	N	SECURITY NATIONAL BANK OF OMAHA	OMAHA	NE	11	1,760,743	18,139
987259	13892	NM	SANDHILLS STATE BANK	NORTH PLATTE	NE	10	345,129	4,140
1004256	16110	SM	BUTTE STATE BANK	BUTTE	NE	2	56,812	362
403151	5496	SM	CORNERSTONE BANK	YORK	NE	46	2,759,664	27,529
241559	15010	NM	COLUMBUS BANK AND TRUST COMPANY	COLUMBUS	NE	2	237,846	2,986
925055	5469	NM	CITIZENS BANK & TRUST COMPANY	SAINT PAUL	NE	3	244,835	1,174
