List of Banks in Peer Group -- NHCOM All Insured Commercial Banks in New Hampshire

Reporting Period End Date	12/31/2005
Number of Banks in Peer Group	10

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
30502	14240	NM	NORTHWAY BANK	BERLIN	NH	19	628,283	3,377
58207	6212	NM	FIRST COLEBROOK BANK, THE	COLEBROOK	NH	3	161,727	1,213
113601	24540	NM	SOUTHERN NEW HAMPSHIRE BANK AND TRUST CO.	SALEM	NH	7	402,457	7,208
180201	6233	N	LANCASTER NATIONAL BANK, THE	LANCASTER	NH	3	59,014	352
204808	26479	NM	FIRST SIGNATURE BANK AND TRUST COMPANY	PORTSMOUTH	NH	1	506,681	1,647
252706	4264	N	OCEAN NATIONAL BANK	PORTSMOUTH	NH	40	1,631,718	15,463
1216059	27252	SM	COMMUNITY GUARANTY SAVINGS BANK	PLYMOUTH	NH	2	76,429	501
1358696	27437	NM	BOW MILLS BANK AND TRUST	BOW	NH	3	118,832	777
1463086	33011	NM	COMMUNITY BANK AND TRUST COMPANY	WOLFEBORO	NH	7	435,158	7,947
2816474	35035	NM	CENTRIX BANK AND TRUST	BEDFORD	NH	4	233,407	2,234
