List of Banks in Peer Group -- NHSVG All Insured Savings Banks in New Hampshire

Reporting Period End Date	09/30/2019
Number of Banks in Peer Group	11

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
47500	18038	SI	CLAREMONT SAVINGS BANK	CLAREMONT	NH	5	420,276	2,026
265407	18012	SI	BANK OF NEW HAMPSHIRE	LACONIA	NH	25	1,675,123	9,855
670878	27824		SALEM CO-OPERATIVE BANK	SALEM	NH	2	450,068	527
576608	17180	SI	MEREDITH VILLAGE SAVINGS BANK	MEREDITH	NH	13	977,404	5,843
477303	18031	SI	WOODSVILLE GUARANTY SAVINGS BANK	WOODSVILLE	NH	9	501,877	2,917
92706	18028	SI	SUGAR RIVER BANK	NEWPORT	NH	6	305,524	1,419
74403	17960	SI	MERRIMACK COUNTY SAVINGS BANK	CONCORD	NH	9	901,464	4,430
119872	29744	SI	FIRST SEACOAST BANK	DOVER	NH	5	396,811	435
491402	17951	SI	FRANKLIN SAVINGS BANK	FRANKLIN	NH	8	507,258	2,226
598002	18030	SI	SAVINGS BANK OF WALPOLE	WALPOLE	NH	5	419,418	2,633
591209	17443	SI	PISCATAQUA SAVINGS BANK	PORTSMOUTH	NH	1	279,374	934
