List of Banks in Peer Group -- NJCOM All Insured Commercial Banks in New Jersey

Reporting Period End Date	03/31/2006
Number of Banks in Peer Group	71

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
3506	20038	SM	INTERCHANGE BANK	SADDLE BROOK	NJ	30	1,639,978	4,997
7009	20015	NM	BESSEMER TRUST COMPANY	WOODBRIDGE	NJ	1	485,320	3,020
9807	6423	N	AMBOY NATIONAL BANK	OLD BRIDGE	NJ	23	2,599,529	24,629
29104	6431	N	UNION CENTER NATIONAL BANK	UNION	NJ	12	1,080,057	-831
156916	6515	N	YARDVILLE NATIONAL BANK	YARDVILLE	NJ	28	2,921,631	6,203
188917	6442	N	FIRST NATIONAL BANK OF ABSECON	ABSECON	NJ	4	143,930	294
189419	6443	SM	SUSQUEHANNA PATRIOT BANK	MARLTON	NJ	37	2,131,190	4,500
229801	9396	N	VALLEY NATIONAL BANK	PASSAIC	NJ	164	12,216,302	42,782
236706	11035	SM	PEAPACK-GLADSTONE BANK	GLADSTONE	NJ	19	1,254,501	3,098
275509	571	SM	COMMUNITY BANK OF BERGEN COUNTY, N.J.	MAYWOOD	NJ	3	228,879	416
324902	91363	NM	MERRILL LYNCH BANK & TRUST COMPANY	PLAINSBORO TOWNSHIP	NJ	2	10,704,402	92,426
367208	26480	NM	GREATER COMMUNITY BANK	TOTOWA	NJ	16	890,673	2,852
403106	22221	NM	SUSSEX BANK	FRANKLIN	NJ	9	312,364	656
434203	6354	N	FIRST HOPE BANK, A NATIONAL BANKING ASSOCIATION	HOPE	NJ	6	331,252	518
463203	20220	NM	BRUNSWICK BANK AND TRUST COMPANY	NEW BRUNSWICK	NJ	7	125,401	273
527507	26390	NM	ATLANTIC STEWARDSHIP BANK	MIDLAND PARK	NJ	10	475,728	1,187
567905	21111	N	CITY NATIONAL BANK OF NEW JERSEY	NEWARK	NJ	9	384,146	521
609010	6464	N	FIRST NATIONAL BANK OF ELMER	ELMER	NJ	5	202,407	704
609609	26790	N	BNB BANK, NATIONAL ASSOCIATION	FORT LEE	NJ	4	260,379	528
632410	14646	N	NEWFIELD NATIONAL BANK	NEWFIELD	NJ	11	434,814	616
680617	6480	N	MINOTOLA BANK	VINELAND	NJ	14	624,451	1,476
687009	19953	NM	LAKELAND BANK	NEWFOUNDLAND	NJ	46	2,208,895	5,396
782904	22178	NM	COMMERCE BANK/NORTH	RAMSEY	NJ	43	3,872,618	15,560
828110	19978	N	PENNSVILLE NATIONAL BANK, THE	PENNSVILLE	NJ	4	168,184	340
