List of Banks in Peer Group -- NJSVG All Insured Savings Banks in New Jersey

Reporting Period End Date	12/31/2005
Number of Banks in Peer Group	25

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
2376	28866	SI	ORITANI SAVINGS BANK	WASHINGTON TOWNSHIP	NJ	21	1,027,568	10,027
30418	27041	SI	COLLEGE SAVINGS BANK	PRINCETON	NJ	1	774,430	330
35570	28892	SI	INVESTORS SAVINGS BANK	SHORT HILLS	NJ	47	5,200,098	-1,255
106377	28395	SI	CAPE SAVINGS BANK	CAPE MAY COURT HOUSE	NJ	13	552,306	4,424
147679	28729	SI	GLEN ROCK SAVINGS BANK	GLEN ROCK	NJ	3	109,476	279
148809	12017	SI	RSI BANK	RAHWAY	NJ	3	416,890	2,889
204004	12010	SI	PROVIDENT BANK, THE	JERSEY CITY	NJ	76	6,167,817	55,648
324274	28567	SI	ROSELLE SAVINGS BANK	ROSELLE	NJ	4	405,204	2,864
373601	12013	SI	UNION COUNTY SAVINGS BANK	ELIZABETH	NJ	4	1,054,527	12,005
391977	28788	SI	STURDY SAVINGS BANK	STONE HARBOR	NJ	6	489,141	1,930
392778	30428	SI	CENTURY SAVINGS BANK	BRIDGETON	NJ	5	242,428	1,728
459671	30470	SI	MANASQUAN SAVINGS BANK	MANASQUAN	NJ	6	529,475	4,363
548771	30704	SI	MAGYAR BANK	NEW BRUNSWICK	NJ	3	330,694	1,841
564678	28708	SI	GSL SAVINGS BANK	GUTTENBERG	NJ	3	107,998	491
644776	29170	SI	UNITED ROOSEVELT SAVINGS BANK	CARTERET	NJ	1	100,996	483
657178	30072	SI	SCHUYLER SAVINGS BANK	KEARNY	NJ	1	120,739	773
793571	30022	SI	MILLINGTON SAVINGS BANK	MILLINGTON	NJ	3	240,057	1,463
797775	30052	SI	BOILING SPRINGS SAVINGS BANK	RUTHERFORD	NJ	13	1,129,735	9,154
820178	28191	SI	AUDUBON SAVINGS BANK	AUDUBON	NJ	3	156,968	781
849777	30099	SI	METUCHEN SAVINGS BANK	METUCHEN	NJ	2	271,587	1,909
918477	30039	SI	HAVEN SAVINGS BANK	HOBOKEN	NJ	5	678,698	4,643
927479	29941	SI	BOGOTA SAVINGS BANK	BOGOTA	NJ	2	225,273	1,944
930871	28963	SI	LINCOLN PARK SAVINGS BANK	LINCOLN PARK	NJ	1	86,452	603
1008076	28222	SI	HADDON SAVINGS BANK	HADDON HEIGHTS	NJ	2	258,435	953
1012671	29875	SI	NVE BANK	ENGLEWOOD	NJ	12	597,271	3,436
