List of Banks in Peer Group -- NJSVG All Insured Savings Banks in New Jersey

Reporting Period End Date	12/31/2017
Number of Banks in Peer Group	40

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
122573	28631	SI	DELANCO FEDERAL SAVINGS BANK	DELANCO	NJ	2	126,415	-229
391977	28788	SI	STURDY SAVINGS BANK	STONE HARBOR	NJ	13	842,605	2,251
204004	12010	SI	PROVIDENT BANK	JERSEY CITY	NJ	84	9,534,218	93,426
927479	29941	SI	BOGOTA SAVINGS BANK	BOGOTA	NJ	2	621,975	3,902
574079	30402	SI	FRANKLIN BANK	PILESGROVE	NJ	7	259,067	865
392778	30428	SI	CENTURY SAVINGS BANK	VINELAND	NJ	7	459,622	2,174
148470	30367	SI	1ST BANK OF SEA ISLE CITY	SEA ISLE CITY	NJ	3	247,073	106
670775	30126	SI	GIBRALTAR BANK	OAK RIDGE	NJ	4	105,805	-452
793571	30022	SI	MILLINGTON BANK	MILLINGTON	NJ	4	505,971	2,846
2376	28866	SI	ORITANI BANK	TOWNSHIP OF WASHINGTON	NJ	27	4,117,691	43,316
820178	28191	SI	AUDUBON SAVINGS BANK	AUDUBON	NJ	4	162,309	-170
644776	29170	SI	UNITED ROOSEVELT SAVINGS BANK	CARTERET	NJ	1	103,149	64
172475	28818	SI	CREST SAVINGS BANK	WILDWOOD	NJ	6	460,374	1,822
797775	30052	SI	BOILING SPRINGS SAVINGS BANK	RUTHERFORD	NJ	17	1,672,077	6,578
927077	30103	SI	MONROE SAVINGS BANK	WILLIAMSTOWN	NJ	2	94,223	383
633378	28765	SI	KEARNY BANK	FAIRFIELD	NJ	43	4,745,710	14,731
373601	12013	SI	UNION COUNTY SAVINGS BANK	ELIZABETH	NJ	4	1,775,187	10,895
845573	30076	SI	SPENCER SAVINGS BANK, SAVINGS AND LOAN ASSOCIATION	ELMWOOD PARK	NJ	21	2,652,085	5,896
1012671	29875	SI	NVE BANK	ENGLEWOOD	NJ	11	676,212	2,819
85472	28359	SI	OCEANFIRST BANK	TOMS RIVER	NJ	46	5,301,794	44,276
1008076	28222	SI	HADDON SAVINGS BANK	HADDON HEIGHTS	NJ	2	323,139	1,072
385686	34058	SI	LUSITANIA SAVINGS BANK	NEWARK	NJ	4	306,832	1,870
174572	28834	SI	COLUMBIA BANK	FAIR LAWN	NJ	48	5,345,614	27,837
930871	28963	SI	LINCOLN 1ST BANK	LINCOLN PARK	NJ	2	368,743	-100
657178	30072	SI	SCHUYLER SAVINGS BANK	KEARNY	NJ	1	119,526	2
324274	28567	SI	ROSELLE SAVINGS BANK	ROSELLE	NJ	4	400,022	-3,869
548771	30704	SI	MAGYAR BANK	NEW BRUNSWICK	NJ	6	593,743	1,539
849777	30099	SI	METUCHEN SAVINGS BANK	METUCHEN	NJ	2	259,776	172
934271	30996	SI	CENLAR FSB	TRENTON	NJ	1	1,111,529	18,184
814476	30183	SI	MILLVILLE SAVINGS & LOAN ASSOCIATION	MILLVILLE	NJ	2	135,445	250
564678	28708	SI	GSL SAVINGS BANK	GUTTENBERG	NJ	1	93,758	-966
918477	30039	SI	HAVEN SAVINGS BANK	HOBOKEN	NJ	9	933,623	2,665
35570	28892	SI	INVESTORS BANK	SHORT HILLS	NJ	156	24,237,717	125,980
554473	28633	SI	CLIFTON SAVINGS BANK	CLIFTON	NJ	12	1,506,822	5,472
148809	12017	SI	RSI BANK	RAHWAY	NJ	4	513,078	767
958473	32260	SI	WAWEL BANK	GARFIELD	NJ	3	72,524	-873
459671	30470	SI	MANASQUAN BANK	WALL TOWNSHIP	NJ	11	1,170,004	7,863
159971	28778	SI	SOMERSET SAVINGS BANK, SLA	BOUND BROOK	NJ	7	572,292	2,378
147679	28729	SI	GLEN ROCK SAVINGS BANK	GLEN ROCK	NJ	6	250,546	-1,091
588478	30519	SI	FREEHOLD SAVINGS BANK	FREEHOLD	NJ	2	306,254	881
