List of Banks in Peer Group -- NMCOM All Insured Commercial Banks in New Mexico

Reporting Period End Date	09/30/2011
Number of Banks in Peer Group	45

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
962854	19245	N	VALLEY NATIONAL BANK	ESPANOLA	NM	1	315,628	-5,795
219651	2241	N	CARLSBAD NATIONAL BANK, THE	CARLSBAD	NM	3	214,250	2,835
2575717	34302	NM	AMBANK	SILVER CITY	NM	3	119,813	529
823450	17643	N	FIRST NATIONAL BANK	ALAMOGORDO	NM	5	265,233	2,775
83375	28362	NM	CENTURY BANK	SANTA FE	NM	7	529,853	1,716
771458	2240	NM	FIRST AMERICAN BANK	ARTESIA	NM	12	729,473	9,549
763752	16590	NM	GRANTS STATE BANK	GRANTS	NM	2	116,281	1,127
1015252	12259	NM	LEA COUNTY STATE BANK	HOBBS	NM	2	227,063	3,043
712956	18514	NM	FIRST NEW MEXICO BANK	DEMING	NM	2	190,321	1,709
3058619	57302	NM	CITY BANK NEW MEXICO	RUIDOSO	NM	4	109,955	390
1016857	20161	NM	CITIZENS BANK OF LAS CRUCES	LAS CRUCES	NM	6	385,324	5,790
209858	11492	NM	INTERNATIONAL BANK	RATON	NM	7	317,793	1,325
3623969	58745	NM	FIRST NEW MEXICO BANK, LAS CRUCES	LAS CRUCES	NM	2	95,448	943
2948423	57022	NM	BANK OF CLOVIS, THE	CLOVIS	NM	2	154,259	888
495558	24865	NM	FIRST NEW MEXICO BANK OF SILVER CITY	SILVER CITY	NM	2	84,741	732
785857	2244	NM	JAMES POLK STONE COMMUNITY BANK	PORTALES	NM	7	169,487	1,638
787253	2239	N	FIRST NATIONAL BANK OF SANTA FE	SANTA FE	NM	11	717,629	5,647
481159	22600	NM	VALLEY BANK OF COMMERCE	ROSWELL	NM	2	123,742	1,708
961259	1164	NM	CITIZENS BANK, THE	FARMINGTON	NM	6	599,862	7,294
648952	26210	N	BANK OF THE RIO GRANDE, NATIONAL ASSOCIATION	LAS CRUCES	NM	3	106,310	1,111
156952	22525	NM	WESTERN BANK	ALAMOGORDO	NM	3	72,099	302
710859	11491	NM	CITIZENS BANK OF CLOVIS, THE	CLOVIS	NM	3	290,004	4,010
709554	16720	NM	WESTERN BANK, ARTESIA, NEW MEXICO	ARTESIA	NM	1	158,254	2,718
1972298	33616	SM	MY BANK	BELEN	NM	5	161,545	771
169756	18389	NM	WESTERN COMMERCE BANK	CARLSBAD	NM	11	339,175	5,480
440259	21000	NM	COMMUNITY BANK	SANTA FE	NM	5	187,295	-279
497655	16600	NM	FIRST STATE BANK	SOCORRO	NM	2	124,194	852
2502825	34331	N	DSRM NATIONAL BANK	ALBUQUERQUE	NM	1	3,468	36
622653	13625	NM	FARMERS & STOCKMENS BANK	CLAYTON	NM	3	84,317	340
499752	2247	NM	BANK OF THE SOUTHWEST	ROSWELL	NM	12	153,784	1,370
933957	2993	N	VECTRA BANK COLORADO, NATIONAL ASSOCIATION	FARMINGTON	NM	39	2,283,985	8,611
2855884	35428	NM	SUNRISE BANK OF ALBUQUERQUE	ALBUQUERQUE	NM	1	64,740	-1,829
562553	19027	N	FIRST NATIONAL BANK OF NEW MEXICO, THE	CLAYTON	NM	6	172,936	1,462
205654	18799	N	LOS ALAMOS NATIONAL BANK	LOS ALAMOS	NM	5	1,503,497	1,359
800853	19904	NM	CENTINEL BANK OF TAOS	TAOS	NM	2	166,692	1,939
2649122	34726	NM	NEW MEXICO BANK & TRUST	ALBUQUERQUE	NM	16	898,521	4,972
2855866	35441	NM	FOUR CORNERS COMMUNITY BANK	FARMINGTON	NM	5	206,760	2,859
640554	22059	NM	WESTERN BANK OF CLOVIS	CLOVIS	NM	2	52,909	431
2960555	57025	NM	AMERICAN HERITAGE BANK	CLOVIS	NM	2	70,269	434
768458	16854	NM	COMMUNITY 1ST BANK LAS VEGAS	LAS VEGAS	NM	6	180,836	1,198
2883971	35492	NM	WESTERN HERITAGE BANK	LAS CRUCES	NM	2	54,468	-669
430054	22086	NM	MAIN BANK	ALBUQUERQUE	NM	1	73,820	725
723653	2249	SM	WESTERN BANK	LORDSBURG	NM	3	135,227	1,650
206156	12258	NM	BANK OF LAS VEGAS, THE	LAS VEGAS	NM	2	182,992	3,305
2624651	34554	NM	BANK 1ST	ALBUQUERQUE	NM	1	70,549	-44
