List of Banks in Peer Group -- NVCOM All Insured Commercial Banks in Nevada

Reporting Period End Date	12/31/2007
Number of Banks in Peer Group	36

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
3589588	58418	N	NEVADA NATIONAL BANK	LAS VEGAS	NV	2	15,581	-1,013
3067929	57312	NM	TOWN & COUNTRY BANK	LAS VEGAS	NV	3	167,752	3,360
450669	2273	N	FIRST NATIONAL BANK OF ELY, THE	ELY	NV	1	55,236	1,110
400767	22669	NM	NEVADA BANK AND TRUST COMPANY	CALIENTE	NV	9	90,698	956
639567	25620	N	CREDIT ONE BANK, NATIONAL ASSOCIATION	LAS VEGAS	NV	1	76,765	11,517
2901688	34820	NM	SECURITY SAVINGS BANK	HENDERSON	NV	2	292,562	-1,991
3584538	58547	SM	PARAMOUNT BANK	LAS VEGAS	NV	1	12,670	-655
2714570	34785	NM	SUN WEST BANK	LAS VEGAS	NV	7	404,059	7,502
3077629	57110	NM	NEVADA SECURITY BANK	RENO	NV	8	613,858	4,067
2349301	34072	NM	HERITAGE BANK OF NEVADA	RENO	NV	5	291,245	4,328
2856032	35421	NM	BLACK MOUNTAIN COMMUNITY BANK	HENDERSON	NV	1	143,962	2,612
3599886	58393	NM	FIFTH STREET BANK	LAS VEGAS	NV	1	21,107	-582
2896298	35418	NM	NEVADA COMMERCE BANK	LAS VEGAS	NV	2	137,836	1,763
3437081	58352	NM	CARSON RIVER COMMUNITY BANK	CARSON CITY	NV	1	21,761	-933
2848037	35357	NM	RED ROCK COMMUNITY BANK	LAS VEGAS	NV	1	114,564	1,652
2849829	35202	NM	FIRST INDEPENDENT BANK OF NEVADA	RENO	NV	5	525,681	4,404
3023701	35434	NM	SOUTHWESTUSA BANK	LAS VEGAS	NV	2	157,151	2,437
3604155	58499	NM	FIRST ASIAN BANK	LAS VEGAS	NV	2	21,073	-2,258
2068134	33824	NM	GREAT BASIN BANK OF NEVADA	ELKO	NV	5	235,502	2,122
456960	18113	NM	NEVADA STATE BANK	LAS VEGAS	NV	75	3,879,696	52,358
3636446	58626	NM	BANK OF GEORGE	LAS VEGAS	NV	1	28,666	-1,348
3550896	58473	NM	SERVICE1ST BANK OF NEVADA	LAS VEGAS	NV	1	98,578	-4,198
3465383	58358	NM	1ST COMMERCE BANK	NORTH LAS VEGAS	NV	1	21,570	-578
411464	27011	N	FIRST NATIONAL BANK OF NEVADA	RENO	NV	11	1,463,620	28,103
2319676	34043	SM	COMMUNITY BANK OF NEVADA	LAS VEGAS	NV	13	1,550,069	25,743
2129008	33863	N	HSBC BANK NEVADA, NATIONAL ASSOCIATION	LAS VEGAS	NV	1	2,060,482	966,772
3287660	57542	NM	TOYOTA FINANCIAL SAVINGS BANK	HENDERSON	NV	1	295,951	1,359
3049653	57276	NM	BANK OF LAS VEGAS	LAS VEGAS	NV	1	73,163	608
2605566	34313	NM	EAGLEMARK SAVINGS BANK	CARSON CITY	NV	1	34,710	6,540
3555248	58443	NM	FIRST SECURITY BANK OF NEVADA	LAS VEGAS	NV	1	49,508	-1,347
3284397	57833	NM	BEAL BANK NEVADA	LAS VEGAS	NV	1	1,608,898	145,597
2808787	35253	NM	DESERT COMMUNITY BANK	LAS VEGAS	NV	1	95,621	1,296
2197098	33897	NM	BANK OF NEVADA	LAS VEGAS	NV	16	2,972,887	27,292
2479310	34194	NM	SILVER STATE BANK	HENDERSON	NV	12	1,313,695	26,424
476810	7213	N	CITIBANK, N.A.	LAS VEGAS	NV	1380	1,149,311,500	2,304,000
3370357	57933	NM	BANK OF NORTH LAS VEGAS	NORTH LAS VEGAS	NV	1	62,330	-296
