List of Banks in Peer Group -- NYCOM All Insured Commercial Banks in New York

Reporting Period End Date	09/30/2007
Number of Banks in Peer Group	129

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
505	6959	N	BALLSTON SPA NATIONAL BANK	BALLSTON SPA	NY	9	318,759	1,803
23504	6976	N	BRIDGEHAMPTON NATIONAL BANK, THE	BRIDGEHAMPTON	NY	13	597,261	6,279
63201	6954	N	CAYUGA LAKE NATIONAL BANK	UNION SPRINGS	NY	2	88,663	863
64619	7220	N	STERLING NATIONAL BANK	NEW YORK	NY	12	1,835,917	15,015
65513	26633	N	DELTA NATIONAL BANK AND TRUST COMPANY	NEW YORK	NY	2	272,554	2,553
66015	26508	SM	BPD BANK	NEW YORK	NY	1	534,882	2,557
70218	23373	NM	UNITED ORIENT BANK	NEW YORK	NY	2	84,158	183
84804	8908	NM	CITIZENS BANK OF CAPE VINCENT	CAPE VINCENT	NY	3	28,656	123
92902	9406	SM	BANK OF CATTARAUGUS	CATTARAUGUS	NY	1	13,101	21
98717	25749	N	EASTBANK, NATIONAL ASSOCIATION	NEW YORK	NY	1	163,341	545
99004	23713	NM	NYNB BANK	BRONX	NY	6	143,596	-155
101019	19842	NM	BANK LEUMI USA	NEW YORK	NY	14	5,707,055	21,566
101671	28380	SM	ADIRONDACK BANK	UTICA	NY	16	446,111	1,304
103602	12940	NM	STATE BANK OF CHITTENANGO	CHITTENANGO	NY	2	28,376	89
126012	7356	N	CHAMPLAIN NATIONAL BANK	ELIZABETHTOWN	NY	9	170,577	683
128511	26621	NM	MITSUBISHI UFJ TRUST & BANKING CORPORATION (U.S.A.)	NEW YORK	NY	1	239,255	4,721
160614	20225	NM	FIDUCIARY TRUST COMPANY INTERNATIONAL	NEW YORK	NY	1	924,804	2,480
161602	6985	N	CANANDAIGUA NATIONAL BANK AND TRUST COMPANY, THE	CANANDAIGUA	NY	21	1,215,730	10,290
165806	13292	NM	BANK OF CASTILE, THE	CASTILE	NY	16	608,494	4,593
175609	618	SM	BANK OF MILLBROOK	MILLBROOK	NY	2	129,104	1,198
176101	12944	SM	ORANGE COUNTY TRUST COMPANY	MIDDLETOWN	NY	5	465,865	5,168
202907	6989	N	COMMUNITY BANK, NATIONAL ASSOCIATION	CANTON	NY	132	4,539,154	33,682
214807	623	SM	DEUTSCHE BANK TRUST COMPANY AMERICAS	NEW YORK	NY	2	37,022,000	339,000
229913	21843	SM	MIZUHO CORPORATE BANK (USA)	NEW YORK	NY	1	3,179,343	35,451
234506	7018	N	NATIONAL BANK OF COXSACKIE, THE	COXSACKIE	NY	6	167,666	1,503
236603	7025	N	DELAWARE NATIONAL BANK OF DELHI, THE	DELHI	NY	2	151,167	1,330
239015	23258	SM	GOTHAM BANK OF NEW YORK	NEW YORK	NY	1	238,233	1,594
241009	7031	N	FIRST NATIONAL BANK OF DRYDEN, THE	DRYDEN	NY	2	95,858	915
245016	25093	NM	HABIB AMERICAN BANK	NEW YORK	NY	5	372,752	4,308
254317	13397	NM	BANK OF UTICA	UTICA	NY	1	716,873	5,249
254504	12959	NM	CATTARAUGUS COUNTY BANK	LITTLE VALLEY	NY	7	135,133	855
281210	7337	N	NATIONAL BANK OF DELAWARE COUNTY, WALTON	WALTON	NY	4	163,515	1,219
284408	591	SM	FIRST STATE BANK, CANISTEO, N.Y.	CANISTEO	NY	2	45,541	-33
287007	6990	N	PUTNAM COUNTY NATIONAL BANK OF CARMEL, THE	CARMEL	NY	6	162,254	1,158
292908	6947	N	EVANS NATIONAL BANK	ANGOLA	NY	11	452,183	1,713
306908	7123	N	FIRST NATIONAL BANK OF JEFFERSONVILLE, THE	JEFFERSONVILLE	NY	11	386,405	3,615
313009	13748	N	UPSTATE NATIONAL BANK, THE	LISBON	NY	5	99,998	-72
313401	7128	N	NATIONAL UNION BANK OF KINDERHOOK, THE	KINDERHOOK	NY	4	175,683	1,020
320119	19977	NM	ISRAEL DISCOUNT BANK OF NEW YORK	NEW YORK	NY	7	8,740,421	25,675
