List of Banks in Peer Group -- NYSVG All Insured Savings Banks in New York

Reporting Period End Date	09/30/2012
Number of Banks in Peer Group	57

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
7072	28870	SI	WALLKILL VALLEY FEDERAL SAVINGS AND LOAN ASSOCIATION	WALLKILL	NY	3	170,496	358
24006	15995	SI	PUTNAM COUNTY SAVINGS BANK	BREWSTER	NY	9	965,128	1,310
28013	28710	SI	NORTHFIELD BANK	STATEN ISLAND	NY	19	2,417,842	13,098
29878	30303	SI	MASPETH FEDERAL SAVINGS AND LOAN ASSOCIATION	MASPETH	NY	6	1,746,397	17,861
82079	30783	SI	ATLAS BANK	NEW YORK	NY	2	108,027	159
102173	28379	SI	HOMETOWN BANK OF THE HUDSON VALLEY	WALDEN	NY	5	161,776	-857
125471	30337	SI	PROVIDENT BANK	MONTEBELLO	NY	29	3,450,033	14,107
137915	12054	SI	EMIGRANT BANK	NEW YORK	NY	2	7,697,185	35,725
166111	16030	SI	NORTH COUNTRY SAVINGS BANK, THE	CANTON	NY	4	234,252	390
191805	23047	SI	CMS BANK	MOUNT VERNON	NY	5	251,158	50
195111	16032	SI	RHINEBECK BANK	RHINEBECK	NY	11	583,179	2,154
214106	21591	SI	BANK OF GREENE COUNTY, THE	CATSKILL	NY	10	575,731	4,703
237619	20741	SI	PIONEER SAVINGS BANK	TROY	NY	17	754,893	2,729
249612	16068	SI	APPLE BANK FOR SAVINGS	MANHASSET	NY	49	8,371,069	44,215
268677	30394	SI	CARVER FEDERAL SAVINGS BANK	NEW YORK	NY	9	634,206	-6,907
276074	29496	SI	SENECA FEDERAL SAVINGS AND LOAN ASSOCIATION	BALDWINSVILLE	NY	3	145,950	332
298218	15990	SI	WATERTOWN SAVINGS BANK	WATERTOWN	NY	11	487,511	4,156
301574	30530	SI	LAKE SHORE SAVINGS BANK	DUNKIRK	NY	10	481,527	2,886
301800	15970	SI	ULSTER SAVINGS BANK	KINGSTON	NY	4	726,790	5,639
