List of Banks in Peer Group -- NYSVG All Insured Savings Banks in New York

Reporting Period End Date	09/30/2018
Number of Banks in Peer Group	41

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
166111	16030	SI	NORTH COUNTRY SAVINGS BANK, THE	CANTON	NY	4	248,714	1,151
237619	20741	SI	PIONEER SAVINGS BANK	ALBANY	NY	22	1,289,667	11,997
442011	16040	SI	GENERATIONS BANK	SENECA FALLS	NY	11	289,020	-107
562076	32209	SI	CHINATOWN FEDERAL SAVINGS BANK	NEW YORK	NY	3	132,797	427
301800	15970	SI	ULSTER SAVINGS BANK	KINGSTON	NY	4	858,862	2,894
798277	30056	SI	FAIRPORT SAVINGS BANK	FAIRPORT	NY	5	314,148	460
268677	30394	SI	CARVER FEDERAL SAVINGS BANK	NEW YORK	NY	9	656,750	5,151
900502	15966	SI	FULTON SAVINGS BANK	FULTON	NY	4	381,950	3,452
451273	30397	SI	GEDDES FEDERAL SAVINGS AND LOAN ASSOCIATION	SYRACUSE	NY	1	536,099	2,589
28013	28710	SI	NORTHFIELD BANK	STATEN ISLAND	NY	40	4,156,066	30,125
7072	28870	SI	WALLKILL VALLEY FEDERAL SAVINGS AND LOAN ASSOCIATION	WALLKILL	NY	8	318,500	548
249612	16068	SI	APPLE BANK FOR SAVINGS	MANHASSET	NY	79	13,238,536	68,614
677176	31945	SI	TRUSTCO BANK	GLENVILLE	NY	149	4,907,393	47,058
276074	29496	SI	SENECA SAVINGS	BALDWINSVILLE	NY	3	183,554	605
897170	31189	SI	PONCE BANK	BRONX	NY	14	955,330	3,296
823478	29147	SI	NORTHEAST COMMUNITY BANK	WHITE PLAINS	NY	9	831,713	7,805
900678	28942	SI	CARTHAGE FEDERAL SAVINGS AND LOAN ASSOCIATION	CARTHAGE	NY	3	223,796	1,854
565170	28712	SI	FIRST FEDERAL SAVINGS OF MIDDLETOWN	MIDDLETOWN	NY	2	152,149	317
214106	21591	SI	BANK OF GREENE COUNTY, THE	CATSKILL	NY	15	1,135,019	10,944
454975	30429	SI	MASSENA SAVINGS AND LOAN	MASSENA	NY	2	156,526	894
3340725	57807	SI	QUONTIC BANK	ASTORIA	NY	1	369,496	2,793
548472	28585	SI	MAPLE CITY SAVINGS BANK, FSB	HORNELL	NY	2	74,228	233
924405	16012	SI	DIME COMMUNITY BANK	BROOKLYN	NY	30	6,294,475	41,843
29878	30303	SI	MASPETH FEDERAL SAVINGS AND LOAN ASSOCIATION	MASPETH	NY	6	1,830,953	23,200
516873	28805	SI	SUNNYSIDE FEDERAL SAVINGS AND LOAN ASSOCIATION OF IRVINGTON	IRVINGTON	NY	1	82,475	42
425108	15969	SI	RONDOUT SAVINGS BANK	KINGSTON	NY	4	358,429	1,322
2797359	34969	SI	FIRST CENTRAL SAVINGS BANK	GLEN COVE	NY	8	602,432	-6,721
341310	15987	SI	WALDEN SAVINGS BANK	MONTGOMERY	NY	12	566,972	3,986
137915	12054	SI	EMIGRANT BANK	NEW YORK	NY	2	6,049,654	92,519
905673	30976	SI	GOUVERNEUR SAVINGS AND LOAN ASSOCIATION	GOUVERNEUR	NY	2	131,734	1,280
859712	16026	SI	RIDGEWOOD SAVINGS BANK	RIDGEWOOD	NY	39	5,446,940	29,497
301574	30530	SI	LAKE SHORE SAVINGS BANK	DUNKIRK	NY	11	532,579	3,136
605610	16039	SI	SAWYER SAVINGS BANK	SAUGERTIES	NY	3	247,769	543
195111	16032	SI	RHINEBECK BANK	RHINEBECK	NY	11	774,657	3,312
24006	15995	SI	PCSB BANK	YORKTOWN HEIGHTS	NY	15	1,453,675	7,210
3040418	57129	SI	COMMUNITY FEDERAL SAVINGS BANK	WOODHAVEN	NY	1	145,318	-129
762773	32257	SI	ABACUS FEDERAL SAVINGS BANK	NEW YORK	NY	9	320,261	1,314
1007873	30260	SI	CROSS COUNTY SAVINGS BANK	MIDDLE VILLAGE	NY	6	409,439	1,696
2916534	35154	SI	M.Y. SAFRA BANK, FSB	NEW YORK	NY	1	357,063	265
298218	15990	SI	WATERTOWN SAVINGS BANK	WATERTOWN	NY	11	655,872	6,367
694904	16022	SI	NEW YORK COMMUNITY BANK	FLUSHING	NY	221	46,176,487	340,933
