List of Banks in Peer Group -- OHCOM All Insured Commercial Banks in Ohio

Reporting Period End Date	12/31/2007
Number of Banks in Peer Group	165

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
12311	6560	N	HUNTINGTON NATIONAL BANK, THE	COLUMBUS	OH	626	54,059,237	62,917
27614	10663	SM	ANDOVER BANK, THE	ANDOVER	OH	7	274,888	2,780
39420	14832	N	LORAIN NATIONAL BANK, THE	LORAIN	OH	17	971,587	6,307
44929	6637	N	FIRST NATIONAL BANK OF MCCONNELSVILLE, THE	MCCONNELSVILLE	OH	5	91,569	757
52410	9133	NM	BARTLETT FARMERS BANK, THE	BARTLETT	OH	3	47,615	381
58225	769	NM	FARMERS BANK AND SAVINGS COMPANY, THE	POMEROY	OH	5	197,440	2,005
67311	13675	N	FIRSTMERIT BANK, N.A.	AKRON	OH	158	10,342,213	123,001
79127	6680	N	HOME NATIONAL BANK	RACINE	OH	2	55,331	638
91615	14523	NM	ANTWERP EXCHANGE BANK COMPANY, THE	ANTWERP	OH	1	60,560	407
106519	13223	NM	CITIZENS BANK OF ASHVILLE, OHIO, THE	ASHVILLE	OH	3	93,408	505
110413	5962	NM	SUTTON BANK	ATTICA	OH	9	319,309	-2,332
112510	17759	NM	BALTIC STATE BANK, THE	BALTIC	OH	2	30,241	243
130813	6516	N	LIBERTY NATIONAL BANK	ADA	OH	4	172,876	1,487
137821	11085	NM	MILTON BANKING COMPANY, THE	WELLSTON	OH	3	78,754	632
138725	13567	N	FIRST NATIONAL BANK OF POWHATAN POINT, THE	POWHATAN POINT	OH	1	21,358	200
148920	9865	NM	REPUBLIC BANKING COMPANY, THE	REPUBLIC	OH	1	33,203	170
150727	12978	SM	RICHWOOD BANKING COMPANY, INC., THE	RICHWOOD	OH	4	189,681	1,928
165628	6600	N	FIRST FINANCIAL BANK, NATIONAL ASSOCIATION	HAMILTON	OH	74	3,276,900	40,879
176325	9462	NM	FARMERS & MERCHANTS BANK	MIAMISBURG	OH	3	76,588	267
177920	13716	NM	MIDDLEFIELD BANKING COMPANY, THE	MIDDLEFIELD	OH	7	359,954	3,768
