List of Banks in Peer Group -- OKCOM All Insured Commercial Banks in Oklahoma

Reporting Period End Date	09/30/2008
Number of Banks in Peer Group	248

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
1856	22430	NM	WASHITA STATE BANK	BURNS FLAT	OK	1	223,124	3,052
3953	416	NM	FIRST CAPITAL BANK	GUTHRIE	OK	2	114,855	2,593
14650	16795	SM	BANK OF LOCUST GROVE	LOCUST GROVE	OK	1	26,231	354
17259	26260	N	FIRST NATIONAL BANK IN MARLOW, THE	MARLOW	OK	2	63,227	896
18854	4147	SM	BANK7	OKLAHOMA CITY	OK	3	90,126	672
19356	9881	NM	SECURITY BANK AND TRUST COMPANY	MIAMI	OK	1	80,273	891
24855	4155	N	FIRST NATIONAL BANK OF NASH, THE	NASH	OK	1	9,730	63
25357	20093	NM	ALL AMERICA BANK	OKLAHOMA CITY	OK	2	154,115	1,881
36054	18957	NM	COPPERMARK BANK	OKLAHOMA CITY	OK	9	1,000,358	9,980
37659	12758	NM	FARMERS STATE BANK, ALLEN, OKLAHOMA	ALLEN	OK	2	41,471	579
39756	4032	NM	NBC OKLAHOMA	OKLAHOMA CITY	OK	9	410,419	3,932
41553	12283	SM	FIRST STATE BANK	ANADARKO	OK	2	68,338	1,230
42055	15354	SM	ANADARKO BANK AND TRUST COMPANY	ANADARKO	OK	4	67,160	-311
49951	4041	NM	FIRST SECURITY BANK, THE	BEAVER	OK	1	85,913	978
50854	2332	NM	WILBURTON STATE BANK	WILBURTON	OK	2	59,162	1,187
51356	22839	NM	LATIMER STATE BANK	WILBURTON	OK	1	79,162	1,767
52951	8980	NM	SECURITY STATE BANK OF WEWOKA, OKLAHOMA	WEWOKA	OK	2	73,095	910
53453	15008	N	FIRST NATIONAL BANK IN WEWOKA	WEWOKA	OK	1	42,652	305
54357	2303	NM	FIRST STATE BANK, THE	CAMARGO	OK	1	26,687	269
58551	421	NM	SECURITY STATE BANK	CHEYENNE	OK	1	99,675	1,333
59754	2317	SM	BANK OF WYANDOTTE, THE	WYANDOTTE	OK	1	13,035	111
61953	4071	N	FIRST NATIONAL BANK OF COWETA, THE	COWETA	OK	2	63,837	190
64552	11521	SM	BANK2	OKLAHOMA CITY	OK	2	83,159	174
67151	20156	NM	KIRKPATRICK BANK	EDMOND	OK	6	491,828	3,336
68756	11522	N	LIBERTY NATIONAL BANK	LAWTON	OK	6	168,835	208
73152	4097	N	FARMERS AND MERCHANTS NATIONAL BANK OF FAIRVIEW, THE	FAIRVIEW	OK	1	73,219	1,316
75259	12484	NM	GLENCOE STATE BANK	GLENCOE	OK	1	11,599	92
76854	22065	NM	GRAND BANK	TULSA	OK	3	239,958	1,224
83357	4126	NM	FIRST STATE BANK, JONES, OKLAHOMA	JONES	OK	1	38,742	167
85454	4130	NM	BANK OF LAVERNE	LAVERNE	OK	1	56,261	492
95659	429	SM	MORRIS STATE BANK, THE	MORRIS	OK	1	61,188	1,065
99853	9879	NM	FIRST STATE BANK	NOBLE	OK	3	54,579	1,180
102155	5995	NM	STATE GUARANTY BANK	OKEENE	OK	1	32,624	251
106359	23473	N	FIRST FIDELITY BANK, NATIONAL ASSOCIATION	OKLAHOMA CITY	OK	27	1,068,211	9,111
114457	4086	N	FIRST NATIONAL BANK & TRUST, ELK CITY, OKLAHOMA	ELK CITY	OK	2	230,934	3,639
116554	18924	NM	FIRST STATE BANK	ELMORE CITY	OK	1	9,126	38
119153	14966	N	SECURITY NATIONAL BANK OF ENID, THE	ENID	OK	3	268,558	5,239
125154	16416	N	FORT SILL NATIONAL BANK, THE	FORT SILL	OK	54	288,036	3,460
129358	9467	NM	FIRST STATE BANK	GRANDFIELD	OK	2	25,656	294
131155	4107	N	CITY NATIONAL BANK AND TRUST COMPANY OF GUYMON, THE	GUYMON	OK	2	147,191	1,825
137456	11862	NM	BANK OF BEAVER CITY, THE	BEAVER	OK	3	107,953	1,021
139553	10667	SM	CITIZENS SECURITY BANK & TRUST COMPANY	BIXBY	OK	11	516,834	5,392
141350	2301	NM	FIRST STATE BANK, THE	BOISE CITY	OK	1	40,247	208
142955	4048	NM	SPIRITBANK	TULSA	OK	16	1,230,060	4,056
145554	4050	N	FIRST NATIONAL BANK AND TRUST COMPANY OF BROKEN ARROW, THE	BROKEN ARROW	OK	4	199,890	656
146056	4051	SM	ALLNATIONS BANK	CALUMET	OK	1	19,285	17
147651	26416	NM	COMMUNITY STATE BANK OF CANTON	CANTON	OK	2	28,639	243
151555	4056	SM	FIRST BANK OF CHANDLER	CHANDLER	OK	1	68,569	1,235
152057	13274	SM	BANK OF COMMERCE	CHELSEA	OK	6	161,060	554
154154	4062	N	FIRST NATIONAL BANK AND TRUST COMPANY, CHICKASHA, OKLAHOMA, THE	CHICKASHA	OK	9	320,691	4,310
155759	406	NM	CLEO STATE BANK	CLEO SPRINGS	OK	4	70,556	1,547
157856	15348	SM	FIRST BANK AND TRUST COMPANY	CLINTON	OK	1	42,135	552
159953	4067	NM	OKLAHOMA BANK AND TRUST COMPANY	CLINTON	OK	2	121,981	1,935
163857	12761	NM	FARMERS & MERCHANTS BANK	CRESCENT	OK	3	124,015	1,176
172457	4084	SM	CITIZENS BANK OF EDMOND, THE	EDMOND	OK	6	331,048	2,416
175056	4087	SM	BANK OF WESTERN OKLAHOMA	ELK CITY	OK	6	174,841	1,012
182652	4096	SM	FIRST BANK OF FAIRLAND, THE	FAIRLAND	OK	1	10,299	125
183154	2335	SM	FIRST STATE BANK, THE	FAIRFAX	OK	2	39,338	40
184759	2308	NM	WASHITA VALLEY BANK	FORT COBB	OK	1	31,879	257
185251	4098	N	FIRST NATIONAL BANK OF FLETCHER, THE	FLETCHER	OK	2	18,348	104
186856	21090	NM	FORT GIBSON STATE BANK	FORT GIBSON	OK	1	61,349	431
187358	12483	NM	FREEDOM STATE BANK, THE	FREEDOM	OK	1	18,190	99
192857	22340	NM	BANK OF THE PANHANDLE	GUYMON	OK	1	89,296	797
195456	4111	N	FIRST NATIONAL BANK	HEAVENER	OK	2	94,832	1,293
237954	4241	N	IDABEL NATIONAL BANK, THE	IDABEL	OK	1	92,089	1,572
241157	4029	N	VISION BANK, NATIONAL ASSOCIATION	ADA	OK	6	481,448	6,607
243955	2331	NM	PEOPLES BANK & TRUST COMPANY	RYAN	OK	1	19,253	188
245351	4031	N	FIRST NATIONAL BANK IN ALTUS, THE	ALTUS	OK	6	264,196	1,518
246956	9465	NM	ALVA STATE BANK & TRUST COMPANY	ALVA	OK	3	184,602	2,471
249153	4195	NM	SOUTHWEST STATE BANK	SENTINEL	OK	1	122,085	1,227
249555	9873	NM	FIRST STATE BANK OF ALTUS	ALTUS	OK	2	126,466	-4,947
250850	25750	NM	COMMUNITY BANK	ALVA	OK	1	52,076	641
251352	4033	N	CENTRAL NATIONAL BANK OF ALVA, THE	ALVA	OK	3	249,433	2,958
254652	4198	NM	BANK OF THE WICHITAS	SNYDER	OK	4	86,538	884
255556	22717	SM	CITIZENS BANK & TRUST COMPANY OF ARDMORE	ARDMORE	OK	4	166,063	1,612
256058	24472	N	AMERICAN NATIONAL BANK	ARDMORE	OK	5	168,892	1,884
257653	13415	NM	FARMERS AND MERCHANTS BANK	ARNETT	OK	1	33,970	529
262059	2326	NM	ARKANSAS VALLEY STATE BANK, THE	BROKEN ARROW	OK	4	285,114	112
264156	18263	NM	CARNEY STATE BANK, THE	CARNEY	OK	1	17,453	97
266253	4061	NM	ACB BANK	CHEROKEE	OK	3	48,879	221
271752	4075	SM	BANK OF CUSHING AND TRUST COMPANY	CUSHING	OK	2	88,534	1,082
273859	12284	NM	FARMERS AND MERCHANTS BANK	DUKE	OK	1	15,222	135
278153	9882	NM	PEOPLES BANK	TULSA	OK	2	91,223	992
278555	4091	N	CENTRAL NATIONAL BANK & TRUST CO., OF ENID	ENID	OK	7	496,652	4,134
280352	4092	NM	FIRST AMERICAN BANK	ERICK	OK	1	35,397	505
283652	24677	N	TRIAD BANK, NATIONAL ASSOCIATION	TULSA	OK	2	103,003	647
284154	18856	SM	FREEDOM BANK OF OKLAHOMA	TULSA	OK	2	42,465	282
284556	12285	NM	STOCKMANS BANK	ALTUS	OK	4	114,080	450
285759	15611	NM	OKLAHOMA STATE BANK	VINITA	OK	2	84,228	850
286251	420	NM	BANK OF VICI	VICI	OK	1	30,357	439
287856	2312	NM	AMERICAN BANK, THE	WAGONER	OK	1	30,116	221
288358	4218	N	FIRST NATIONAL BANK AND TRUST COMPANY OF VINITA, THE	VINITA	OK	4	209,422	3,228
291059	10674	NM	BANK OF HYDRO	HYDRO	OK	3	86,644	1,257
294751	4132	N	CITY NATIONAL BANK AND TRUST COMPANY OF LAWTON, OKLAHOMA, THE	LAWTON	OK	33	247,755	3,104
296456	14331	SM	FIRSTBANK	ANTLERS	OK	3	160,120	2,730
296858	4134	N	FIRST NATIONAL BANK OF LINDSAY, THE	LINDSAY	OK	1	23,320	-63
300353	4236	N	SHAMROCK BANK, NATIONAL ASSOCIATION	COALGATE	OK	7	228,297	3,039
302450	15616	N	FIRST NATIONAL BANK	IDABEL	OK	2	87,370	706
309655	4160	NM	REGENT BANK	NOWATA	OK	3	104,635	165
310950	4161	N	FIRST NATIONAL BANK IN OKEENE	OKEENE	OK	1	67,289	998
311050	4190	SM	AMERICAN HERITAGE BANK	SAPULPA	OK	13	601,852	7,926
311452	4163	N	OKEMAH NATIONAL BANK, THE	OKEMAH	OK	1	63,844	1,010
