List of Banks in Peer Group -- ORCOM All Insured Commercial Banks in Oregon

Reporting Period End Date	06/30/2008
Number of Banks in Peer Group	36

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
14865	16243	NM	BANK OF EASTERN OREGON	HEPPNER	OR	11	211,579	1,366
17464	22407	NM	BANK OF THE CASCADES	BEND	OR	33	2,401,780	5,790
20866	23181	SM	HOME VALLEY BANK	GRANTS PASS	OR	6	217,548	632
98463	17809	NM	CITIZENS BANK	CORVALLIS	OR	11	358,963	2,971
143662	17266	NM	UMPQUA BANK	ROSEBURG	OR	136	8,293,318	36,166
160360	23007	SM	OREGON PACIFIC BANKING CO. DBA OREGON PACIFIC BANK	FLORENCE	OR	4	155,825	568
593865	2345	NM	WEST COAST BANK	LAKE OSWEGO	OR	62	2,602,040	6,415
641579	9486	NM	CLACKAMAS COUNTY BANK	SANDY	OR	4	153,099	1,775
644178	22469	NM	COLUMBIA RIVER BANK	THE DALLES	OR	22	1,038,476	1,733
650674	31964	NM	LIBERTYBANK	EUGENE	OR	15	951,342	-1,283
693662	20774	NM	PACIFIC CONTINENTAL BANK	EUGENE	OR	14	986,509	6,448
779360	17445	NM	COMMUNITY BANK	JOSEPH	OR	15	318,016	1,830
843270	23268	SM	COMMUNITY FIRST BANK	PRINEVILLE	OR	8	209,406	-27
849665	19006	NM	SIUSLAW BANK	FLORENCE	OR	10	270,792	2,429
852973	19827	N	PIONEER TRUST BANK, NATIONAL ASSOCIATION	SALEM	OR	2	256,101	3,598
906063	22401	NM	SOUTH VALLEY BANK & TRUST	KLAMATH FALLS	OR	15	593,436	2,565
1457003	32975	NM	PREMIERWEST BANK	MEDFORD	OR	44	1,423,487	3,289
2332666	34106	NM	ALBINA COMMUNITY BANK	PORTLAND	OR	5	188,436	-770
2370994	34093	NM	MBANK	GRESHAM	OR	5	301,698	-333
2661861	34685	NM	PEOPLE'S BANK OF COMMERCE	MEDFORD	OR	3	86,156	79
2802664	35013	NM	COLUMBIA COMMUNITY BANK	HILLSBORO	OR	4	374,364	1,347
2907046	35399	NM	SILVER FALLS BANK	SILVERTON	OR	3	145,573	-309
2954497	57033	NM	WILLAMETTE VALLEY BANK	SALEM	OR	3	102,642	186
3102530	57342	NM	PINNACLE BANK	BEAVERTON	OR	1	91,458	-648
3125557	57373	NM	OREGON COAST BANK	NEWPORT	OR	4	101,378	747
3187395	57513	NM	WILLAMETTE COMMUNITY BANK	ALBANY	OR	2	46,535	82
3204993	57562	NM	CAPITAL PACIFIC BANK	PORTLAND	OR	1	134,247	963
3243282	57706	NM	SUMMIT BANK	EUGENE	OR	1	91,309	185
3258286	57720	NM	CENTURY BANK	EUGENE	OR	1	69,322	154
3303944	57872	NM	PACIFIC WEST BANK	WEST LINN	OR	2	47,183	48
3308314	57877	NM	BANK OF OSWEGO, THE	LAKE OSWEGO	OR	1	57,394	-113
3368831	58047	NM	NORTHWEST BANK	LAKE OSWEGO	OR	1	104,709	90
3374186	58223	NM	COMMERCE BANK OF OREGON, THE	PORTLAND	OR	1	42,440	-502
3489071	58428	NM	LEWIS & CLARK BANK	OREGON CITY	OR	1	71,098	-507
3631870	58625	NM	CENTERPOINTE COMMUNITY BANK	HOOD RIVER	OR	2	22,590	-984
3730746	58660	NM	COMPASS COMMUNITY BANK	SEASIDE	OR	1	8,011	-1,008
