List of Banks in Peer Group -- PACOM All Insured Commercial Banks in Pennsylvania

Reporting Period End Date	09/30/2024
Number of Banks in Peer Group	75

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
597313	444	NM	PS BANK	WYALUSING	PA	8	541,081	5,291
342410	713	SM	ORRSTOWN BANK	HARRISBURG	PA	44	5,514,009	15,153
278818	7514	NM	PEOPLES SECURITY BANK AND TRUST COMPANY	DUNMORE	PA	44	5,306,258	5,503
56717	9888	NM	DIME BANK, THE	HONESDALE	PA	9	1,036,432	9,318
289515	8405	NM	FARMERS AND MERCHANTS TRUST COMPANY OF CHAMBERSBURG	CHAMBERSBURG	PA	23	2,082,246	12,219
732918	14359	NM	JERSEY SHORE STATE BANK	WILLIAMSPORT	PA	16	1,594,855	9,822
212018	7613	NM	PENNIAN BANK	MIFFLINTOWN	PA	10	725,852	1,287
600419	14969	NM	KISH BANK	BELLEVILLE	PA	17	1,600,233	11,749
3271799	57777	NM	MERIDIAN BANK	MALVERN	PA	7	2,331,518	13,018
947525	7909	NM	MARION CENTER BANK	INDIANA	PA	7	431,580	1,036
936426	11124	NM	S & T BANK	INDIANA	PA	70	9,648,854	99,716
18827	7900	N	NEXTIER BANK, NA	KITTANNING	PA	31	2,624,343	17,970
144913	7646	N	NEFFS NATIONAL BANK, THE	NEFFS	PA	2	458,197	1,609
556011	8421	NM	SUSQUEHANNA COMMUNITY BANK	WEST MILTON	PA	7	603,462	1,652
790918	7404	NM	FIRST KEYSTONE COMMUNITY BANK	BERWICK	PA	19	1,452,069	-14,697
3185579	57624	NM	CLARION COUNTY COMMUNITY BANK	CLARION	PA	5	234,435	179
291611	11113	NM	HAMLIN BANK AND TRUST COMPANY	SMETHPORT	PA	8	425,889	3,984
127224	7886	N	FIRST UNITED NATIONAL BANK	FRYBURG	PA	6	352,112	412
121914	16976	NM	COMMUNITY STATE BANK OF ORBISONIA	ORBISONIA	PA	9	460,117	2,126
734613	90384	SM	BANK OF LANDISBURG, THE	LANDISBURG	PA	4	389,679	3,178
354310	7759	SM	UNIVEST BANK AND TRUST CO.	HILLTOWN	PA	38	7,835,308	64,096
70414	7666	N	NORTHUMBERLAND NATIONAL BANK, THE	NORTHUMBERLAND	PA	6	697,965	1,303
186717	7675	SM	FIRST NORTHERN BANK AND TRUST COMPANY	PALMERTON	PA	11	916,000	7,904
557317	14863	NM	LINKBANK	CAMP HILL	PA	26	2,763,142	21,598
2354985	34444	SM	CUSTOMERS BANK	MALVERN	PA	7	21,346,299	160,682
526519	8426	NM	1ST SUMMIT BANK	JOHNSTOWN	PA	18	1,386,227	346
2730431	34786	NM	ENTERPRISE BANK	ALLISON PARK	PA	1	427,842	2,212
