List of Banks in Peer Group -- PASVG All Insured Savings Banks in Pennsylvania

Reporting Period End Date	09/30/2019
Number of Banks in Peer Group	50

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
678070	30154	SI	SEWICKLEY SAVINGS BANK	SEWICKLEY	PA	3	317,009	1,758
45775	28908	SI	IRON WORKERS SAVINGS BANK	ASTON	PA	3	176,542	391
164377	28793	SI	SHARON BANK	DARBY	PA	4	177,097	266
664176	27799	SI	WILLIAM PENN BANK	LEVITTOWN	PA	7	410,965	3,335
282075	29520	SI	WASHINGTON FINANCIAL BANK	WASHINGTON	PA	11	1,169,897	7,741
904171	27763	SI	INFIRST BANK	INDIANA	PA	8	409,622	1,572
459372	28836	SI	UNITED SAVINGS BANK	PHILADELPHIA	PA	6	360,364	2,265
824671	29995	SI	PHOENIXVILLE FEDERAL BANK AND TRUST	PHOENIXVILLE	PA	6	451,205	2,725
357777	30637	SI	GREENVILLE SAVINGS BANK	GREENVILLE	PA	3	239,801	1,139
100777	29672	SI	CFSBANK	CHARLEROI	PA	10	486,251	1,110
815277	35497	SI	QUAINT OAK BANK	SOUTHAMPTON	PA	2	278,398	2,222
432012	7577	SI	FIRST BANK OF LILLY	LILLY	PA	1	20,695	-177
460275	29627	SI	SECOND FEDERAL SAVINGS & LOAN ASSOCIATION OF PHILADELPHIA	PHILADELPHIA	PA	1	12,418	-117
582177	30464	SI	HUNTINGDON VALLEY BANK	HUNTINGDON VALLEY	PA	5	319,227	803
952677	28262	SI	ESSA BANK & TRUST	STROUDSBURG	PA	23	1,817,634	9,517
304173	30544	SI	MARQUETTE SAVINGS BANK	ERIE	PA	12	889,888	5,081
277277	30431	SI	SSB BANK	PITTSBURGH	PA	2	194,030	322
373272	29430	SI	COMPASS SAVINGS BANK	WILMERDING	PA	1	54,208	-459
961624	32245	SI	DOLLAR BANK, FEDERAL SAVINGS BANK	PITTSBURGH	PA	73	8,651,064	53,068
658072	29231	SI	COUNTY SAVINGS BANK	ESSINGTON	PA	2	83,467	292
123075	28637	SI	MILTON SAVINGS BANK	MILTON	PA	1	63,850	458
757779	28186	SI	MCS BANK	LEWISTOWN	PA	5	144,383	508
534877	27943	SI	BRENTWOOD BANK	BETHEL PARK	PA	6	681,943	3,650
213471	27686	SI	SLOVENIAN SAVINGS AND LOAN ASSOCIATION OF CANONSBURG, PA	STRABANE	PA	1	414,280	3,510
624778	28706	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF GREENE COUNTY	WAYNESBURG	PA	9	927,243	3,360
19972	34711	SI	FARMERS BUILDING AND SAVINGS BANK	ROCHESTER	PA	1	96,123	384
2973386	35388	SI	SEI PRIVATE TRUST COMPANY	OAKS	PA	1	181,335	65,267
885579	33802	SI	TIOGA-FRANKLIN SAVINGS BANK	PHILADELPHIA	PA	1	42,699	11
1002878	28178	SI	NORTHWEST BANK	WARREN	PA	172	10,547,626	88,392
854173	30121	SI	INVESTMENT SAVINGS BANK	ALTOONA	PA	2	102,945	257
139478	31461	SI	HARLEYSVILLE BANK	HARLEYSVILLE	PA	8	783,715	6,539
805876	30119	SI	PENNCREST BANK	ALTOONA	PA	7	180,940	591
932978	26647	SI	FIRSTRUST SAVINGS BANK	CONSHOHOCKEN	PA	23	3,362,730	36,441
568377	31994	SI	SLOVENIAN SAVINGS & LOAN ASSOCIATION OF FRANKLIN-CONEMAUGH	JOHNSTOWN	PA	6	144,383	317
188177	30551	SI	WESTMORELAND FEDERAL SAVINGS AND LOAN ASSOCIATION OF LATROBE	LATROBE	PA	1	171,575	223
269571	29471	SI	ARMSTRONG COUNTY BUILDING AND LOAN ASSOCIATION	FORD CITY	PA	1	85,455	129
1225798	27385	SI	PORT RICHMOND SAVINGS	PHILADELPHIA	PA	1	77,214	1,049
646471	30031	SI	HUNTINGDON SAVINGS BANK	HUNTINGDON	PA	1	16,502	64
743679	30117	SI	RELIANCE SAVINGS BANK	ALTOONA	PA	8	534,367	2,446
811279	27757	SI	STANDARD BANK, PASB	MURRYSVILLE	PA	15	978,980	6,781
777375	30954	SI	FIDELITY SAVINGS & LOAN ASSOCIATION OF BUCKS COUNTY	BRISTOL	PA	2	87,750	202
231671	29281	SI	WASHINGTON SAVINGS BANK	PHILADELPHIA	PA	5	162,200	-465
206174	28701	SI	AMBLER SAVINGS BANK	AMBLER	PA	6	409,969	2,508
641775	30011	SI	PRUDENTIAL BANK	PHILADELPHIA	PA	10	1,197,825	7,886
660570	30085	SI	COATESVILLE SAVINGS BANK	COATESVILLE	PA	5	219,513	672
842376	27760	SI	WEST VIEW SAVINGS BANK	PITTSBURGH	PA	5	352,569	2,151
828473	31184	SI	CITIZENS SAVINGS BANK	CLARKS SUMMIT	PA	8	329,382	969
328777	30401	SI	PENN COMMUNITY BANK	DOYLESTOWN	PA	25	2,219,450	7,464
995272	30155	SI	HATBORO FEDERAL SAVINGS	HATBORO	PA	4	509,443	3,411
777870	27711	SI	ALTOONA FIRST SAVINGS BANK	ALTOONA	PA	5	223,974	1,593
