List of Banks in Peer Group -- SCCOM All Insured Commercial Banks in South Carolina

Reporting Period End Date	03/31/2012
Number of Banks in Peer Group	60

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
3720	15671	NM	BANK OF CLARENDON, THE	MANNING	SC	5	209,771	517
6329	9923	NM	ANDERSON BROTHERS BANK	MULLINS	SC	18	434,048	824
81429	27055	NM	CLOVER COMMUNITY BANK	CLOVER	SC	2	121,099	320
93721	15504	NM	FIRST CITIZENS BANK AND TRUST COMPANY, INC.	COLUMBIA	SC	194	8,197,542	18,269
174321	17773	NM	BLUE RIDGE BANK	WALHALLA	SC	3	102,691	195
246022	26912	NM	BANK OF SOUTH CAROLINA, THE	CHARLESTON	SC	4	324,418	953
271529	9155	NM	COUNTYBANK	GREENWOOD	SC	4	311,760	545
277820	17563	NM	PALMETTO STATE BANK	HAMPTON	SC	7	434,566	872
282226	1660	NM	FARMERS AND MERCHANTS BANK OF SOUTH CAROLINA	HOLLY HILL	SC	8	296,818	753
285928	16968	NM	PEOPLES BANK THE	IVA	SC	6	253,979	612
347022	2107	N	FIRST NATIONAL BANK OF SOUTH CAROLINA	HOLLY HILL	SC	8	157,554	82
349129	14642	NM	COMMERCIAL BANK, THE	HONEA PATH	SC	5	154,187	516
355120	16723	NM	CAROLINA BANK & TRUST COMPANY	LAMAR	SC	16	363,052	423
457426	11539	NM	ENTERPRISE BANK OF SOUTH CAROLINA	EHRHARDT	SC	12	409,498	-1,470
465524	15113	NM	BANK OF GREELEYVILLE	GREELEYVILLE	SC	2	78,892	206
513322	26588	NM	DEDICATED COMMUNITY BANK	DARLINGTON	SC	1	45,815	28
540926	13425	N	SCBT, NATIONAL ASSOCIATION	ORANGEBURG	SC	67	3,954,744	7,437
589523	16389	NM	BANK OF TRAVELERS REST	TRAVELERS REST	SC	9	484,293	1,459
591320	15085	NM	ARTHUR STATE BANK	UNION	SC	20	557,682	505
631422	2102	N	CONWAY NATIONAL BANK, THE	CONWAY	SC	15	926,405	613
698322	26753	N	PEOPLES NATIONAL BANK, THE	EASLEY	SC	5	309,397	678
704326	15062	NM	ALLENDALE COUNTY BANK	FAIRFAX	SC	3	58,179	30
763677	31100	NM	SECURITY FEDERAL BANK	AIKEN	SC	14	908,871	522
806220	17953	NM	SANDHILLS BANK	NORTH MYRTLE BEACH	SC	3	62,771	52
862824	8997	NM	PALMETTO BANK, THE	GREENVILLE	SC	27	1,206,964	-562
877574	28994	SM	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF CHARLESTON	CHARLESTON	SC	63	3,146,439	2,856
898627	15932	NM	CITIZENS BANK, THE	OLANTA	SC	15	366,819	639
922924	15104	NM	BANK OF YORK	YORK	SC	4	187,207	374
937674	28997	N	PROVIDENT COMMUNITY BANK, NATIONAL ASSOCIATION	ROCK HILL	SC	9	375,959	4
1162530	27139	NM	HORRY COUNTY STATE BANK	LORIS	SC	11	534,783	63
1356526	27413	NM	GREER STATE BANK	GREER	SC	4	384,675	1,912
1404481	27496	NM	BANK OF WALTERBORO	WALTERBORO	SC	4	162,224	131
1440117	32838	NM	COMMUNITY FIRST BANK INC.	WALHALLA	SC	8	509,945	-606
2328137	34047	N	FIRST COMMUNITY BANK, N.A.	LEXINGTON	SC	11	592,105	936
2491291	34222	NM	FIRST SOUTH BANK	SPARTANBURG	SC	5	372,111	-1,451
2701767	34830	N	BANK OF ANDERSON, NATIONAL ASSOCIATION	ANDERSON	SC	2	139,958	459
2713555	34774	NM	SOUTHCOAST COMMUNITY BANK	MOUNT PLEASANT	SC	10	425,304	1,401
2728661	34812	NM	GRANDSOUTH BANK	GREENVILLE	SC	3	376,561	1,062
2757906	35079	N	SENECA NATIONAL BANK	SENECA	SC	1	77,899	979
2794732	35241	NM	SOUTH CAROLINA COMMUNITY BANK	COLUMBIA	SC	5	86,293	-193
