List of Banks in Peer Group -- SDCOM All Insured Commercial Banks in South Dakota

Reporting Period End Date	03/31/2023
Number of Banks in Peer Group	55

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
289757	1125	SM	MERCHANTS STATE BANK	FREEMAN	SD	4	223,155	703
293651	16161	NM	CAMPBELL COUNTY BANK	HERREID	SD	3	159,518	1,085
77851	3973	NM	FIRST BANK & TRUST	BROOKINGS	SD	24	4,328,138	11,011
526452	1673	NM	1ST FINANCIAL BANK USA	DAKOTA DUNES	SD	2	1,094,746	4,108
441256	4028	N	FIRST DAKOTA NATIONAL BANK	YANKTON	SD	17	2,740,382	7,317
120953	1686	NM	FARMERS STATE BANK	PARKSTON	SD	4	270,266	414
128258	492	NM	WESTERN DAKOTA BANK	TIMBER LAKE	SD	2	70,225	300
374653	6085	SM	FIRST PREMIER BANK	SIOUX FALLS	SD	16	2,975,669	11,642
274856	1118	SM	CITIZENS STATE BANK OF ARLINGTON	ARLINGTON	SD	3	146,916	257
61355	6063	N	CORTRUST BANK NATIONAL ASSOCIATION	MITCHELL	SD	37	1,610,898	3,827
410159	18483	NM	ANDES STATE BANK	LAKE ANDES	SD	1	24,920	75
474450	9935	NM	RIVERS EDGE BANK	MARION	SD	5	266,288	503
135854	9007	NM	HEARTLAND STATE BANK	REDFIELD	SD	4	142,504	701
288152	3985	N	FIRST NATIONAL BANK OF FREDERICK, THE	FREDERICK	SD	1	29,431	71
496957	6084	NM	FARMERS STATE BANK OF TURTON, THE	TURTON	SD	1	37,867	29
435077	30776	N	PATHWARD, NATIONAL ASSOCIATION	SIOUX FALLS	SD	1	7,514,631	55,769
256553	17437	SM	DACOTAH BANK	ABERDEEN	SD	34	3,662,052	6,325
532453	15593	NM	IPSWICH STATE BANK	IPSWICH	SD	1	72,009	203
189950	9005	NM	FIRST STATE BANK OF ROSCOE	ROSCOE	SD	3	152,042	577
476810	7213	N	CITIBANK, N.A.	SIOUX FALLS	SD	781	1,759,661,000	4,559,000
354253	15847	NM	SUNRISE BANK DAKOTA	ONIDA	SD	1	64,698	281
593052	1678	NM	PLAINS COMMERCE BANK	SIOUX FALLS	SD	9	1,045,814	2,767
2858960	35444	N	BANCORP BANK NATIONAL ASSOCIATION, THE	SIOUX FALLS	SD	1	7,580,292	54,295
109453	496	NM	BANKSTAR FINANCIAL	ELKTON	SD	3	254,384	559
355858	14712	N	FIRST NATIONAL BANK	FORT PIERRE	SD	17	1,700,457	7,517
108951	16221	NM	RELIABANK DAKOTA	ESTELLINE	SD	10	822,116	1,303
300157	9947	NM	VALLEY EXCHANGE BANK	LENNOX	SD	2	75,543	389
82257	6064	NM	BRYANT STATE BANK	BRYANT	SD	1	46,550	126
538754	3999	N	FIRST NATIONAL BANK IN PHILIP	PHILIP	SD	2	384,189	1,606
540551	4009	NM	BANKWEST, INCORPORATED	PIERRE	SD	17	1,574,734	840
451965	3511	N	WELLS FARGO BANK, NATIONAL ASSOCIATION	SIOUX FALLS	SD	4498	1,689,973,000	6,017,000
589158	505	NM	GREAT PLAINS BANK	EUREKA	SD	3	147,313	803
91950	11133	NM	FARMERS STATE BANK OF CANTON	CANTON	SD	1	59,340	38
601153	501	NM	FARMERS AND MERCHANTS STATE BANK	PLANKINTON	SD	2	137,418	688
2529176	34394	N	SECURITY NATIONAL BANK OF SOUTH DAKOTA	DAKOTA DUNES	SD	3	227,711	1,148
403656	18145	NM	STATE BANK OF EAGLE BUTTE	EAGLE BUTTE	SD	1	77,873	230
326858	4016	N	FIRST NATIONAL BANK IN SIOUX FALLS, THE	SIOUX FALLS	SD	17	1,783,676	3,350
80150	1122	NM	FIRST FIDELITY BANK	BURKE	SD	7	506,799	2,106
944355	25894	N	FIRST NATIONAL BANK	OLDHAM	SD	11	423,788	1,083
592550	15629	NM	QUOIN FINANCIAL BANK	MILLER	SD	3	209,407	933
435255	485	NM	SECURITY BANK MIDWEST	TYNDALL	SD	5	287,349	839
275358	1117	NM	AMERICAN BANK & TRUST	SIOUX FALLS	SD	16	1,524,871	5,060
401559	3977	N	DNB NATIONAL BANK	CLEAR LAKE	SD	2	107,119	375
407850	12293	NM	FARMERS STATE BANK	HOSMER	SD	1	23,543	59
95051	6078	NM	ONE AMERICAN BANK	CENTERVILLE	SD	3	440,634	-2,126
270652	16448	NM	SECURITY STATE BANK	ALEXANDRIA	SD	3	96,438	217
83852	1675	NM	RICHLAND STATE BANK	BRUCE	SD	1	57,917	805
65559	15562	NM	PIONEER BANK & TRUST	BELLE FOURCHE	SD	6	1,024,048	2,421
3636428	58723	N	BLACK HILLS COMMUNITY BANK, NATIONAL ASSOCIATION	RAPID CITY	SD	2	452,180	1,518
464255	504	NM	DAKOTA PRAIRIE BANK	FORT PIERRE	SD	4	124,772	482
276953	1687	NM	COMMUNITY BANK	AVON	SD	1	65,741	66
285553	15749	NM	SECURITY STATE BANK, THE	EMERY	SD	2	71,190	353
129853	9932	NM	COMMERCIAL STATE BANK OF WAGNER	WAGNER	SD	1	236,931	717
811747	15734	NM	SECURITY SAVINGS BANK	CANTON	SD	8	515,355	651
425050	13999	NM	FARMERS AND MERCHANTS STATE BANK, THE	SCOTLAND	SD	1	34,785	123
