List of Banks in Peer Group -- SVG All insured savings banks

Reporting Period End Date	12/31/2019
Number of Banks in Peer Group	623

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
542667	19525	SI	MT. MCKINLEY BANK	FAIRBANKS	AK	5	448,460	4,966
558574	31592	SI	SECURITY FEDERAL SAVINGS BANK	JASPER	AL	1	35,817	127
814074	31127	SI	FIRST FEDERAL BANK, A FSB	TUSCALOOSA	AL	3	126,423	1,988
934673	30167	SI	CULLMAN SAVINGS BANK	CULLMAN	AL	4	298,296	3,814
455477	30433	SI	SOUTHFIRST BANK	SYLACAUGA	AL	3	80,764	-14
2059990	33818	SI	PRIORITY BANK	FAYETTEVILLE	AR	3	85,012	2,019
1493319	33103	SI	GATEWAY BANK, F.S.B.	OAKLAND	CA	1	112,672	-381
1883321	26312	SI	FIRST AMERICAN TRUST, FSB	SANTA ANA	CA	10	3,990,657	65,466
961576	30953	SI	EL DORADO SAVINGS BANK, F.S.B.	PLACERVILLE	CA	35	2,168,751	19,405
631570	30879	SI	PROVIDENT SAVINGS BANK, F.S.B.	RIVERSIDE	CA	13	1,101,284	6,464
773470	32282	SI	MALAGA BANK, FSB	PALOS VERDES ESTATES	CA	5	1,155,330	15,957
780562	25648	SI	INTERNATIONAL CITY BANK	LONG BEACH	CA	1	306,426	3
26176	30306	SI	BROADWAY FEDERAL BANK, F.S.B.	LOS ANGELES	CA	3	419,881	459
208570	30722	SI	UNIVERSAL BANK	WEST COVINA	CA	5	402,229	2,465
229070	31406	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF SAN RAFAEL	SAN RAFAEL	CA	5	198,392	681
2917317	35546	SI	AXOS BANK	SAN DIEGO	CA	3	10,537,945	188,720
2921659	35164	SI	CAPITAL BANK AND TRUST COMPANY	IRVINE	CA	1	193,070	44,679
3148033	57531	SI	GRAND MOUNTAIN BANK, FSB	GRANBY	CO	4	123,248	859
256076	28315	SI	RIO GRANDE SAVINGS AND LOAN ASSOCIATION	MONTE VISTA	CO	3	107,526	233
206473	30707	SI	EQUITABLE SAVINGS AND LOAN ASSOCIATION	STERLING	CO	10	163,840	1,037
401072	28860	SI	CENTURY SAVINGS AND LOAN ASSOCIATION	TRINIDAD	CO	1	90,880	389
388874	30388	SI	GUNNISON SAVINGS AND LOAN ASSOCIATION	GUNNISON	CO	2	99,372	671
705378	29066	SI	DEL NORTE BANK, A SAVINGS AND LOAN ASSOCIATION	DEL NORTE	CO	2	101,225	873
945071	28208	SI	SAN LUIS VALLEY FEDERAL BANK	ALAMOSA	CO	3	275,862	2,190
1718469	33111	SI	COLORADO FEDERAL SAVINGS BANK	GREENWOOD VILLAGE	CO	1	1,968,055	16,000
958204	18204	SI	FIRST COUNTY BANK	STAMFORD	CT	18	1,698,753	8,544
961400	17262	SI	ESSEX SAVINGS BANK	ESSEX	CT	6	407,797	2,795
820301	18237	SI	JEWETT CITY SAVINGS BANK	JEWETT CITY	CT	6	288,670	2,052
822408	18209	SI	LITCHFIELD BANCORP	LITCHFIELD	CT	5	253,629	768
831008	18194	SI	GUILFORD SAVINGS BANK, THE	GUILFORD	CT	6	811,923	6,532
882701	18213	SI	FAIRFIELD COUNTY BANK	RIDGEFIELD	CT	16	1,527,812	10,354
890603	18223	SI	COLLINSVILLE BANK	COLLINSVILLE	CT	2	167,948	669
626101	15912	SI	SAVINGS BANK OF DANBURY	DANBURY	CT	16	1,077,162	11,810
545604	18229	SI	NORTHWEST COMMUNITY BANK	WINSTED	CT	5	412,352	3,877
587800	17943	SI	LIBERTY BANK	MIDDLETOWN	CT	60	5,307,207	65,285
345309	18238	SI	CHELSEA GROTON BANK	GROTON	CT	14	1,141,439	18,099
311603	18200	SI	DIME BANK	NORWICH	CT	12	864,872	5,098
407506	18198	SI	ION BANK	NAUGATUCK	CT	19	1,335,891	9,511
443205	18190	SI	UNION SAVINGS BANK	DANBURY	CT	25	2,196,534	22,230
507509	18199	SI	NEWTOWN SAVINGS BANK	NEWTOWN	CT	15	1,320,298	7,360
258306	16101	SI	MILFORD BANK THE	MILFORD	CT	8	445,818	1,252
65205	16636	SI	TORRINGTON SAVINGS BANK, THE	TORRINGTON	CT	8	826,737	8,185
92676	29632		WINDSOR FEDERAL SAVINGS AND LOAN ASSOCIATION	WINDSOR	CT	7	519,562	3,741
113003	18227	SI	STAFFORD SAVINGS BANK	STAFFORD SPRINGS	CT	3	291,829	19,088
120609	18258	SI	THOMASTON SAVINGS BANK	THOMASTON	CT	14	1,094,457	5,727
2881445	35394	SI	MASSMUTUAL TRUST COMPANY, FSB, THE	ENFIELD	CT	1	83,542	3,050
1416279	32957	SI	PRUDENTIAL BANK AND TRUST, FSB	HARTFORD	CT	1	23,212	5,399
2909330	35267	SI	AIG FEDERAL SAVINGS BANK	WILMINGTON	DE	1	36,427	3,127
73116	17123	SI	ARTISANS' BANK	WILMINGTON	DE	13	539,101	2,821
437914	17838	SI	WILMINGTON SAVINGS FUND SOCIETY, FSB	WILMINGTON	DE	93	11,414,775	141,786
384278	31313	SI	FIRST FEDERAL BANK	LAKE CITY	FL	25	2,028,921	27,159
221775	31823	SI	INTERAMERICAN BANK, A FEDERAL SAVINGS BANK	MIAMI	FL	5	198,058	1,721
2728746	34652	SI	HOME FEDERAL BANK OF HOLLYWOOD	HALLANDALE BEACH	FL	1	54,408	-829
2735146	34775	SI	TIAA, FSB	JACKSONVILLE	FL	10	39,473,320	197,853
3219269	57470	SI	MEMBERS TRUST COMPANY	TAMPA	FL	1	38,090	359
2992501	35027	SI	CORNERSTONE BANK	ATLANTA	GA	3	209,120	-1,341
156970	29357	SI	FAMILY BANK	PELHAM	GA	3	96,964	961
67870	29331	SI	TC FEDERAL BANK	THOMASVILLE	GA	2	305,815	1,206
88231	16418	SI	BANKSOUTH	GREENSBORO	GA	6	669,410	15,409
126375	29772	SI	VIDALIA FEDERAL SAVINGS BANK	VIDALIA	GA	2	205,095	330
381932	16246	SI	COMMERCIAL BANKING COMPANY	VALDOSTA	GA	5	230,626	2,790
321273	29510	SI	NEWTON FEDERAL BANK	COVINGTON	GA	2	309,831	840
615776	29065	SI	ELBERTON FEDERAL SAVINGS & LOAN ASSOCIATION	ELBERTON	GA	1	24,053	60
828174	29164	SI	FIRST FEDERAL SAVINGS & LOAN ASSOCIATION OF VALDOSTA	VALDOSTA	GA	3	185,287	407
1163283	27153	SI	CITIZENS BANK AND TRUST, INC.	TRENTON	GA	3	101,881	1,221
364270	30692	SI	BANKPACIFIC, LTD.	HAGATNA	GU	6	144,155	735
54973	32526	SI	AMERICAN SAVINGS BANK, F.S.B.	HONOLULU	HI	48	7,104,071	88,973
203043	4432	SI	MIDWEST HERITAGE BANK, FSB	WEST DES MOINES	IA	7	278,435	5,492
277679	29501	SI	INTERSTATE FEDERAL SAVINGS AND LOAN ASSOCIATION	MCGREGOR	IA	1	7,916	-4
2654911	34507	SI	PRINCIPAL BANK	DES MOINES	IA	1	3,392,083	43,104
582971	28845	SI	FIRST FEDERAL SAVINGS BANK OF TWIN FALLS	TWIN FALLS	ID	12	679,514	8,749
587677	28401	SI	EUREKA SAVINGS BANK	LA SALLE	IL	4	317,636	1,094
615879	27910	SI	CENTRAL SAVINGS, F.S.B.	CHICAGO	IL	4	109,313	472
627377	28723	SI	FIRST SAVINGS BANK	DANVILLE	IL	1	35,889	299
649874	28068	SI	ROYAL SAVINGS BANK	CHICAGO	IL	9	400,532	3,963
708379	28925	SI	SECURITY SAVINGS BANK	MONMOUTH	IL	2	195,939	1,110
682479	27909	SI	BEST HOMETOWN BANK	COLLINSVILLE	IL	2	112,767	-26
656779	27767	SI	UNION FEDERAL SAVINGS AND LOAN ASSOCIATION	KEWANEE	IL	7	150,462	800
658474	28103	SI	COLLINSVILLE BUILDING AND LOAN ASSOCIATION	COLLINSVILLE	IL	2	120,368	454
790271	29227	SI	WASHINGTON SAVINGS BANK	EFFINGHAM	IL	3	378,227	1,956
775773	27683	SI	NORTH SHORE TRUST AND SAVINGS	WAUKEGAN	IL	3	229,150	466
771878	28924	SI	FIRST FEDERAL SAVINGS BANK	OTTAWA	IL	12	370,551	778
725077	27989	SI	OTTAWA SAVINGS BANK	OTTAWA	IL	3	295,261	1,990
757377	29009	SI	LIBERTY BANK FOR SAVINGS	CHICAGO	IL	5	827,227	3,187
2140348	55130	SI	ALLIED FIRST BANK, SB	OSWEGO	IL	1	94,572	3,242
994770	30152	SI	MILFORD BUILDING AND LOAN ASSOCIATION, SB	MILFORD	IL	1	30,134	112
966272	30969	SI	FIRST FSB OF MASCOUTAH	MASCOUTAH	IL	3	107,564	443
823076	29986	SI	GUARDIAN SAVINGS BANK	GRANITE CITY	IL	1	38,534	-577
835378	30043	SI	BEARDSTOWN SAVINGS, S.B.	BEARDSTOWN	IL	2	55,260	250
820477	29980	SI	MIDLAND FEDERAL SAVINGS AND LOAN ASSOCIATION	BRIDGEVIEW	IL	4	115,283	36
817477	29121	SI	UNION SAVINGS BANK	FREEPORT	IL	5	154,462	577
867070	27664	SI	STERLING FEDERAL BANK, FEDERAL SAVINGS BANK	STERLING	IL	9	454,483	-355
285777	29532	SI	NOKOMIS SAVINGS BANK	NOKOMIS	IL	1	28,274	74
322476	30618	SI	WABASH SAVINGS BANK	MOUNT CARMEL	IL	1	8,848	-72
324975	29535	SI	DEWITT SAVINGS BANK	CLINTON	IL	2	116,161	718
305077	29384	SI	PERU FEDERAL SAVINGS BANK	PERU	IL	2	150,456	956
375379	29449	SI	NORTH SIDE FEDERAL SAVINGS AND LOAN ASSOCIATION OF CHICAGO	CHICAGO	IL	1	40,267	-69
346771	28445	SI	FIRST FEDERAL SAVINGS BANK OF CHAMPAIGN-URBANA	CHAMPAIGN	IL	2	171,037	1,629
343770	29677	SI	NASHVILLE SAVINGS BANK	NASHVILLE	IL	1	61,441	663
441078	30819	SI	COMMUNITY PARTNERS SAVINGS BANK	SALEM	IL	3	202,821	1,435
446877	30864	SI	MCHENRY SAVINGS BANK	MCHENRY	IL	1	222,663	179
447070	28747	SI	HOYNE SAVINGS BANK	CHICAGO	IL	7	444,874	702
449935	35602	SI	COUNTRY TRUST BANK	BLOOMINGTON	IL	1	26,395	4,517
450472	28774	SI	LOOMIS FEDERAL SAVINGS AND LOAN ASSOCIATION	CHICAGO	IL	1	63,404	-574
403870	29675	SI	IROQUOIS FEDERAL SAVINGS AND LOAN ASSOCIATION	WATSEKA	IL	7	679,635	3,984
399973	29645	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF CENTRAL ILLINOIS, S.B.	SHELBYVILLE	IL	3	128,518	850
