List of Banks in Peer Group -- TNCOM All Insured Commercial Banks in Tennessee

Reporting Period End Date	09/30/2019
Number of Banks in Peer Group	132

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
3224478	57656	NM	HERITAGE COMMUNITY BANK	GREENEVILLE	TN	3	111,553	616
479839	20720	SM	TENNESSEE STATE BANK	PIGEON FORGE	TN	16	642,474	5,984
162337	20818	NM	CITIZENS TRI-COUNTY BANK	DUNLAP	TN	21	886,794	12,470
150035	1487	SM	FIRST FARMERS AND MERCHANTS BANK	COLUMBIA	TN	21	1,350,282	12,904
433550	15673	NM	BANK OF RIPLEY	RIPLEY	TN	4	222,180	1,445
515054	16511	NM	TRI-STATE BANK OF MEMPHIS	MEMPHIS	TN	1	90,340	122
340135	21573	NM	BANK OF TENNESSEE	KINGSPORT	TN	21	1,411,119	14,720
989730	20100	NM	TOWER COMMUNITY BANK	JASPER	TN	8	203,720	1,102
2305969	34023	NM	TNBANK	OAK RIDGE	TN	5	233,288	855
2002222	33739	NM	CITIZENS COMMUNITY BANK	WINCHESTER	TN	3	230,273	2,965
3153297	57465	NM	FIRST COMMERCE BANK	LEWISBURG	TN	3	427,318	4,382
62772	30698	NM	FIRST ADVANTAGE BANK	CLARKSVILLE	TN	8	686,218	5,271
524757	8661	SM	FARMERS BANK	PARSONS	TN	1	36,591	171
497851	2391	SM	SECURITY BANK	NEWBERN	TN	7	196,670	1,375
2037185	33794	NM	FIRST COMMUNITY BANK OF EAST TENNESSEE	ROGERSVILLE	TN	7	177,560	1,254
105530	13775	NM	FARMERS STATE BANK	MOUNTAIN CITY	TN	3	143,832	818
715630	10317	NM	CITIZENS BANK AND TRUST COMPANY OF GRAINGER COUNTY	RUTLEDGE	TN	5	206,718	1,835
590976	31840	SM	FINANCIAL FEDERAL BANK	MEMPHIS	TN	1	611,458	7,144
55635	10319	NM	CITIZENS SAVINGS BANK AND TRUST COMPANY	NASHVILLE	TN	3	100,770	64
972732	15572	N	FIRST NATIONAL BANK OF PULASKI	PULASKI	TN	11	857,724	8,048
70058	1480	NM	FARMERS & MERCHANTS BANK, THE	DYER	TN	3	100,365	433
717737	20954	N	CITIZENS NATIONAL BANK	SEVIERVILLE	TN	21	1,076,579	15,223
591357	6110	NM	PEOPLES BANK, THE	SARDIS	TN	5	85,789	579
166531	1484	NM	BANK OF FRANKEWING	FRANKEWING	TN	3	291,022	2,628
774132	22451	NM	VOLUNTEER STATE BANK	PORTLAND	TN	11	764,513	5,506
505831	2375	NM	BANK OF WAYNESBORO	WAYNESBORO	TN	5	171,274	2,108
423636	1693	NM	UBANK	JELLICO	TN	1	65,941	533
3128923	57396	NM	BANK OF LINCOLN COUNTY	FAYETTEVILLE	TN	3	144,553	1,669
2123930	33851	NM	BANK OF MILAN, THE	MILAN	TN	2	67,802	500
63733	1711	NM	CITIZENS BANK	LAFAYETTE	TN	19	917,088	8,682
