List of Banks in Peer Group -- TRST301 Trust Assets in excess of $100 billion

Reporting Period End Date	12/31/2022
Number of Banks in Peer Group	23

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
398668	23472	N	BANK OF NEW YORK MELLON TRUST COMPANY, NATIONAL ASSOCIATION, THE	LOS ANGELES	CA	1	1,470,333	222,018
1444021	32961	NC	BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION	SAN FRANCISCO	CA	2	4,399,080	575,428
1416279	32957	SI	PRUDENTIAL BANK AND TRUST, FSB	HARTFORD	CT	1	23,841	3,702
817824	6384	N	PNC BANK, NATIONAL ASSOCIATION	WILMINGTON	DE	2498	547,308,361	5,772,747
2265456	34069	N	WILMINGTON TRUST, NATIONAL ASSOCIATION	WILMINGTON	DE	2	780,649	50,384
210434	913	SM	NORTHERN TRUST COMPANY, THE	CHICAGO	IL	61	153,320,835	1,338,252
75633	16571	N	BMO HARRIS BANK NATIONAL ASSOCIATION	CHICAGO	IL	478	170,374,685	1,021,582
35301	14	SM	STATE STREET BANK AND TRUST COMPANY	BOSTON	MA	13	284,534,500	2,775,000
2600039	34629	NC	COMPUTERSHARE TRUST COMPANY, NATIONAL ASSOCIATION	CANTON	MA	1	1,127,569	231,542
852320	9846	NM	TRUIST BANK	CHARLOTTE	NC	2094	539,772,000	6,183,000
480228	3510	N	BANK OF AMERICA, NATIONAL ASSOCIATION	CHARLOTTE	NC	3791	2,451,679,750	27,414,000
541101	639	SM	BANK OF NEW YORK MELLON, THE	NEW YORK	NY	17	343,251,500	2,129,000
214807	623	SM	DEUTSCHE BANK TRUST COMPANY AMERICAS	NEW YORK	NY	1	40,473,500	188,000
93619	24938	NC	STATE STREET BANK AND TRUST COMPANY, NATIONAL ASSOCIATION	NEW YORK	NY	1	40,211	7,579
501105	588	SM	MANUFACTURERS AND TRADERS TRUST COMPANY	BUFFALO	NY	1007	202,808,882	1,986,066
504713	6548	N	U.S. BANK NATIONAL ASSOCIATION	CINCINNATI	OH	2208	582,094,006	6,661,984
852218	628	N	JPMORGAN CHASE BANK, NATIONAL ASSOCIATION	COLUMBUS	OH	4800	3,391,207,250	34,342,000
2567123	34588	NC	U.S. BANK TRUST COMPANY, NATIONAL ASSOCIATION	PORTLAND	OR	1	1,239,218	194,056
934329	7946	N	BNY MELLON, NATIONAL ASSOCIATION	PITTSBURGH	PA	1	32,780,750	345,000
476810	7213	N	CITIBANK, N.A.	SIOUX FALLS	SD	804	1,726,589,500	15,386,000
451965	3511	N	WELLS FARGO BANK, NATIONAL ASSOCIATION	SIOUX FALLS	SD	4563	1,733,490,000	16,050,000
5278251	59108	SM	CHARLES SCHWAB TRUST BANK	WESTLAKE	TX	1	15,274,750	152,000
3017081	57093	SI	NORTHWESTERN MUTUAL WEALTH MANAGEMENT COMPANY	MILWAUKEE	WI	1	450,952	116,560
