List of Banks in Peer Group -- TRST303 Trust Assets between $1 billion and $10 billion 

Reporting Period End Date	06/30/2016
Number of Banks in Peer Group	152

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
697633	19048	SM	COMPASS BANK	BIRMINGHAM	AL	672	87,157,661	166,267
4262534	4999	N	CADENCE BANK, N.A.	BIRMINGHAM	AL	67	9,027,179	35,339
673440	5633	NM	FIRST SECURITY BANK	SEARCY	AR	75	4,818,009	50,975
107244	110	NM	BANK OF THE OZARKS	LITTLE ROCK	AR	164	10,947,441	112,556
311845	8728	SM	ARVEST BANK	FAYETTEVILLE	AR	261	16,230,820	38,968
663245	3890	SM	SIMMONS BANK	PINE BLUFF	AR	148	7,487,496	51,214
804963	3514	NM	BANK OF THE WEST	SAN FRANCISCO	CA	5	75,818,215	310,423
933966	21716	NM	CITIZENS BUSINESS BANK	ONTARIO	CA	50	7,834,826	50,158
1883321	26312	SI	FIRST AMERICAN TRUST, FSB	SANTA ANA	CA	10	3,099,562	13,656
3637685	58647	NM	FIRST FOUNDATION BANK	IRVINE	CA	11	2,660,104	7,889
4114567	59017	NM	FIRST REPUBLIC BANK	SAN FRANCISCO	CA	71	62,380,840	322,492
3015939	57295	N	AMG NATIONAL TRUST BANK	BOULDER	CO	2	335,846	1,920
3158546	57607	NM	FIRST WESTERN TRUST BANK	DENVER	CO	10	820,466	2,336
2881445	35394	SI	MASSMUTUAL TRUST COMPANY, FSB, THE	ENFIELD	CT	1	72,979	1,325
761806	18221	N	WEBSTER BANK, NATIONAL ASSOCIATION	WATERBURY	CT	175	24,879,272	113,606
613307	27334	N	PEOPLE'S UNITED BANK, NATIONAL ASSOCIATION	BRIDGEPORT	CT	385	38,709,018	138,952
3664588	58741	SI	FIELDPOINT PRIVATE BANK & TRUST	GREENWICH	CT	1	814,388	1,497
4032791	59025	NC	BROWN BROTHERS HARRIMAN TRUST COMPANY OF DELAWARE, NA	WILMINGTON	DE	1	8,004	470
4125778	59043	NC	STIFEL TRUST COMPANY DELAWARE, NATIONAL ASSOCIATION	WILMINGTON	DE	1	12,304	-122
4146830	59047	NC	NEUBERGER BERMAN TRUST COMPANY OF DELAWARE NATIONAL ASSOCIATION	WILMINGTON	DE	1	9,070	81
