List of Banks in Peer Group -- TRST304 Trust Assets between $250 million and $1 billion

Reporting Period End Date	12/31/2014
Number of Banks in Peer Group	215

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
3642308	58703	NM	FIRST PARTNERS BANK	BIRMINGHAM	AL	2	196,289	2,414
3720608	58783	NM	OAKWORTH CAPITAL BANK	BIRMINGHAM	AL	1	284,913	3,321
397540	3864	N	FIRST NATIONAL BANK OF FORT SMITH, THE	FORT SMITH	AR	15	1,182,369	15,665
456045	11241	SM	CENTENNIAL BANK	CONWAY	AR	150	6,970,475	116,643
592448	1299	SM	EVOLVE BANK & TRUST	WEST MEMPHIS	AR	5	336,998	1,658
673440	5633	NM	FIRST SECURITY BANK	SEARCY	AR	75	4,440,719	100,444
697763	3430	SM	WESTAMERICA BANK	SAN RAFAEL	CA	92	4,913,680	61,049
479268	1536	NM	BANK OF STOCKTON	STOCKTON	CA	16	2,143,013	19,546
507068	8468	NM	EXCHANGE BANK	SANTA ROSA	CA	19	1,782,651	17,708
514066	21956	NM	MONTECITO BANK & TRUST	SANTA BARBARA	CA	9	1,137,747	13,107
3637685	58647	NM	FIRST FOUNDATION BANK	IRVINE	CA	8	1,172,238	10,295
877369	23364	N	RABOBANK, NATIONAL ASSOCIATION	ROSEVILLE	CA	120	14,437,250	43,000
2845782	35413	NC	BESSEMER TRUST COMPANY OF CALIFORNIA, NATIONAL ASSOCIATION	SAN FRANCISCO	CA	1	6,440	629
3168563	57575	SM	STEELE STREET BANK & TRUST	DENVER	CO	3	552,504	10,889
828651	19220	SM	ANB BANK	DENVER	CO	33	2,171,835	18,713
260055	23091	NM	ALPINE BANK	GLENWOOD SPRINGS	CO	35	2,389,759	27,010
443205	18190	SI	UNION SAVINGS BANK	DANBURY	CT	28	2,309,414	9,678
821906	18467	NM	SALISBURY BANK AND TRUST COMPANY	LAKEVILLE	CT	13	699,158	3,396
961400	17262	SI	ESSEX SAVINGS BANK	ESSEX	CT	6	326,329	814
876634	9622	SM	CAPITAL CITY BANK	TALLAHASSEE	FL	65	2,545,343	10,737
3266825	57852	NC	MERCANTIL COMMERCEBANK TRUST COMPANY, NATIONAL ASSOCIATION	CORAL GABLES	FL	1	8,995	557
3148613	57429	N	COMMERCE NATIONAL BANK & TRUST	WINTER PARK	FL	1	78,552	629
3487518	58328	N	SEASIDE NATIONAL BANK & TRUST	ORLANDO	FL	13	1,004,933	3,251
623771	32212	SI	GIBRALTAR PRIVATE BANK & TRUST COMPANY	CORAL GABLES	FL	8	1,586,971	5,671
53033	21837	N	SABADELL UNITED BANK, NATIONAL ASSOCIATION	MIAMI	FL	25	4,324,924	22,267
61832	3579	N	FIRST NATIONAL BANK OF MOUNT DORA, THE	MOUNT DORA	FL	5	200,720	1,053
83638	22953	N	MERCANTIL COMMERCEBANK NATIONAL ASSOCIATION	CORAL GABLES	FL	21	7,313,856	27,683
37435	172	NM	UNITED BANK	ZEBULON	GA	17	1,054,934	15,226
711472	20884	NM	BANK OF GUAM	HAGATNA	GU	24	1,434,081	9,793
701062	17308	NM	CENTRAL PACIFIC BANK	HONOLULU	HI	32	4,733,809	42,662
662949	15808	NM	IOWA STATE BANK	DES MOINES	IA	5	341,862	7,167
653648	14808	SM	FIRST AMERICAN BANK	FORT DODGE	IA	18	1,078,738	4,848
735441	228	NM	AMERICAN STATE BANK	SIOUX CENTER	IA	5	685,313	13,498
552545	14812	NM	TREYNOR STATE BANK	TREYNOR	IA	4	292,692	3,984
252041	14410	NM	CITY STATE BANK	NORWALK	IA	6	279,018	2,960
186744	4433	N	FIRST CITIZENS NATIONAL BANK	MASON CITY	IA	9	1,095,482	14,788
3320781	58013	NM	TWO RIVERS BANK & TRUST	BURLINGTON	IA	12	648,955	5,616
2973041	57179	NC	FIRST COMMUNITY TRUST, NATIONAL ASSOCIATION	DUBUQUE	IA	1	6,034	976
3029589	57244	SM	CEDAR RAPIDS BANK AND TRUST COMPANY	CEDAR RAPIDS	IA	5	825,148	8,006
2142155	33867	SM	QUAD CITY BANK AND TRUST COMPANY	BETTENDORF	IA	5	1,301,895	10,451
836843	14843	NM	MIDWESTONE BANK	IOWA CITY	IA	23	1,745,641	20,533
2753917	35103	NM	IDAHO TRUST BANK	BOISE	ID	2	76,620	1,250
2239288	33935	SM	WINTRUST BANK	CHICAGO	IL	19	2,710,719	28,477
