List of Banks in Peer Group -- TRST305 Trust Assets less than $250 million 

Reporting Period End Date	12/31/2006
Number of Banks in Peer Group	1338

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
114260	16130	N	FIRST NATIONAL BANK ALASKA	ANCHORAGE	AK	29	2,257,163	42,172
390167	91385	NC	KEYTRUST COMPANY NATIONAL ASSOCIATION	ANCHORAGE	AK	2	13,391	845
3223695	57755	NC	WELLS FARGO ALASKA TRUST COMPANY, NATIONAL ASSOCIATION	ANCHORAGE	AK	1	2,918	611
430036	39	NM	ROBERTSON BANKING COMPANY	DEMOPOLIS	AL	5	220,035	2,980
432432	41	NM	PHENIX-GIRARD BANK	PHENIX CITY	AL	4	133,559	3,232
257233	2832	N	FIRST NATIONAL BANK OF TALLADEGA, THE	TALLADEGA	AL	3	267,899	4,137
374130	16369	NM	CITIZENS BANK, THE	ENTERPRISE	AL	2	103,783	1,747
134437	5598	NM	TROY BANK & TRUST COMPANY	TROY	AL	5	385,069	5,019
60330	22537	NM	PEOPLES BANK OF NORTH ALABAMA	CULLMAN	AL	24	416,662	6,324
237936	860	SM	PEOPLES BANK AND TRUST COMPANY, THE	SELMA	AL	23	847,030	8,967
501132	16175	NM	WEST ALABAMA BANK & TRUST	REFORM	AL	12	459,829	5,702
509231	19794	NM	NEXITY BANK	BIRMINGHAM	AL	1	813,523	6,763
570231	9609	N	COLONIAL BANK, NATIONAL ASSOCIATION	MONTGOMERY	AL	303	22,270,790	280,117
670430	2779	N	FIRST NATIONAL BANK AND TRUST	ATMORE	AL	4	126,393	1,770
644842	8735	NM	MERCHANTS AND FARMERS BANK	DUMAS	AR	2	79,653	10
676049	5623	NM	SMACKOVER STATE BANK	SMACKOVER	AR	4	134,788	1,047
677644	16216	SM	FARMERS & MERCHANTS BANK, THE	STUTTGART	AR	5	322,202	4,954
705444	3858	NM	ARKANSAS COUNTY BANK	DE WITT	AR	2	104,298	822
556945	5622	NM	FIRST SECURITY BANK OF MOUNTAIN HOME	MOUNTAIN HOME	AR	7	296,478	3,750
592448	1299	NM	EVOLVE BANK & TRUST	PARKIN	AR	2	40,805	325
514440	1757	N	FIRST NATIONAL BANK OF CROSSETT	CROSSETT	AR	4	142,610	1,698
748441	81	SM	WARREN BANK AND TRUST COMPANY	WARREN	AR	2	126,256	1,341
799948	3896	N	FIRST NATIONAL BANK OF LAWRENCE COUNTY AT WALNUT RIDGE, THE	WALNUT RIDGE	AR	3	130,121	1,320
843542	94	NM	FIRST STATE BANK OF WARREN	WARREN	AR	4	100,562	862
855143	15035	NM	BANK OF AUGUSTA, THE	AUGUSTA	AR	2	51,646	502
856748	17211	SM	CITIZENS BANK, THE	BATESVILLE	AR	8	494,734	4,407
864846	3854	N	FIRST NATIONAL BANK OF BERRYVILLE, THE	BERRYVILLE	AR	6	123,142	2,656
866943	15529	N	FIRST NATIONAL BANK IN BLYTHEVILLE, THE	BLYTHEVILLE	AR	2	193,356	1,429
897648	11242	NM	MCGEHEE BANK	MCGEHEE	AR	1	104,285	1,761
914349	92	NM	DELTA TRUST & BANK	PARKDALE	AR	9	210,584	954
192147	8738	SM	CITIZENS BANK & TRUST COMPANY	VAN BUREN	AR	7	283,711	4,851
49241	19371	N	PINE BLUFF NATIONAL BANK	PINE BLUFF	AR	8	274,690	2,568
1146	17562	SM	PULASKI BANK AND TRUST COMPANY	LITTLE ROCK	AR	13	481,420	2,464
12946	1291	NM	FARMERS BANK & TRUST COMPANY	MAGNOLIA	AR	3	493,969	9,359
22048	1753	NM	UNION BANK & TRUST COMPANY	MONTICELLO	AR	5	180,454	3,694
23643	90	NM	COMMERCIAL BANK & TRUST COMPANY	MONTICELLO	AR	1	164,798	1,028
26242	18979	N	FIRST NATIONAL BANK AND TRUST COMPANY	MOUNTAIN HOME	AR	6	352,577	4,221
33147	1027	SM	FARMERS BANK AND TRUST COMPANY	BLYTHEVILLE	AR	2	268,207	2,452
101345	8727	NM	CITIZENS STATE BANK	BALD KNOB	AR	2	64,236	306
78241	21379	N	FIRST NATIONAL BANK OF MCGEHEE, THE	MCGEHEE	AR	2	45,061	364
98641	23331	N	NATIONAL BANK OF ARKANSAS IN NORTH LITTLE ROCK	NORTH LITTLE ROCK	AR	8	175,385	1,025
99143	16464	NM	MERCHANTS & PLANTERS BANK	NEWPORT	AR	8	144,472	1,246
313241	17322	NM	UNION BANK OF BENTON, THE	BENTON	AR	6	218,788	1,326
314444	1028	NM	FORDYCE BANK & TRUST CO.	FORDYCE	AR	4	96,048	809
325141	1296	NM	FARMERS BANK	GREENWOOD	AR	11	186,808	2,372
335346	15729	N	HELENA NATIONAL BANK	HELENA	AR	5	140,013	1,563
251745	3863	N	FIRST NATIONAL BANK OF EASTERN ARKANSAS	FORREST CITY	AR	13	264,124	3,324
261940	3869	N	FIRST NATIONAL BANK IN GREEN FOREST, THE	GREEN FOREST	AR	7	325,538	6,836
308443	26975	SM	BANK OF FAYETTEVILLE, THE	FAYETTEVILLE	AR	8	386,997	4,801
405641	3874	N	FIRST BANK OF THE DELTA, NATIONAL ASSOCIATION	WEST HELENA	AR	6	188,561	3,049
442749	19722	NM	PLANTERS & MERCHANTS BANK	GILLETT	AR	1	24,010	-77
460341	1522	NM	DE WITT BANK AND TRUST COMPANY	DE WITT	AR	1	100,949	1,227
466240	16849	NM	FIRST ARKANSAS BANK AND TRUST	JACKSONVILLE	AR	22	491,480	8,569
3120039	26268	N	FIRST NATIONAL BANK OF STUTTGART	STUTTGART	AR	1	46,987	-36
3377954	3855	NM	HOT SPRINGS BANK AND TRUST COMPANY	HOT SPRINGS	AR	2	18,419	-535
988845	3897	N	FIRST NATIONAL BANK OF WYNNE, THE	WYNNE	AR	5	234,348	3,534
989347	13821	SM	CROSS COUNTY BANK	WYNNE	AR	5	178,865	1,749
1882070	33482	N	BANK OF ARKANSAS, NATIONAL ASSOCIATION	FAYETTEVILLE	AR	2	143,996	1,290
