List of Banks in Peer Group -- TXCOM All Insured Commercial Banks in Texas

Reporting Period End Date	06/30/2013
Number of Banks in Peer Group	511

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
1669	3384	N	LIBERTY NATIONAL BANK IN PARIS, THE	PARIS	TX	3	254,835	1,239
2161	23597	N	LAMAR NATIONAL BANK	PARIS	TX	2	137,268	1,184
8462	3388	N	PERRYTON NATIONAL BANK, THE	PERRYTON	TX	1	166,150	834
18050	3091	N	FIRST NATIONAL BANK OF BASTROP, THE	BASTROP	TX	6	390,527	2,344
24668	3402	N	BANK TEXAS, NATIONAL ASSOCIATION	QUITMAN	TX	8	252,272	328
26765	3405	N	VANTAGE BANK TEXAS, NATIONAL ASSOCIATION	REFUGIO	TX	6	297,810	736
26859	17325	N	OMNIBANK NATIONAL ASSOCIATION	HOUSTON	TX	7	304,190	-1,093
28255	3095	N	FIRST NATIONAL BANK OF BEEVILLE, THE	BEEVILLE	TX	3	300,923	905
30052	26658	NM	AMISTAD BANK	DEL RIO	TX	1	28,776	50
31255	17612	NM	CENTRAL BANK	HOUSTON	TX	4	440,198	281
31657	11904	NM	FIRST STATE BANK OF BEN WHEELER, TEXAS	BEN WHEELER	TX	4	122,480	1,375
32766	21693	N	LAKESIDE NATIONAL BANK	ROCKWALL	TX	1	55,158	132
33268	1213	NM	ROSCOE STATE BANK, THE	ROSCOE	TX	3	166,465	516
33754	10712	NM	FARMERS STATE BANK	BERTRAM	TX	2	29,582	75
42354	3110	N	COMMERCIAL NATIONAL BANK OF BRADY, THE	BRADY	TX	2	129,191	1,203
43959	18155	NM	BRIDGE CITY STATE BANK	BRIDGE CITY	TX	2	141,261	442
45560	16470	NM	JEFFERSON BANK	SAN ANTONIO	TX	11	1,103,709	7,503
49858	26727	NM	BANK OF SOUTH TEXAS	MCALLEN	TX	4	76,393	32
53051	11916	NM	BUCKHOLTS STATE BANK, THE	BUCKHOLTS	TX	3	62,823	516
53752	16182	NM	FIRST STATE BANK	HEMPHILL	TX	1	53,492	185
54656	12501	NM	CITIZENS STATE BANK	BUFFALO	TX	7	613,221	5,320
56351	3250	N	CITIZENS NATIONAL BANK	HENDERSON	TX	21	1,015,020	4,517
57255	3122	N	FIRST NATIONAL BANK OF BYERS, THE	BYERS	TX	3	96,914	156
59352	3127	N	CITIZENS NATIONAL BANK	CAMERON	TX	8	367,561	1,768
60143	983	SM	COMERICA BANK	DALLAS	TX	482	63,354,579	298,779
77253	15345	N	HONDO NATIONAL BANK, THE	HONDO	TX	4	184,431	1,163
78157	26653	NM	BANDERA BANK	BANDERA	TX	1	48,315	246
78858	3258	NM	PATRIOT BANK	HOUSTON	TX	10	1,196,227	3,318
88352	16895	NM	FIRST STATE BANK OF BEDIAS	BEDIAS	TX	2	145,966	1,781
89957	3098	N	FIRST NATIONAL BANK OF BELLS/SAVOY, THE	BELLS	TX	1	46,795	323
91754	3099	N	FIRST NATIONAL BANK OF BELLVILLE, THE	BELLVILLE	TX	2	488,000	4,563
99059	20349	NM	VISTA BANK TEXAS	HOUSTON	TX	7	624,038	2,539
100357	3108	N	LEGEND BANK, N. A.	BOWIE	TX	8	581,182	3,702
101952	3109	N	BRADY NATIONAL BANK, THE	BRADY	TX	1	100,712	551
103563	17909	NM	FIRST STATE BANK OF MOBEETIE	MOBEETIE	TX	2	118,559	240
108269	3351	N	FIRST NATIONAL BANK OF MOODY, THE	MOODY	TX	1	47,062	221
111661	3355	N	FIRST NATIONAL BANK OF MOUNT VERNON, THE	MOUNT VERNON	TX	3	184,171	1,555
112163	1208	N	GUARANTY BOND BANK, N.A.	MOUNT PLEASANT	TX	15	1,158,482	7,554
114756	17209	N	FIRST SECURITY BANK, NATIONAL ASSOCIATION	FLOWER MOUND	TX	4	172,439	1,683
122854	3076	NM	INDEPENDENT BANK	MCKINNEY	TX	29	1,793,062	13,036
138257	3079	N	FIRST NATIONAL BANK OF ASPERMONT, THE	ASPERMONT	TX	1	60,143	1,004
160454	3087	N	FIRST NATIONAL BANK OF BALLINGER, THE	BALLINGER	TX	2	132,786	679
167864	15466	NM	WEST TEXAS STATE BANK	ODESSA	TX	6	379,746	4,057
169354	3103	N	STATE NATIONAL BANK OF BIG SPRING, THE	BIG SPRING	TX	3	307,990	332
