List of Banks in Peer Group -- TXSVG All Insured Savings Banks in Texas

Reporting Period End Date	09/30/2013
Number of Banks in Peer Group	40

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
279	28868	SI	MINEOLA COMMUNITY BANK, SSB	MINEOLA	TX	4	143,145	638
14977	30291	SI	FIRST FEDERAL BANK LITTLEFIELD, TEXAS, SSB	LITTLEFIELD	TX	2	47,042	114
42671	32460	SI	SOUTHWEST SECURITIES, FSB	DALLAS	TX	9	1,285,274	4,720
75558	3086	SI	FIRST BANK TEXAS, SSB	BAIRD	TX	9	373,297	3,712
105053	1176	SI	FIRST STAR BANK, S.S.B.	BREMOND	TX	4	253,877	2,877
128089	57760	SI	SHARE PLUS FEDERAL BANK	PLANO	TX	4	297,999	1,203
171768	12299	SI	LONE STAR BANK, S.S.B.	MOULTON	TX	6	268,012	2,855
203070	32265	SI	PREFERRED BANK	HOUSTON	TX	5	180,265	869
260868	22327	SI	SPIRIT OF TEXAS BANK, SSB	COLLEGE STATION	TX	14	476,659	1,834
339072	31361	SI	COLONIAL SAVINGS, FA	FORT WORTH	TX	8	1,075,455	49,743
539872	28515	SI	TRUSTTEXAS BANK, S.S.B.	CUERO	TX	5	243,740	1,503
552974	32135	SI	SHELBY SAVINGS BANK, SSB	CENTER	TX	3	262,537	2,747
619877	32188	SI	USAA FEDERAL SAVINGS BANK	SAN ANTONIO	TX	1	59,371,052	628,571
623454	1184	SI	BANK AND TRUST, SSB, THE	DEL RIO	TX	6	411,276	4,639
652874	29209	SI	NEXBANK, SSB	DALLAS	TX	2	946,867	7,498
660879	32018	SI	ANGELINA SAVINGS BANK, SSB	LUFKIN	TX	1	56,734	226
675079	31936	SI	FAYETTE SAVINGS BANK, SSB	LA GRANGE	TX	4	85,187	438
703552	3256	SI	HORIZON BANK, SSB	AUSTIN	TX	4	387,844	4,650
729178	31905	SI	CYPRESS BANK, SSB	PITTSBURG	TX	4	174,653	798
766164	23498	SI	TRIUMPH SAVINGS BANK, SSB	DALLAS	TX	2	342,830	2,508
791072	31043	SI	INTERSTATE BANK, SSB	PERRYTON	TX	3	185,388	1,576
821652	16218	SI	TEXAS STAR BANK, SSB	LOTT	TX	3	91,760	1,230
822556	20099	SI	TEXAS EXCHANGE BANK, SSB	CROWLEY	TX	2	132,901	182
839974	29206	SI	GRAHAM SAVINGS AND LOAN, SSB	GRAHAM	TX	1	124,848	1,863
849076	29241	SI	HENDERSON FEDERAL SAVINGS BANK	HENDERSON	TX	1	112,394	870
898579	27678	SI	FIRST FEDERAL COMMUNITY BANK, SSB	PARIS	TX	4	334,940	1,724
959779	30951	SI	TEXAS SAVINGS BANK, STATE SAVINGS BANK	SNYDER	TX	1	83,009	406
965789	34885	SI	AFFILIATED BANK	BEDFORD	TX	3	377,314	2,825
971070	29208	SI	DALHART FEDERAL SAVINGS & LOAN ASSOCIATION, SSB	DALHART	TX	2	105,466	435
975984	58050	SI	OMNIAMERICAN BANK	FORT WORTH	TX	16	1,309,659	5,708
1176881	32574	SI	BEAL BANK, SSB	PLANO	TX	17	2,910,980	97,931
2568063	34415	SI	FIRST COMMAND BANK	FORT WORTH	TX	1	657,190	8,254
2678449	34669	SI	SYNERGY BANK, S.S.B.	MCKINNEY	TX	4	117,164	365
2848493	35322	SI	CAPITAL BANK, S.S.B.	EL PASO	TX	3	227,358	-1,467
3347911	58082	SI	LIBERTAD BANK, SSB	AUSTIN	TX	1	49,705	164
3595637	58577	SI	PIONEER BANK, SSB	DRIPPING SPRINGS	TX	5	228,274	1,458
3597677	58560	SI	PROVIDENCE BANK OF TEXAS, SSB	SOUTHLAKE	TX	1	108,276	384
3614930	58631	SI	INTEGRITY BANK, SSB	HOUSTON	TX	3	446,442	3,477
3630323	58716	SI	THIRD COAST BANK, SSB	HUMBLE	TX	3	260,922	1,182
3640359	58671	SI	TEXAN BANK	SUGAR LAND	TX	3	106,449	-941
