List of Banks in Peer Group -- UTCOM All Insured Commercial Banks in Utah

Reporting Period End Date	09/30/2019
Number of Banks in Peer Group	35

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
2736219	34781	NM	TRANSPORTATION ALLIANCE BANK, INC. DBA TAB BANK	OGDEN	UT	1	725,725	3,185
617275	21448	NM	HOLLADAY BANK AND TRUST	SALT LAKE CITY	UT	1	58,104	633
1914421	33542	NM	ROCK CANYON BANK	PROVO	UT	6	436,850	7,294
207872	22738	NM	FIRST UTAH BANK	SALT LAKE CITY	UT	6	410,458	4,265
3220863	57571	NM	CONTINENTAL BANK	SALT LAKE CITY	UT	1	158,574	2,445
984379	12773	NM	PEOPLE'S INTERMOUNTAIN BANK	AMERICAN FORK	UT	27	2,259,063	33,072
995076	22134	NM	CACHE VALLEY BANK	LOGAN	UT	16	1,304,700	20,760
2947556	35533	NM	FIRST ELECTRONIC BANK	SALT LAKE CITY	UT	1	42,151	1,839
656470	17964	NM	STATE BANK OF SOUTHERN UTAH	CEDAR CITY	UT	14	1,191,669	17,098
2850722	35141	NM	BMW BANK OF NORTH AMERICA	SALT LAKE CITY	UT	1	10,350,723	136,432
460770	26798	NM	HOME SAVINGS BANK	SALT LAKE CITY	UT	1	125,304	1,141
178851	24922	NM	GRAND VALLEY BANK	HEBER CITY	UT	9	413,474	3,822
622774	9204	NM	CENTRAL BANK	PROVO	UT	11	1,134,399	17,516
2068107	33823	NM	CAPITAL COMMUNITY BANK	PROVO	UT	5	453,354	4,399
3121072	57293	NM	ENERBANK USA	SALT LAKE CITY	UT	1	2,312,445	32,569
2880019	35323	NM	FINWISE BANK	MURRAY	UT	2	133,560	7,921
3212149	57565	NM	UBS BANK USA	SALT LAKE CITY	UT	1	56,496,613	756,346
276579	2270	N	ZIONS BANCORPORATION, NATIONAL ASSOCIATION	SALT LAKE CITY	UT	431	69,653,727	632,592
933975	17159	SM	BANK OF UTAH	OGDEN	UT	17	1,364,605	22,945
3284070	57803	SM	ALLY BANK	SANDY	UT	1	162,178,000	1,634,000
2649177	34599	NM	PITNEY BOWES BANK INC., THE	SALT LAKE CITY	UT	1	728,440	47,329
3407084	58148	NM	LCA BANK CORPORATION	PARK CITY	UT	1	167,963	2,625
243375	22653	SM	GREEN DOT BANK	PROVO	UT	1	1,650,006	40,292
2998576	57056	NM	CELTIC BANK CORPORATION	SALT LAKE CITY	UT	1	872,591	30,167
406974	22578	NM	BRIGHTON BANK	SALT LAKE CITY	UT	4	206,042	4,100
2700984	34697	NM	WEX BANK	MIDVALE	UT	1	2,984,347	200,440
593771	26816	NM	LIBERTY BANK, INC.	SALT LAKE CITY	UT	1	9,024	-232
3716852	58267	SM	MARLIN BUSINESS BANK	SALT LAKE CITY	UT	1	1,053,489	11,766
256179	22514	SM	UTAH INDEPENDENT BANK	SALINA	UT	3	84,813	1,960
3202702	57408	NM	OPTUM BANK, INC.	WEST VALLEY CITY	UT	1	10,324,857	212,473
1456501	32992	N	MORGAN STANLEY BANK, N.A.	SALT LAKE CITY	UT	1	141,985,000	2,198,000
2576134	34404	NM	WEBBANK	SALT LAKE CITY	UT	1	888,163	34,324
3309571	57920	NM	PRIME ALLIANCE BANK	WOODS CROSS	UT	1	443,185	8,293
3228908	57449	NM	MEDALLION BANK	SALT LAKE CITY	UT	1	1,076,156	13,748
3394278	58177	NM	SALLIE MAE BANK	SALT LAKE CITY	UT	1	28,572,890	449,817
