List of Banks in Peer Group -- VACOM All Insured Commercial Banks in Virginia

Reporting Period End Date	09/30/2012
Number of Banks in Peer Group	98

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
31826	6863	N	POWELL VALLEY NATIONAL BANK	JONESVILLE	VA	5	242,202	1,757
34425	11200	SM	BANK OF LANCASTER	KILMARNOCK	VA	9	319,214	390
41629	6913	SM	PIONEER BANK	STANLEY	VA	5	166,831	1,577
90328	6861	N	GRAYSON NATIONAL BANK, THE	INDEPENDENCE	VA	10	337,974	368
94522	20484	SM	BENCHMARK COMMUNITY BANK	KENBRIDGE	VA	12	420,536	4,799
105222	22331	SM	VIRGINIA COMMUNITY BANK	LOUISA	VA	6	217,635	812
112837	4297	N	CAPITAL ONE, NATIONAL ASSOCIATION	MC LEAN	VA	944	146,780,494	723,640
186221	6892	N	OLD POINT NATIONAL BANK OF PHOEBUS, THE	HAMPTON	VA	21	855,754	2,565
188720	6813	SM	FARMERS BANK OF APPOMATTOX, THE	APPOMATTOX	VA	5	194,823	1,472
214722	6862	SM	CHESAPEAKE BANK	KILMARNOCK	VA	11	632,849	7,113
223322	22918	SM	FIRST BANK AND TRUST COMPANY, THE	LEBANON	VA	19	1,234,715	12,663
233527	6872	SM	BLUE RIDGE BANK, INC.	LURAY	VA	5	206,147	1,187
268828	19011	N	GRUNDY NATIONAL BANK	GRUNDY	VA	8	346,848	2,798
274829	21883	SM	TRUPOINT BANK	GRUNDY	VA	12	449,667	678
310875	31294	SM	SHORE BANK	ONLEY	VA	7	297,277	2,179
353724	6128	NM	BANK OF FINCASTLE, THE	FINCASTLE	VA	7	187,128	1,107
355821	16993	SM	BANK OF FLOYD	FLOYD	VA	7	267,889	-3,331
359324	10730	NM	PEOPLES BANK, THE	ROSE HILL	VA	4	91,348	-534
365325	22858	SM	UNITED BANK	FAIRFAX	VA	55	3,627,398	20,181
413208	57890	N	HSBC BANK USA, NATIONAL ASSOCIATION	MCLEAN	VA	251	195,658,056	-905,712
436823	21225	SM	CENTRAL VIRGINIA BANK	POWHATAN	VA	7	387,526	986
534774	29742	SM	VIRGINIA COMMONWEALTH BANK	PETERSBURG	VA	8	283,657	2,102
