List of Banks in Peer Group -- VACOM All Insured Commercial Banks in Virginia

Reporting Period End Date	03/31/2025
Number of Banks in Peer Group	56

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
658924	22888	SM	FARMERS AND MINERS BANK	PENNINGTON GAP	VA	6	178,704	675
2353595	13012	SM	FIRST COMMUNITY BANK	BLUEFIELD	VA	53	3,194,177	12,110
112837	4297	N	CAPITAL ONE, NATIONAL ASSOCIATION	MC LEAN	VA	255	496,043,483	1,542,241
667524	14491	SM	BANK OF CHARLOTTE COUNTY, THE	PHENIX	VA	6	208,287	679
31826	6863	N	POWELL VALLEY NATIONAL BANK	JONESVILLE	VA	7	491,040	560
979629	6811	N	FIRST NATIONAL BANK	ALTAVISTA	VA	18	1,027,193	2,399
3019982	57184	SM	FREEDOM BANK OF VIRGINIA, THE	FAIRFAX	VA	5	1,100,611	2,419
755421	8672	NM	BLUE GRASS VALLEY BANK, THE	BLUE GRASS	VA	2	57,861	48
693224	34589	SM	ATLANTIC UNION BANK	RICHMOND	VA	128	24,866,197	59,720
713926	8668	SM	FARMERS & MERCHANTS BANK	TIMBERVILLE	VA	14	1,338,532	2,411
3125315	57420	SM	HIGHLANDS COMMUNITY BANK	COVINGTON	VA	3	193,295	104
899428	6917	SM	FIRST BANK	STRASBURG	VA	32	2,036,694	2,254
214722	6862	SM	CHESAPEAKE BANK	KILMARNOCK	VA	17	1,596,345	-3,978
3476192	58596	NM	CARTER BANK & TRUST	MARTINSVILLE	VA	65	4,730,405	9,547
754929	6821	N	NATIONAL BANK OF BLACKSBURG, THE	BLACKSBURG	VA	28	1,874,112	3,373
610128	11580	NM	BANK OF SOUTHSIDE VIRGINIA, THE	CARSON	VA	15	685,297	2,709
365325	22858	SM	UNITED BANK	FAIRFAX	VA	233	32,333,669	92,484
5543735	59262	SM	INTEGRITY BANK FOR BUSINESS	VIRGINIA BEACH	VA	1	73,499	-53
2760232	35111	NM	VILLAGE BANK	MIDLOTHIAN	VA	9	764,016	-32
413208	57890	N	HSBC BANK USA, NATIONAL ASSOCIATION	TYSONS	VA	23	169,207,425	294,970
991621	823	SM	CITIZENS BANK AND TRUST COMPANY	BLACKSTONE	VA	12	569,228	2,492
233527	35274	N	BLUE RIDGE BANK, NATIONAL ASSOCIATION	MARTINSVILLE	VA	27	2,761,426	445
3597211	58595	N	CHAIN BRIDGE BANK, NATIONAL ASSOCIATION	MC LEAN	VA	1	1,599,739	6,056
920975	31928	SM	FIRST SENTINEL BANK	RICHLANDS	VA	9	397,460	861
3248849	57742	SM	MAINSTREET BANK	FAIRFAX	VA	6	2,159,052	3,029
933621	11578	SM	BURKE AND HERBERT BANK AND TRUST COMPANY	ALEXANDRIA	VA	77	7,842,970	31,008
711520	23989	SM	MINERS EXCHANGE BANK	COEBURN	VA	7	94,509	5
223322	22918	SM	FIRST BANK AND TRUST COMPANY, THE	LEBANON	VA	27	3,842,637	15,182
3816163	58859	SM	CORNERSTONE BANK	LEXINGTON	VA	3	221,732	432
3325759	57968	SM	PRIMIS BANK	TAPPAHANNOCK	VA	25	3,627,577	5,039
753324	6123	SM	BANK OF CLARKE	BERRYVILLE	VA	14	1,930,918	-6,635
41629	6913	SM	PIONEER BANK	STANLEY	VA	5	351,070	1,094
2708122	34755	N	VIRGINIA NATIONAL BANK	CHARLOTTESVILLE	VA	12	1,678,385	5,055
804422	9986	SM	FARMERS AND MERCHANTS BANK OF CRAIG COUNTY, THE	NEW CASTLE	VA	1	88,484	202
3610718	58504	N	OLD DOMINION NATIONAL BANK	NORTH GARDEN	VA	6	1,379,576	2,303
2736451	34890	SM	NEW PEOPLES BANK, INC.	HONAKER	VA	17	879,060	2,095
722227	9502	NM	MOVEMENT BANK	DANVILLE	VA	4	163,233	-124
3816154	58857	N	NEW HORIZON BANK, NATIONAL ASSOCIATION	POWHATAN	VA	1	207,237	-523
274829	21883	SM	TRUPOINT BANK	GRUNDY	VA	12	509,688	800
186221	6892	N	OLD POINT NATIONAL BANK OF PHOEBUS, THE	HAMPTON	VA	14	1,439,409	2,157
3816190	58827	N	OAK VIEW NATIONAL BANK	WARRENTON	VA	4	710,741	1,618
3614976	58696	SM	FVCBANK	FAIRFAX	VA	8	2,229,748	5,537
661223	11582	NM	LEE BANK & TRUST COMPANY	PENNINGTON GAP	VA	3	258,394	553
188720	6813	SM	FARMERS BANK OF APPOMATTOX, THE	APPOMATTOX	VA	6	353,771	642
858528	9507	SM	BANK OF MARION, THE	MARION	VA	16	600,240	1,845
3626858	58658	SM	LOCUS BANK, INC.	RICHMOND	VA	2	339,391	799
90328	6861	N	SKYLINE NATIONAL BANK	INDEPENDENCE	VA	28	1,256,174	3,652
759625	6137	NM	BANK OF BOTETOURT	BUCHANAN	VA	12	864,762	2,044
928421	10363	NM	CITIZENS AND FARMERS BANK	WEST POINT	VA	31	2,591,006	6,060
94522	20484	SM	BENCHMARK COMMUNITY BANK	KENBRIDGE	VA	16	1,240,922	4,631
3419416	58243	SM	JOHN MARSHALL BANK	RESTON	VA	8	2,230,247	5,321
5349218	59183	NM	TRUSTAR BANK	GREAT FALLS	VA	4	964,961	1,010
2787770	35207	SM	BANK OF THE JAMES	LYNCHBURG	VA	19	1,002,986	574
3567269	58563	SM	SELECT BANK	FOREST	VA	6	490,004	968
2797724	35095	NM	TOWNEBANK	PORTSMOUTH	VA	56	17,365,161	50,592
268828	19011	SM	LEGACY BANK	GRUNDY	VA	5	337,454	760
