List of Banks in Peer Group -- WASVG All Insured Savings Banks in Washington

Reporting Period End Date	03/31/2007
Number of Banks in Peer Group	10

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
2643595	34585	SI	PACIFIC CREST SAVINGS BANK	LYNNWOOD	WA	1	144,443	501
564771	19835	SI	FIRST MUTUAL BANK	BELLEVUE	WA	12	1,057,516	3,084
2916879	35362	SI	GOLF SAVINGS BANK	MOUNTLAKE TERRACE	WA	1	286,787	-468
768074	29058	SI	FIRST SAVINGS BANK OF RENTON	RENTON	WA	1	1,013,404	1,662
294779	28453	SI	TIMBERLAND BANK	HOQUIAM	WA	21	593,992	1,903
349370	28454	SI	ANCHOR MUTUAL SAVINGS BANK	ABERDEEN	WA	19	605,751	763
2838207	35139	SI	SEATTLE SAVINGS BANK	SEATTLE	WA	6	550,050	6,269
1018927	57633	SI	1ST SECURITY BANK OF WASHINGTON	MOUNTLAKE TERRACE	WA	13	262,779	162
129394	38129	SI	RAINIER PACIFIC SAVINGS BANK	TACOMA	WA	14	900,712	1,009
258771	32489	SI	HOMESTREET BANK	SEATTLE	WA	20	2,423,584	6,708
