List of Banks in Peer Group -- WASVG All Insured Savings Banks in Washington

Reporting Period End Date	06/30/2017
Number of Banks in Peer Group	10

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
403179	28405	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF PORT ANGELES	PORT ANGELES	WA	11	1,055,562	3,132
1018927	57633	SI	1ST SECURITY BANK OF WASHINGTON	MOUNTLAKE TERRACE	WA	12	870,416	7,233
294779	28453	SI	TIMBERLAND BANK	HOQUIAM	WA	22	922,203	7,476
809771	28116	SI	YAKIMA FEDERAL SAVINGS AND LOAN ASSOCIATION	YAKIMA	WA	10	1,817,753	7,160
768476	28266	SI	RAYMOND FEDERAL BANK	RAYMOND	WA	3	59,627	66
2838207	35139	SI	SEATTLE BANK	SEATTLE	WA	6	270,339	369
550279	28599	SI	OLYMPIA FEDERAL SAVINGS AND LOAN ASSOCIATION	OLYMPIA	WA	8	601,560	1,201
2643595	34585	SI	PACIFIC CREST SAVINGS BANK	LYNNWOOD	WA	1	210,436	1,703
349370	28454	SI	ANCHOR BANK	ABERDEEN	WA	10	453,467	1,733
921178	29922	SI	RIVERVIEW COMMUNITY BANK	VANCOUVER	WA	19	1,072,334	5,017
