List of Banks in Peer Group -- WICOM All Insured Commercial Banks in Wisconsin

Reporting Period End Date	12/31/2010
Number of Banks in Peer Group	241

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
2040	13046	NM	FARMERS & MERCHANTS BANK	TOMAH	WI	3	211,437	775
12245	15093	NM	BANK NORTH	CRIVITZ	WI	6	120,194	625
12647	10012	NM	PORTAGE COUNTY BANK, THE	ALMOND	WI	5	92,772	712
14052	9042	NM	LINCOLN COMMUNITY BANK	MERRILL	WI	1	64,262	90
20053	10015	NM	SECURITY BANK	NEW AUBURN	WI	4	71,795	19
21658	12511	NM	ALLIANCE BANK	MONDOVI	WI	5	140,844	1,369
23755	5357	N	FIRST NATIONAL COMMUNITY BANK	NEW RICHMOND	WI	3	152,134	1,048
24949	12788	N	BARABOO NATIONAL BANK, THE	BARABOO	WI	14	783,738	-2,473
27548	14078	NM	BLACKHAWK STATE BANK	BELOIT	WI	8	538,783	3,342
34452	5358	N	FIRST NATIONAL BANK OF PARK FALLS, THE	PARK FALLS	WI	3	94,341	1,245
35646	11235	NM	BONDUEL STATE BANK	BONDUEL	WI	1	48,368	618
37051	13030	NM	PIGEON FALLS STATE BANK	PIGEON FALLS	WI	3	62,041	388
37341	21085	NM	BANK OF ONTARIO	ONTARIO	WI	2	31,699	559
37743	11607	SM	CALUMET COUNTY BANK	BRILLION	WI	2	83,806	104
41245	15173	SM	FARMERS & MERCHANTS BANK OF ORFORDVILLE	ORFORDVILLE	WI	1	38,426	240
43052	9036	NM	SECURITY STATE BANK	IRON RIVER	WI	3	101,624	909
43744	14823	NM	CAMBRIDGE STATE BANK	CAMBRIDGE	WI	1	95,883	-3,622
47256	27053	NM	COMMUNITY FINANCIAL BANK	PRENTICE	WI	2	31,500	-265
48440	9517	NM	CLEVELAND STATE BANK	CLEVELAND	WI	2	79,306	670
49643	15116	NM	PALMYRA STATE BANK	PALMYRA	WI	1	37,134	383
