List of Banks in Peer Group -- WISVG All Insured Savings Banks in Wisconsin

Reporting Period End Date	12/31/2019
Number of Banks in Peer Group	24

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
336576	28614	SI	EQUITABLE BANK, S.S.B., THE	WAUWATOSA	WI	6	306,558	823
27070	29294	SI	TIME FEDERAL SAVINGS BANK	MEDFORD	WI	9	804,045	2,026
465672	30516	SI	TOMAHAWK COMMUNITY BANK S.S.B.	TOMAHAWK	WI	2	142,629	1,233
411576	30585	SI	MAYVILLE SAVINGS BANK	MAYVILLE	WI	1	65,641	436
331076	30422	SI	FIRST FEDERAL BANK OF WISCONSIN	WAUKESHA	WI	4	260,155	1,801
102874	29676	SI	PAPER CITY SAVINGS ASSOCIATION	WISCONSIN RAPIDS	WI	3	162,872	1,645
2756767	35043	SI	SUNSET BANK & SAVINGS	WAUKESHA	WI	2	129,725	324
28675	29293	SI	CUMBERLAND FEDERAL BANK, FEDERAL SAVINGS BANK	CUMBERLAND	WI	1	152,433	1,486
3017081	57093	SI	NORTHWESTERN MUTUAL WEALTH MANAGEMENT COMPANY	MILWAUKEE	WI	1	339,309	79,940
35879	30313	SI	EAST WISCONSIN SAVINGS BANK	KAUKAUNA	WI	6	245,101	383
2745529	34799	SI	THRIVENT TRUST CO.	APPLETON	WI	1	74,848	-1,318
255873	30248	SI	HOME SAVINGS BANK	MADISON	WI	3	152,360	512
313577	28530	SI	FORWARD BANK	MARSHFIELD	WI	10	566,327	3,283
835770	29188	SI	FOX VALLEY SAVINGS BANK	FOND DU LAC	WI	3	348,232	2,593
524579	29657	SI	GREAT MIDWEST BANK, STATE SAVINGS BANK	BROOKFIELD	WI	8	822,990	8,020
208972	29691	SI	KEYSAVINGS BANK	WISCONSIN RAPIDS	WI	2	76,688	46
2992547	35237	SI	JOHN DEERE FINANCIAL, F.S.B.	MADISON	WI	1	3,387,507	130,002
596277	28480	SI	COLUMBIA SAVINGS AND LOAN ASSOCIATION	MILWAUKEE	WI	1	22,624	-64
310978	28513	SI	WATERSTONE BANK	WAUWATOSA	WI	14	1,972,694	35,784
686570	28983	SI	LADYSMITH FEDERAL SAVINGS & LOAN ASSOCIATION	LADYSMITH	WI	1	52,812	313
713476	29120	SI	PYRAMAX BANK, F.S.B.	GREENFIELD	WI	8	467,186	1,128
596978	29745	SI	MARATHON BANK	WAUSAU	WI	4	151,858	1,293
575375	28790	SI	SUPERIOR SAVINGS BANK	SUPERIOR	WI	1	64,824	605
376273	28679	SI	NORTH SHORE BANK, F.S.B.	BROOKFIELD	WI	44	2,017,419	12,400
