List of Banks in Peer Group -- WVCOM All Insured Commercial Banks in West Virginia

Reporting Period End Date	09/30/2006
Number of Banks in Peer Group	64

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
4437	6795	N	FIRST NATIONAL BANK	RONCEVERTE	WV	5	210,337	2,013
8631	847	SM	PLEASANTS COUNTY BANK, THE	SAINT MARYS	WV	3	48,595	314
13037	848	SM	TRADERS BANK	SPENCER	WV	3	102,570	127
18836	9998	SM	CAPON VALLEY BANK	WARDENSVILLE	WV	4	132,666	1,546
20633	6803	NM	MCNB BANK AND TRUST CO.	WELCH	WV	6	223,235	736
22730	2452	NM	WEST UNION BANK	WEST UNION	WV	5	91,297	466
104234	9030	NM	HARRISON COUNTY BANK, THE	LOST CREEK	WV	4	73,114	375
164331	19285	SM	LOGAN BANK & TRUST COMPANY	LOGAN	WV	6	187,007	2,186
170332	13020	NM	FIRST EXCHANGE BANK	MANNINGTON	WV	7	142,342	1,191
294827	2448	NM	PIONEER COMMUNITY BANK, INC.	IAEGER	WV	3	59,192	587
352820	13017	NM	BANK OF MOUNT HOPE, INC.	MOUNT HOPE	WV	3	81,419	796
357526	2453	NM	DAVIS TRUST COMPANY	ELKINS	WV	1	115,193	1,106
370020	6176	NM	PENDLETON COMMUNITY BANK, INC.	FRANKLIN	WV	4	173,924	1,783
417626	15243	SM	PUTNAM COUNTY BANK	HURRICANE	WV	3	451,147	4,036
481627	6760	N	CITIZENS NATIONAL BANK OF ELKINS	ELKINS	WV	5	238,565	1,660
488420	6762	N	FAYETTE COUNTY NATIONAL BANK OF FAYETTEVILLE, THE	FAYETTEVILLE	WV	3	67,335	465
491822	15397	SM	BANK OF GASSAWAY	GASSAWAY	WV	5	151,851	961
498625	9024	NM	CALHOUN COUNTY BANK, INC.	GRANTSVILLE	WV	4	88,105	604
569422	6750	N	FIRST CENTURY BANK, NATIONAL ASSOCIATION	BLUEFIELD	WV	11	398,593	3,407
600129	10002	N	PROGRESSIVE BANK, NATIONAL ASSOCIATION	WHEELING	WV	10	263,652	1,786
627425	14361	NM	FIRST STATE BANK, THE	BARBOURSVILLE	WV	3	139,042	1,603
629522	15664	NM	FREEDOM BANK, INC.	BELINGTON	WV	5	122,997	1,074
639633	19674	NM	CITIZENS BANK OF WESTON, INC., THE	WESTON	WV	2	144,982	1,434
645625	803	SM	WESBANCO BANK, INC.	WHEELING	WV	77	4,174,970	31,474
667029	16620	NM	UNION BANK, INC.	MIDDLEBOURNE	WV	8	115,679	634
670421	22647	NM	NORTHERN HANCOCK BANK & TRUST CO.	NEWELL	WV	2	25,652	321
706236	22273	NM	BANK OF MINGO	WILLIAMSON	WV	5	104,465	1,175
708333	6173	SM	PEOPLES BANK OF MULLENS, THE	MULLENS	WV	2	111,859	1,066
718538	11953	NM	GRANT COUNTY BANK, THE	PETERSBURG	WV	7	206,993	1,927
719030	6787	N	FIRST NATIONAL BANK OF PETERSTOWN, THE	PETERSTOWN	WV	1	41,655	354
722432	845	SM	BANK OF ROMNEY, THE	ROMNEY	WV	5	204,695	1,762
732637	16453	NM	WHITESVILLE STATE BANK	WHITESVILLE	WV	4	59,874	55
786733	9997	NM	JEFFERSON SECURITY BANK	SHEPHERDSTOWN	WV	6	232,372	1,915
829032	20215	SM	BCBANK, INC.	PHILIPPI	WV	2	101,847	667
832528	2444	NM	CLAY COUNTY BANK, INC.	CLAY	WV	1	58,622	340
840532	6798	N	FIRST NATIONAL BANK OF ST MARYS, THE	SAINT MARYS	WV	1	31,301	163
849432	6180	SM	BANK OF MONROE, THE	UNION	WV	2	101,929	589
851239	11952	NM	POCA VALLEY BANK, INC., THE	WALTON	WV	7	224,541	52
886624	2443	SM	CLEAR MOUNTAIN BANK, INC.	BRUCETON MILLS	WV	9	266,155	2,602
897237	22954	NM	CITIZENS BANK OF MORGANTOWN, INC.	MORGANTOWN	WV	1	34,629	55
901134	19681	NM	COMMUNITY BANK OF PARKERSBURG	PARKERSBURG	WV	4	195,213	2,444
911339	6800	N	FIRST NATIONAL BANK	SPENCER	WV	4	122,673	418
913436	13018	NM	MINERS AND MERCHANTS BANK	THOMAS	WV	3	41,818	356
917630	6805	N	FIRST NATIONAL BANK OF WILLIAMSON, THE	WILLIAMSON	WV	3	93,306	1,345
918132	14744	N	WILLIAMSTOWN NATIONAL BANK, THE	WILLIAMSTOWN	WV	2	91,202	844
944627	14507	N	CITIZENS NATIONAL BANK OF BERKELEY SPRINGS	BERKELEY SPRINGS	WV	6	267,702	1,906
969639	6794	NM	FNB BANK, INC.	ROMNEY	WV	4	130,123	1,024
978239	10045	N	FIRST NATIONAL BANK IN WEST UNION	WEST UNION	WV	3	68,497	578
1010930	6784	SM	UNITED BANK, INC.	PARKERSBURG	WV	53	3,782,958	34,826
1011432	6786	N	MOUNTAIN VALLEY BANK, N.A.	ELKINS	WV	3	89,642	961
1011526	17735	N	CITY NATIONAL BANK OF WEST VIRGINIA	CHARLESTON	WV	66	2,519,127	41,649
1014125	9023	NM	BANK OF CHARLES TOWN	CHARLES TOWN	WV	5	286,288	3,189
2372774	34102	NM	SUMMIT COMMUNITY BANK, INC.	MOOREFIELD	WV	8	723,350	6,524
2506056	34245	NM	ROCK BRANCH COMMUNITY BANK, INC.	NITRO	WV	1	49,359	284
2506757	34241	NM	FIRST SENTRY BANK, INC.	HUNTINGTON	WV	2	233,581	2,094
