List of Banks in Peer Group -- WVCOM All Insured Commercial Banks in West Virginia

Reporting Period End Date	03/31/2012
Number of Banks in Peer Group	58

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
4437	6795	N	FIRST NATIONAL BANK	RONCEVERTE	WV	6	259,935	-22
8631	847	SM	PLEASANTS COUNTY BANK, THE	SAINT MARYS	WV	3	59,007	128
18836	9998	SM	CAPON VALLEY BANK	WARDENSVILLE	WV	5	153,222	162
20633	6803	NM	MCNB BANK AND TRUST CO.	WELCH	WV	5	323,289	433
22730	2452	NM	WEST UNION BANK	WEST UNION	WV	5	118,988	139
104234	9030	NM	HARRISON COUNTY BANK, THE	LOST CREEK	WV	5	93,034	150
164331	19285	SM	LOGAN BANK & TRUST COMPANY	LOGAN	WV	5	252,571	522
170332	13020	NM	FIRST EXCHANGE BANK	MANNINGTON	WV	6	202,210	-237
294827	2448	NM	PIONEER COMMUNITY BANK, INC.	IAEGER	WV	6	122,995	307
352820	13017	NM	BANK OF MOUNT HOPE, INC.	MOUNT HOPE	WV	3	128,663	284
357526	2453	NM	DAVIS TRUST COMPANY	ELKINS	WV	2	130,575	201
370020	6176	NM	PENDLETON COMMUNITY BANK, INC.	FRANKLIN	WV	5	253,123	647
417626	15243	SM	PUTNAM COUNTY BANK	HURRICANE	WV	3	587,079	261
481627	6760	NM	CITIZENS BANK OF WEST VIRGINIA, INC.	ELKINS	WV	4	213,171	461
488420	6762	N	FAYETTE COUNTY NATIONAL BANK OF FAYETTEVILLE, THE	FAYETTEVILLE	WV	3	86,617	237
491822	15397	SM	BANK OF GASSAWAY	GASSAWAY	WV	3	170,539	279
498625	9024	NM	CALHOUN COUNTY BANK, INC.	GRANTSVILLE	WV	4	118,147	63
569422	6750	SM	FIRST CENTURY BANK, INC.	BLUEFIELD	WV	11	424,213	729
600129	10002	N	PROGRESSIVE BANK, NATIONAL ASSOCIATION	WHEELING	WV	10	289,147	476
627425	14361	NM	FIRST STATE BANK, THE	BARBOURSVILLE	WV	3	288,481	1,818
629522	15664	NM	FREEDOM BANK, INC.	BELINGTON	WV	5	161,378	101
639633	19674	NM	CITIZENS BANK OF WESTON, INC., THE	WESTON	WV	2	176,415	509
645625	803	NM	WESBANCO BANK, INC.	WHEELING	WV	108	5,532,091	12,764
667029	16620	NM	UNION BANK, INC.	MIDDLEBOURNE	WV	8	191,616	605
670421	22647	NM	NORTHERN HANCOCK BANK & TRUST CO.	NEWELL	WV	2	32,744	122
706236	22273	NM	BANK OF MINGO	WILLIAMSON	WV	5	115,767	204
708333	6173	SM	FIRST PEOPLES BANK, INC.	MULLENS	WV	3	121,896	115
718538	11953	NM	GRANT COUNTY BANK, THE	PETERSBURG	WV	7	242,058	490
719030	6787	N	FIRST NATIONAL BANK OF PETERSTOWN, THE	PETERSTOWN	WV	1	62,724	134
722432	845	SM	BANK OF ROMNEY, THE	ROMNEY	WV	6	247,232	443
732637	16453	NM	WHITESVILLE STATE BANK	WHITESVILLE	WV	4	80,251	83
786733	9997	NM	JEFFERSON SECURITY BANK	SHEPHERDSTOWN	WV	6	278,870	191
829032	20215	SM	BCBANK, INC.	PHILIPPI	WV	3	112,683	95
832528	2444	NM	CLAY COUNTY BANK, INC.	CLAY	WV	2	77,918	215
849432	6180	SM	BANK OF MONROE, THE	UNION	WV	2	119,599	175
851239	11952	NM	POCA VALLEY BANK, INC., THE	WALTON	WV	7	301,378	580
886624	2443	SM	CLEAR MOUNTAIN BANK, INC.	BRUCETON MILLS	WV	11	430,063	1,206
897237	22954	NM	CITIZENS BANK OF MORGANTOWN, INC.	MORGANTOWN	WV	1	32,552	43
901134	19681	NM	COMMUNITY BANK OF PARKERSBURG	PARKERSBURG	WV	4	234,983	876
911339	6800	NM	FIRST NEIGHBORHOOD BANK, INC.	SPENCER	WV	3	140,914	168
913436	13018	NM	MINERS AND MERCHANTS BANK	THOMAS	WV	3	53,905	95
917630	6805	N	FIRST NATIONAL BANK OF WILLIAMSON, THE	WILLIAMSON	WV	3	94,103	344
918132	14744	NM	WILLIAMSTOWN BANK, INC.	WILLIAMSTOWN	WV	2	133,586	363
944627	14507	NM	CNB BANK, INC.	BERKELEY SPRINGS	WV	6	275,438	364
969639	6794	NM	FNB BANK, INC.	ROMNEY	WV	4	150,009	-345
978239	10045	NM	CORNERSTONE BANK, INC.	WEST UNION	WV	3	96,811	150
1010930	6784	SM	UNITED BANK, INC.	PARKERSBURG	WV	56	3,644,080	10,206
1011432	6786	N	MOUNTAIN VALLEY BANK, N.A.	ELKINS	WV	4	119,180	210
1011526	17735	N	CITY NATIONAL BANK OF WEST VIRGINIA	CHARLESTON	WV	69	2,708,538	10,209
1014125	9023	NM	BANK OF CHARLES TOWN	CHARLES TOWN	WV	5	289,957	329
2372774	34102	NM	SUMMIT COMMUNITY BANK, INC.	MOOREFIELD	WV	15	1,434,658	2,007
2506056	34245	NM	ROCK BRANCH COMMUNITY BANK, INC.	NITRO	WV	1	74,085	181
2506757	34241	NM	FIRST SENTRY BANK, INC.	HUNTINGTON	WV	4	497,544	841
2692753	34837	NM	PREMIER BANK, INC.	HUNTINGTON	WV	23	745,821	2,016
2757205	34603	NM	MVB BANK, INC.	FAIRMONT	WV	6	554,367	909
2856500	35364	NM	CENTRA BANK, INC.	MORGANTOWN	WV	15	1,328,020	5,329
3034695	57162	NM	MAIN STREET BANK CORP.	WHEELING	WV	3	241,987	566
3189634	57514	NM	FIRST BANK OF CHARLESTON, INC.	CHARLESTON	WV	1	182,120	501
