List of Banks in Peer Group -- WYCOM All Insured Commercial Banks in Wyoming

Reporting Period End Date	03/31/2015
Number of Banks in Peer Group	30

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
1454	19184	N	HILLTOP NATIONAL BANK	CASPER	WY	5	727,219	2,295
24453	24334	SM	ROCKY MOUNTAIN BANK	JACKSON	WY	3	231,971	327
64150	8718	SM	WYOMING BANK & TRUST	CHEYENNE	WY	2	149,638	754
72258	12591	NM	CONVERSE COUNTY BANK, THE	DOUGLAS	WY	1	501,388	1,536
78559	25054	N	SUMMIT NATIONAL BANK	HULETT	WY	4	63,675	115
85052	1167	SM	UINTA BANK	MOUNTAIN VIEW	WY	2	122,225	203
87159	1168	SM	FIRST STATE BANK OF NEWCASTLE	NEWCASTLE	WY	1	157,160	365
94755	1169	SM	SUNDANCE STATE BANK	SUNDANCE	WY	1	181,408	358
108072	29696	SM	BUFFALO FEDERAL BANK	BUFFALO	WY	3	105,751	63
529172	31966	NM	SECURITY FIRST BANK	CHEYENNE	WY	3	69,444	162
542854	526	SM	FARMERS STATE BANK	PINE BLUFFS	WY	1	27,499	-30
544951	8725	SM	COWBOY STATE BANK	RANCHESTER	WY	2	42,592	-7
547550	22639	SM	BANK OF COMMERCE	RAWLINS	WY	1	129,797	310
548052	2228	N	RAWLINS NATIONAL BANK, THE	RAWLINS	WY	5	166,255	38
550952	2229	SM	RSNB BANK	ROCK SPRINGS	WY	2	376,600	1,074
561659	2232	NM	PINNACLE BANK - WYOMING	TORRINGTON	WY	12	682,725	3,733
580155	5442	SM	PLATTE VALLEY BANK	TORRINGTON	WY	6	320,603	1,070
868956	2208	SM	FIRST NORTHERN BANK OF WYOMING	BUFFALO	WY	2	276,373	1,245
890050	18880	N	FIRST NATIONAL BANK OF GILLETTE	GILLETTE	WY	3	576,193	1,543
898458	23826	SM	BANK OF JACKSON HOLE	JACKSON	WY	10	580,152	1,197
900258	19118	SM	OREGON TRAIL BANK	GUERNSEY	WY	3	33,639	0
903950	529	NM	CENTRAL BANK AND TRUST	LANDER	WY	5	156,495	683
912550	8724	SM	LUSK STATE BANK	LUSK	WY	1	59,258	201
955959	12592	SM	SECURITY STATE BANK	BASIN	WY	5	331,787	741
2396604	34148	SM	BANK OF STAR VALLEY, THE	AFTON	WY	3	134,423	538
2602828	34441	NM	STATE BANK	GREEN RIVER	WY	2	38,799	20
2806840	35220	SM	WYOMING COMMUNITY BANK	RIVERTON	WY	2	134,997	361
3032833	57363	NM	CHEYENNE STATE BANK	CHEYENNE	WY	1	43,438	49
3412417	58396	SM	JONAH BANK OF WYOMING	CASPER	WY	3	296,283	733
3445460	58395	NM	WYOMING STATE BANK	LARAMIE	WY	3	164,850	301
