List of Banks in Peer Group -- 1 Insured commercial banks having assets greater than $100 billion

Reporting Period End Date	12/31/2021
Number of Banks in Peer Group	30

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
233031	12368	SM	REGIONS BANK	BIRMINGHAM	AL	1269	152,592,500	2,622,000
802866	24735	SM	SILICON VALLEY BANK	SANTA CLARA	CA	22	163,362,694	1,294,000
4114567	59017	NM	FIRST REPUBLIC BANK	SAN FRANCISCO	CA	71	166,122,397	1,478,116
212465	22826	N	MUFG UNION BANK, NATIONAL ASSOCIATION	SAN FRANCISCO	CA	294	132,221,818	1,135,510
817824	6384	N	PNC BANK, NATIONAL ASSOCIATION	WILMINGTON	DE	2609	483,366,728	5,064,842
497404	18409	N	TD BANK, N.A.	WILMINGTON	DE	1154	409,606,540	2,989,611
210434	913	SM	NORTHERN TRUST COMPANY, THE	CHICAGO	IL	60	155,579,817	1,554,443
75633	16571	N	BMO HARRIS BANK NATIONAL ASSOCIATION	CHICAGO	IL	485	162,184,553	1,756,918
35301	14	SM	STATE STREET BANK AND TRUST COMPANY	BOSTON	MA	13	295,557,000	2,657,000
480228	3510	N	BANK OF AMERICA, NATIONAL ASSOCIATION	CHARLOTTE	NC	4054	2,349,008,000	26,310,000
852320	9846	NM	TRUIST BANK	CHARLOTTE	NC	2476	510,542,000	5,569,000
2942690	57053	NM	SIGNATURE BANK	NEW YORK	NY	8	96,777,437	918,441
501105	588	SM	MANUFACTURERS AND TRADERS TRUST COMPANY	BUFFALO	NY	688	152,307,328	1,840,500
2182786	33124	SM	GOLDMAN SACHS BANK USA	NEW YORK	NY	5	342,832,750	3,352,000
2489805	34221	N	MORGAN STANLEY PRIVATE BANK, NATIONAL ASSOCIATION	PURCHASE	NY	1	136,131,250	1,528,000
541101	639	SM	BANK OF NEW YORK MELLON, THE	NEW YORK	NY	16	367,427,000	2,243,000
504713	6548	N	U.S. BANK NATIONAL ASSOCIATION	CINCINNATI	OH	2240	545,320,042	8,096,626
723112	6672	N	FIFTH THIRD BANK, NATIONAL ASSOCIATION	CINCINNATI	OH	1118	203,067,495	2,871,974
852218	628	N	JPMORGAN CHASE BANK, NATIONAL ASSOCIATION	COLUMBUS	OH	4799	3,254,903,750	38,055,000
12311	6560	N	HUNTINGTON NATIONAL BANK, THE	COLUMBUS	OH	1092	161,053,704	1,491,415
280110	17534	N	KEYBANK NATIONAL ASSOCIATION	CLEVELAND	OH	1003	177,674,801	2,596,619
3303298	57957	N	CITIZENS BANK, NATIONAL ASSOCIATION	PROVIDENCE	RI	931	184,879,096	2,308,064
476810	7213	N	CITIBANK, N.A.	SIOUX FALLS	SD	814	1,691,282,750	18,362,000
451965	3511	N	WELLS FARGO BANK, NATIONAL ASSOCIATION	SIOUX FALLS	SD	4738	1,769,657,500	17,577,000
3150447	57450	SM	CHARLES SCHWAB BANK, SSB	WESTLAKE	TX	1	368,943,000	2,538,000
3212149	57565	NM	UBS BANK USA	SALT LAKE CITY	UT	1	98,924,593	1,051,875
1456501	32992	N	MORGAN STANLEY BANK, N.A.	SALT LAKE CITY	UT	1	178,976,750	2,538,000
3284070	57803	SM	ALLY BANK	SANDY	UT	1	170,096,250	3,696,000
112837	4297	N	CAPITAL ONE, NATIONAL ASSOCIATION	MC LEAN	VA	315	369,700,864	4,991,931
413208	57890	N	HSBC BANK USA, NATIONAL ASSOCIATION	TYSONS	VA	135	195,564,275	813,279
