List of Banks in Peer Group -- 101 Insured savings banks having assets greater than $1 billion

Reporting Period End Date	09/30/2010
Number of Banks in Peer Group	50

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
1009804	18208	SI	FARMINGTON BANK	FARMINGTON	CT	14	1,362,587	5,014
633501	18203	SI	ROCKVILLE BANK	ROCKVILLE	CT	21	1,583,273	9,885
443205	18190	SI	UNION SAVINGS BANK	DANBURY	CT	31	2,452,724	4,289
882701	18213	SI	FAIRFIELD COUNTY BANK	RIDGEFIELD	CT	22	1,594,637	1,225
362007	18261	SI	NEWALLIANCE BANK	NEW HAVEN	CT	82	8,575,870	51,821
958204	18204	SI	FIRST COUNTY BANK	STAMFORD	CT	16	1,297,109	1,399
587800	17943	SI	LIBERTY BANK	MIDDLETOWN	CT	40	3,184,530	8,185
13103	23622	SI	BRISTOL COUNTY SAVINGS BANK	TAUNTON	MA	13	1,185,105	5,109
272302	90250	SI	INSTITUTION FOR SAVINGS IN NEWBURYPORT AND ITS VICINITY	NEWBURYPORT	MA	7	1,084,887	7,992
689209	23992	SI	COUNTRY BANK FOR SAVINGS	WARE	MA	15	1,405,351	5,816
613400	90213	SI	PEOPLESBANK	HOLYOKE	MA	17	1,568,728	7,526
758703	17870	SI	CAMBRIDGE SAVINGS BANK	CAMBRIDGE	MA	15	2,153,260	11,600
279105	23293	SI	FLORENCE SAVINGS BANK	FLORENCE	MA	9	1,077,686	3,127
473501	23621	SI	BERKSHIRE BANK	PITTSFIELD	MA	43	2,676,852	9,778
664206	23287	SI	CAPE COD FIVE CENTS SAVINGS BANK	HARWICH PORT	MA	14	1,938,456	8,958
1000100	33510	SI	EAST BOSTON SAVINGS BANK	BOSTON	MA	19	1,664,350	8,643
750305	90185	SI	DANVERSBANK	DANVERS	MA	26	2,436,262	14,756
618807	23296	SI	SALEM FIVE CENTS SAVINGS BANK	SALEM	MA	21	2,679,278	13,206
886204	23298	SI	WATERTOWN SAVINGS BANK	WATERTOWN	MA	9	1,059,192	3,442
888002	90183	SI	MIDDLESEX SAVINGS BANK	NATICK	MA	31	3,976,532	17,378
193809	23620	SI	DEDHAM INSTITUTION FOR SAVINGS	DEDHAM	MA	11	1,024,008	3,935
419406	18408	SI	BANGOR SAVINGS BANK	BANGOR	ME	55	2,338,130	12,695
239275	31445	SI	MACON BANK, INC.	FRANKLIN	NC	11	1,064,072	-2,537
265407	18012	SI	LACONIA SAVINGS BANK	LACONIA	NH	19	1,037,365	2,872
35570	28892	SI	INVESTORS SAVINGS BANK	SHORT HILLS	NJ	68	8,698,008	44,979
204004	12010	SI	PROVIDENT BANK, THE	JERSEY CITY	NJ	82	6,768,445	37,541
797775	30052	SI	BOILING SPRINGS SAVINGS BANK	RUTHERFORD	NJ	17	1,341,934	2,975
106377	28395	SI	CAPE BANK	CAPE MAY COURT HOUSE	NJ	18	1,069,746	3,235
2376	28866	SI	ORITANI BANK	TOWNSHIP OF WASHINGTON	NJ	18	2,192,209	7,038
373601	12013	SI	UNION COUNTY SAVINGS BANK	ELIZABETH	NJ	4	1,257,376	19,679
249612	16068	SI	APPLE BANK FOR SAVINGS	MANHASSET	NY	49	6,760,797	30,818
3363966	58170	SI	EMIGRANT SAVINGS BANK - BRONX/WESTCHESTER	BRONX	NY	8	1,056,722	3,569
3363957	58168	SI	EMIGRANT SAVINGS BANK - MANHATTAN	NEW YORK	NY	10	1,204,430	8,520
859712	16026	SI	RIDGEWOOD SAVINGS BANK	RIDGEWOOD	NY	39	4,471,345	17,737
137915	12054	SI	EMIGRANT BANK	NEW YORK	NY	2	10,364,390	49,924
694904	16022	SI	NEW YORK COMMUNITY BANK	FLUSHING	NY	245	39,695,893	403,951
932277	28114	SI	HOME SAVINGS AND LOAN COMPANY OF YOUNGSTOWN, OHIO, THE	YOUNGSTOWN	OH	38	2,309,020	-18,941
932978	26647	SI	FIRSTRUST SAVINGS BANK	CONSHOHOCKEN	PA	23	2,293,148	13,554
1002878	28178	SI	NORTHWEST SAVINGS BANK	WARREN	PA	165	8,114,367	46,565
810919	15697	SI	BENEFICIAL MUTUAL SAVINGS BANK	PHILADELPHIA	PA	65	4,802,045	-8,917
442776	27942	SI	ABINGTON SAVINGS BANK	JENKINTOWN	PA	18	1,261,562	5,773
328777	30401	SI	FIRST SAVINGS BANK OF PERKASIE	PERKASIE	PA	12	1,065,696	-3,353
224178	27708	SI	ESB BANK	ELLWOOD CITY	PA	23	1,911,687	12,035
3041974	57282	SI	CITIZENS BANK OF PENNSYLVANIA	PHILADELPHIA	PA	386	30,727,356	52,132
249872	30237	SI	PARKVALE SAVINGS BANK	MONROEVILLE	PA	47	1,889,834	-16,666
546003	18129	SI	BANKNEWPORT	NEWPORT	RI	12	1,093,220	5,586
1176881	32574	SI	BEAL BANK, SSB	PLANO	TX	8	3,535,764	59,224
258771	32489	SI	HOMESTREET BANK	SEATTLE	WA	21	2,951,690	-16,632
768074	29058	SI	FIRST SAVINGS BANK NORTHWEST	RENTON	WA	1	1,307,330	-51,556
310978	28513	SI	WATERSTONE BANK	WAUWATOSA	WI	9	1,839,339	-2,119
