List of Banks in Peer Group -- 101M Mutually-owned insured savings banks having assets greater than $1 billion

Reporting Period End Date	09/30/2010
Number of Banks in Peer Group	16

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
633501	18203	SI	ROCKVILLE BANK	ROCKVILLE	CT	21	1,583,273	9,885
443205	18190	SI	UNION SAVINGS BANK	DANBURY	CT	31	2,452,724	4,289
882701	18213	SI	FAIRFIELD COUNTY BANK	RIDGEFIELD	CT	22	1,594,637	1,225
587800	17943	SI	LIBERTY BANK	MIDDLETOWN	CT	40	3,184,530	8,185
958204	18204	SI	FIRST COUNTY BANK	STAMFORD	CT	16	1,297,109	1,399
618807	23296	SI	SALEM FIVE CENTS SAVINGS BANK	SALEM	MA	21	2,679,278	13,206
664206	23287	SI	CAPE COD FIVE CENTS SAVINGS BANK	HARWICH PORT	MA	14	1,938,456	8,958
886204	23298	SI	WATERTOWN SAVINGS BANK	WATERTOWN	MA	9	1,059,192	3,442
272302	90250	SI	INSTITUTION FOR SAVINGS IN NEWBURYPORT AND ITS VICINITY	NEWBURYPORT	MA	7	1,084,887	7,992
193809	23620	SI	DEDHAM INSTITUTION FOR SAVINGS	DEDHAM	MA	11	1,024,008	3,935
888002	90183	SI	MIDDLESEX SAVINGS BANK	NATICK	MA	31	3,976,532	17,378
689209	23992	SI	COUNTRY BANK FOR SAVINGS	WARE	MA	15	1,405,351	5,816
613400	90213	SI	PEOPLESBANK	HOLYOKE	MA	17	1,568,728	7,526
419406	18408	SI	BANGOR SAVINGS BANK	BANGOR	ME	55	2,338,130	12,695
373601	12013	SI	UNION COUNTY SAVINGS BANK	ELIZABETH	NJ	4	1,257,376	19,679
859712	16026	SI	RIDGEWOOD SAVINGS BANK	RIDGEWOOD	NY	39	4,471,345	17,737
