List of Banks in Peer Group -- 101S Stock-owned insured savings banks having assets greater than $1 billion

Reporting Period End Date	06/30/2009
Number of Banks in Peer Group	33

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
362007	18261	SI	NEWALLIANCE BANK	NEW HAVEN	CT	81	8,435,233	24,721
1009804	18208	SI	FARMINGTON SAVINGS BANK	FARMINGTON	CT	12	1,164,708	-1,069
750305	90185	SI	DANVERSBANK	DANVERS	MA	16	1,740,152	2,638
473501	23621	SI	BERKSHIRE BANK	PITTSFIELD	MA	41	2,641,775	5,221
13103	23622	SI	BRISTOL COUNTY SAVINGS BANK	TAUNTON	MA	12	1,159,877	2,545
1000100	33510	SI	EAST BOSTON SAVINGS BANK	BOSTON	MA	12	1,079,838	-284
279105	23293	SI	FLORENCE SAVINGS BANK	FLORENCE	MA	9	1,117,301	3,409
758703	17870	SI	CAMBRIDGE SAVINGS BANK	CAMBRIDGE	MA	16	2,125,576	6,309
791474	30005	SI	CF BANCORP	PORT HURON	MI	25	1,959,896	-29,783
239275	31445	SI	MACON BANK, INC.	FRANKLIN	NC	11	1,107,695	380
797775	30052	SI	BOILING SPRINGS SAVINGS BANK	RUTHERFORD	NJ	16	1,251,757	-3,084
204004	12010	SI	PROVIDENT BANK, THE	JERSEY CITY	NJ	82	6,530,175	-138,620
106377	28395	SI	CAPE BANK	CAPE MAY COURT HOUSE	NJ	18	1,100,998	46
35570	28892	SI	INVESTORS SAVINGS BANK	SHORT HILLS	NJ	61	7,502,256	12,416
2376	28866	SI	ORITANI BANK	TOWNSHIP OF WASHINGTON	NJ	18	1,761,761	2,491
3363957	58168	SI	EMIGRANT SAVINGS BANK - MANHATTAN	NEW YORK	NY	10	1,201,843	-11,186
249612	16068	SI	APPLE BANK FOR SAVINGS	MANHASSET	NY	49	6,591,338	9,833
694904	16022	SI	NEW YORK COMMUNITY BANK	FLUSHING	NY	176	30,258,161	148,835
3363966	58170	SI	EMIGRANT SAVINGS BANK - BRONX/WESTCHESTER	BRONX	NY	8	1,043,287	-12,528
137915	12054	SI	EMIGRANT BANK	NEW YORK	NY	2	13,329,847	-131,160
932277	28114	SI	HOME SAVINGS AND LOAN COMPANY OF YOUNGSTOWN, OHIO, THE	YOUNGSTOWN	OH	38	2,561,367	-3,971
224178	27708	SI	ESB BANK	ELLWOOD CITY	PA	23	1,918,925	6,668
810919	15697	SI	BENEFICIAL MUTUAL SAVINGS BANK	PHILADELPHIA	PA	68	4,047,589	7,162
3041974	57282	SI	CITIZENS BANK OF PENNSYLVANIA	PHILADELPHIA	PA	393	35,105,207	-58,848
932978	26647	SI	FIRSTRUST SAVINGS BANK	CONSHOHOCKEN	PA	23	2,523,918	914
442776	27942	SI	ABINGTON SAVINGS BANK	JENKINTOWN	PA	18	1,194,925	1,776
1002878	28178	SI	NORTHWEST SAVINGS BANK	WARREN	PA	160	7,073,911	21,611
328777	30401	SI	FIRST SAVINGS BANK OF PERKASIE	PERKASIE	PA	11	1,087,445	3,846
249872	30237	SI	PARKVALE SAVINGS BANK	MONROEVILLE	PA	46	1,913,477	-11,241
546003	18129	SI	BANKNEWPORT	NEWPORT	RI	12	1,090,793	855
768074	29058	SI	FIRST SAVINGS BANK NORTHWEST	RENTON	WA	1	1,256,371	-26,436
258771	32489	SI	HOMESTREET BANK	SEATTLE	WA	21	3,131,726	-39,578
310978	28513	SI	WATERSTONE BANK	WAUWATOSA	WI	9	1,917,277	-2,905
