List of Banks in Peer Group -- 102 Insured savings banks having assets between $300 million and $1 billion

Reporting Period End Date	03/31/2008
Number of Banks in Peer Group	147

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
507509	18199	SI	NEWTOWN SAVINGS BANK	NEWTOWN	CT	12	833,606	759
345309	18238	SI	CHELSEA GROTON SAVINGS BANK, THE	NORWICH	CT	15	692,085	1,131
1009804	18208	SI	FARMINGTON SAVINGS BANK	FARMINGTON	CT	12	964,598	721
311603	18200	SI	DIME BANK	NORWICH	CT	10	661,622	2,145
407506	18198	SI	NAUGATUCK SAVINGS BANK	NAUGATUCK	CT	13	734,875	1,359
831008	18194	SI	GUILFORD SAVINGS BANK, THE	GUILFORD	CT	7	440,471	1,010
258306	16101	SI	MILFORD BANK THE	MILFORD	CT	6	332,870	359
120609	18258	SI	THOMASTON SAVINGS BANK	THOMASTON	CT	8	517,919	1,060
626101	15912	SI	SAVINGS BANK OF DANBURY	DANBURY	CT	13	611,835	163
65205	16636	SI	TORRINGTON SAVINGS BANK, THE	TORRINGTON	CT	7	691,809	1,181
73116	17123	SI	ARTISANS' BANK	WILMINGTON	DE	13	590,923	186
764982	50028	SI	HERITAGEBANK OF THE SOUTH	ALBANY	GA	5	462,379	637
447070	28747	SI	HOYNE SAVINGS BANK	CHICAGO	IL	4	304,777	148
520777	28841	SI	COMMUNITY SAVINGS BANK	CHICAGO	IL	1	384,267	-387
221476	29786	SI	FIRST BANK & TRUST, S.B.	PARIS	IL	5	327,874	449
967877	29952	SI	GEORGE WASHINGTON SAVINGS BANK	ORLAND PARK	IL	2	383,010	1,166
757377	29009	SI	LIBERTY BANK FOR SAVINGS	CHICAGO	IL	5	738,121	815
483274	29809	SI	FIRST SAVINGS BANK OF HEGEWISCH	CHICAGO	IL	8	485,595	469
587677	28401	SI	EUREKA SAVINGS BANK	LA SALLE	IL	4	345,625	338
133971	29800	SI	LISLE SAVINGS BANK	LISLE	IL	2	521,644	30
155245	9538	SI	LA PORTE SAVINGS BANK, THE	LA PORTE	IN	7	367,921	247
568470	29523	SI	PEOPLES BANK SB	MUNSTER	IN	9	635,112	1,681
700672	29031	SI	AMERIANA BANK, SB	NEW CASTLE	IN	10	432,158	586
255574	28316	SI	FIDELITY HOMESTEAD SAVINGS BANK	NEW ORLEANS	LA	16	880,521	108
119779	26517	SI	CAPE COD CO-OPERATIVE BANK	YARMOUTH PORT	MA	7	538,512	690
954279	26559	SI	STONEHAMBANK	STONEHAM	MA	3	413,230	516
627407	23524	SI	SOUTHBRIDGE SAVINGS BANK	SOUTHBRIDGE	MA	13	445,178	43
154770	26395	SI	FRAMINGHAM CO-OPERATIVE BANK	FRAMINGHAM	MA	3	349,690	861
196800	90190	SI	MARTHA'S VINEYARD SAVINGS BANK	EDGARTOWN	MA	8	456,139	805
619701	90215	SI	AVIDIA BANK	HUDSON	MA	10	912,061	1,141
760108	90238	SI	STRATA BANK	MEDWAY	MA	10	415,761	240
685407	22089	SI	MASSBANK	READING	MA	15	797,475	203
833404	23286	SI	FALL RIVER FIVE CENTS SAVINGS BANK	FALL RIVER	MA	13	670,991	555
63573	26487	SI	WALPOLE CO-OPERATIVE BANK	WALPOLE	MA	1	308,196	618
771609	90196	SI	CITIZENS-UNION SAVINGS BANK	FALL RIVER	MA	9	640,828	118
859002	90188	SI	EASTHAMPTON SAVINGS BANK	EASTHAMPTON	MA	8	752,440	1,017
317100	90147	SI	NORTH MIDDLESEX SAVINGS BANK	AYER	MA	7	339,490	332
818401	90235	SI	MARLBOROUGH SAVINGS BANK	MARLBOROUGH	MA	6	308,934	163
911405	23288	SI	RIVER BANK	NORTH ANDOVER	MA	6	639,576	949
933377	26451	SI	FIDELITY CO-OPERATIVE BANK	FITCHBURG	MA	7	424,166	291
709602	90290	SI	UNIBANK FOR SAVINGS	WHITINSVILLE	MA	7	601,375	801
635907	90208	SI	PENTUCKET BANK	HAVERHILL	MA	5	493,065	507
375502	90141	SI	PROVIDENT BANK, THE	AMESBURY	MA	6	390,208	640
173575	26336	SI	VILLAGE BANK, THE	AUBURNDALE	MA	7	616,097	1,109
272302	90250	SI	INSTITUTION FOR SAVINGS IN NEWBURYPORT AND ITS VICINITY	NEWBURYPORT	MA	7	833,316	1,638
161273	26484	SI	NORTH SHORE BANK, A CO-OPERATIVE BANK	PEABODY	MA	8	438,263	228
673909	90211	SI	HINGHAM INSTITUTION FOR SAVINGS	HINGHAM	MA	9	750,228	1,287
268976	27238	SI	WINCHESTER CO-OPERATIVE BANK	WINCHESTER	MA	1	378,161	667
899008	90308	SI	WINCHESTER SAVINGS BANK	WINCHESTER	MA	5	457,373	236
627108	90203	SI	CAPE ANN SAVINGS BANK	GLOUCESTER	MA	3	342,984	583
180078	26396	SI	COMMUNITY BANK, A MASSACHUSETTS CO-OPERATIVE BANK, THE	BROCKTON	MA	7	386,900	323
348207	23901	SI	BELMONT SAVINGS BANK	BELMONT	MA	4	448,402	134
1017274	26552	SI	MT WASHINGTON CO-OPERATIVE BANK	SOUTH BOSTON	MA	5	520,279	451
351207	90265	SI	LEGACY BANKS	PITTSFIELD	MA	16	888,241	293
711801	90291	SI	SAVINGS BANK, THE	WAKEFIELD	MA	8	377,611	-637
179700	90181	SI	CLINTON SAVINGS BANK	CLINTON	MA	6	462,387	428
193809	23620	SI	DEDHAM INSTITUTION FOR SAVINGS	DEDHAM	MA	10	968,792	822
527600	90259	SI	NORTH EASTON SAVINGS BANK	NORTH EASTON	MA	9	407,969	185
28406	90160	SI	HYDE PARK SAVINGS BANK	BOSTON	MA	6	956,374	-361
5005	90286	SI	STONEHAM SAVINGS BANK	STONEHAM	MA	7	417,697	228
772008	90303	SI	SOUTH SHORE SAVINGS BANK	SOUTH WEYMOUTH	MA	15	925,363	1,064
963002	90311	SI	BAY STATE SAVINGS BANK	WORCESTER	MA	7	304,856	384
738303	90173	SI	EAST CAMBRIDGE SAVINGS BANK	CAMBRIDGE	MA	10	781,721	21
842004	90200	SI	BENJAMIN FRANKLIN BANK	FRANKLIN	MA	11	935,524	1,058
923707	90227	SI	LOWELL FIVE CENT SAVINGS BANK, THE	LOWELL	MA	13	655,681	-937
1013070	26555	SI	NORWOOD CO-OPERATIVE BANK	NORWOOD	MA	1	425,559	129
794608	90179	SI	CHICOPEE SAVINGS BANK	CHICOPEE	MA	6	460,086	214
632607	90206	SI	GREENFIELD SAVINGS BANK	GREENFIELD	MA	6	548,627	662
97804	90253	SI	HOOSAC BANK	NORTH ADAMS	MA	2	387,360	588
447100	90282	SI	SPENCER SAVINGS BANK	SPENCER	MA	5	328,788	649
