List of Banks in Peer Group -- 102M Mutually-owned insured savings banks having assets between $300 million and $1 billion

Reporting Period End Date	06/30/2005
Number of Banks in Peer Group	74

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
65205	16636	SI	TORRINGTON SAVINGS BANK, THE	TORRINGTON	CT	6	615,085	2,958
120609	18258	SI	THOMASTON SAVINGS BANK	THOMASTON	CT	7	431,650	1,996
258306	16101	SI	MILFORD BANK THE	MILFORD	CT	4	315,012	877
311603	18200	SI	DIME BANK	NORWICH	CT	9	498,017	3,462
345309	18238	SI	CHELSEA GROTON SAVINGS BANK, THE	NORWICH	CT	13	647,717	2,790
507509	18199	SI	NEWTOWN SAVINGS BANK	NEWTOWN	CT	10	628,823	2,019
626101	15912	SI	SAVINGS BANK OF DANBURY	DANBURY	CT	10	526,465	1,469
633501	18203	SI	ROCKVILLE BANK	ROCKVILLE	CT	16	926,002	2,418
831008	18194	SI	GUILFORD SAVINGS BANK, THE	GUILFORD	CT	4	386,771	793
958204	18204	SI	FIRST COUNTY BANK	STAMFORD	CT	12	936,634	4,471
1009804	18208	SI	FARMINGTON SAVINGS BANK	FARMINGTON	CT	12	776,088	3,600
73116	17123	SI	ARTISANS' BANK	WILMINGTON	DE	11	540,439	1,357
764982	50028	SI	HERITAGEBANK OF THE SOUTH	ALBANY	GA	6	345,650	1,476
757377	29009	SI	LIBERTY BANK FOR SAVINGS	CHICAGO	IL	4	765,525	2,915
587677	28401	SI	EUREKA SAVINGS BANK	LA SALLE	IL	4	330,382	1,422
520777	28841	SI	COMMUNITY SAVINGS BANK	CHICAGO	IL	1	407,608	164
447070	28747	SI	HOYNE SAVINGS BANK	CHICAGO	IL	4	326,759	300
483274	29809	SI	FIRST SAVINGS BANK OF HEGEWISCH	CHICAGO	IL	7	425,511	1,079
133971	29800	SI	LISLE SAVINGS BANK	LISLE	IL	2	495,005	3,748
157904	90283	SI	HAMPDEN BANK	SPRINGFIELD	MA	6	415,770	854
179700	90181	SI	CLINTON SAVINGS BANK	CLINTON	MA	5	368,126	1,225
193809	23620	SI	DEDHAM INSTITUTION FOR SAVINGS	DEDHAM	MA	10	857,766	1,864
197302	90191	SI	EAGLE BANK	EVERETT	MA	7	442,806	953
28406	90160	SI	HYDE PARK SAVINGS BANK	BOSTON	MA	5	754,340	5,216
67209	90251	SI	NEWBURYPORT FIVE CENTS SAVINGS BANK	NEWBURYPORT	MA	4	466,803	2,028
5005	90286	SI	STONEHAM SAVINGS BANK	STONEHAM	MA	7	312,051	1,234
348207	23901	SI	BELMONT SAVINGS BANK	BELMONT	MA	4	407,694	797
317100	90147	SI	NORTH MIDDLESEX SAVINGS BANK	AYER	MA	6	318,546	1,113
272302	90250	SI	INSTITUTION FOR SAVINGS IN NEWBURYPORT AND ITS VICINITY	NEWBURYPORT	MA	2	429,128	6,324
279105	23293	SI	FLORENCE SAVINGS BANK	FLORENCE	MA	8	826,782	2,522
