List of Banks in Peer Group -- 102S Stock-owned insured savings banks having assets between $300 million and $1 billion

Reporting Period End Date	03/31/2012
Number of Banks in Peer Group	167

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
687072	28982	SI	FIRST FEDERAL BANK	HARRISON	AR	16	570,287	292
773470	32282	SI	MALAGA BANK, FSB	PALOS VERDES ESTATES	CA	4	829,736	3,253
2132370	33114	SI	UNITED LABOR BANK, FSB	OAKLAND	CA	8	300,073	595
26176	30306	SI	BROADWAY FEDERAL BANK, F.S.B.	LOS ANGELES	CA	4	412,225	444
109686	35448	SI	KAISER FEDERAL BANK	COVINA	CA	10	922,917	1,712
208570	30722	SI	UNIVERSAL BANK	WEST COVINA	CA	6	439,893	72
3637685	58647	SI	FIRST FOUNDATION BANK	IRVINE	CA	2	569,768	1,474
3664588	58741	SI	FIELDPOINT PRIVATE BANK & TRUST	GREENWICH	CT	1	611,794	265
223005	18240	SI	PUTNAM BANK	PUTNAM	CT	8	456,146	75
151872	30365	SI	NAUGATUCK VALLEY SAVINGS AND LOAN	NAUGATUCK	CT	12	571,938	-2,641
92676	29632	SI	WINDSOR FEDERAL SAVINGS AND LOAN ASSOCIATION	WINDSOR	CT	5	387,223	681
407506	18198	SI	NAUGATUCK SAVINGS BANK	NAUGATUCK	CT	16	927,740	999
480808	18214	SI	SAVINGS INSTITUTE BANK AND TRUST COMPANY	WILLIMANTIC	CT	22	947,511	419
408875	31390	SI	URBAN TRUST BANK	LAKE MARY	FL	25	613,045	499
384278	31313	SI	FIRST FEDERAL BANK OF FLORIDA	LAKE CITY	FL	19	973,334	1,662
543570	45826	SI	ATLANTIC COAST BANK	JACKSONVILLE	FL	12	779,625	-1,577
3619739	35200	SI	FIRSTATLANTIC BANK	JACKSONVILLE	FL	6	329,427	361
2992501	35027	SI	CORNERSTONEBANK	ATLANTA	GA	3	409,390	-5,620
88231	16418	SI	BANKSOUTH	GREENSBORO	GA	3	339,949	1,406
791045	20594	SI	LIBERTY BANK, F.S.B.	WEST DES MOINES	IA	29	847,283	2,801
550635	22874	SI	HICKORY POINT BANK AND TRUST, FSB	DECATUR	IL	9	635,621	1,032
687474	28211	SI	JACKSONVILLE SAVINGS BANK	JACKSONVILLE	IL	6	308,086	954
3971	28865	SI	MIDCOUNTRY BANK	MARION	IL	31	666,667	772
116871	30330	SI	FIRST CLOVER LEAF BANK, FSB	EDWARDSVILLE	IL	4	553,494	993
88772	29620	SI	UNITED COMMUNITY BANK	LAWRENCEBURG	IN	8	483,233	509
152646	11990	SI	LAFAYETTE SAVINGS BANK, FEDERAL SAVINGS BANK	LAFAYETTE	IN	5	366,506	631
228279	29839	SI	CROSSROADS BANK	WABASH	IN	5	329,821	745
257578	31516	SI	FIRST FEDERAL SAVINGS BANK	ROCHESTER	IN	6	339,544	553
