List of Banks in Peer Group -- 103 Insured savings banks having assets between $100 million and $300 million

Reporting Period End Date	09/30/2011
Number of Banks in Peer Group	117

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
113003	18227	SI	STAFFORD SAVINGS BANK	STAFFORD SPRINGS	CT	3	206,665	1,630
961400	17262	SI	ESSEX SAVINGS BANK	ESSEX	CT	5	294,589	1,494
890603	18223	SI	COLLINSVILLE SAVINGS SOCIETY	COLLINSVILLE	CT	2	153,952	-119
822408	18209	SI	LITCHFIELD BANCORP	LITCHFIELD	CT	5	212,956	399
820301	18237	SI	JEWETT CITY SAVINGS BANK	JEWETT CITY	CT	5	244,648	672
883137	18149	SI	HARBOR COMMUNITY BANK	INDIANTOWN	FL	6	142,596	579
2140348	55130	SI	ALLIED FIRST BANK, SB	OSWEGO	IL	1	151,328	-4,812
899370	28938	SI	HARVARD SAVINGS BANK	HARVARD	IL	2	168,113	-10
790271	29227	SI	WASHINGTON SAVINGS BANK	EFFINGHAM	IL	2	243,223	978
708379	28925	SI	SECURITY SAVINGS BANK	MONMOUTH	IL	2	169,947	613
446877	30864	SI	MCHENRY SAVINGS BANK	MCHENRY	IL	5	278,532	-1,106
447070	28747	SI	HOYNE SAVINGS BANK	CHICAGO	IL	4	299,055	-314
817477	29121	SI	UNION SAVINGS BANK	FREEPORT	IL	5	165,515	294
857576	28151	SI	WEST TOWN SAVINGS BANK	CICERO	IL	2	107,952	248
441078	30819	SI	MARION COUNTY SAVINGS BANK	SALEM	IL	1	119,174	586
253440	17524	SI	CAPAHA BANK SB	TAMMS	IL	6	177,116	745
218878	27723	SI	SECURITY BANK, S.B.	SPRINGFIELD	IL	4	164,895	-82
697147	17736	SI	TERRE HAUTE SAVINGS BANK	TERRE HAUTE	IN	7	289,210	595
577472	28807	SI	WEST END BANK, S. B.	RICHMOND	IN	4	216,742	542
841472	27742	SI	MUTUAL SAVINGS BANK	FRANKLIN	IN	6	120,367	241
