List of Banks in Peer Group -- 103M Mutually-owned insured savings banks having assets between $100 million and $300 million

Reporting Period End Date	12/31/2015
Number of Banks in Peer Group	117

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
229070	31406	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF SAN RAFAEL	SAN RAFAEL	CA	5	180,136	640
388874	30388	SI	GUNNISON SAVINGS AND LOAN ASSOCIATION	GUNNISON	CO	2	105,063	563
945071	28208	SI	SAN LUIS VALLEY FEDERAL BANK	ALAMOSA	CO	3	252,821	1,786
820301	18237	SI	JEWETT CITY SAVINGS BANK	JEWETT CITY	CT	5	251,400	1,052
822408	18209	SI	LITCHFIELD BANCORP	LITCHFIELD	CT	5	218,883	850
113003	18227	SI	STAFFORD SAVINGS BANK	STAFFORD SPRINGS	CT	3	223,852	2,825
126375	29772	SI	VIDALIA FEDERAL SAVINGS BANK	VIDALIA	GA	2	227,976	435
67870	29331	SI	THOMAS COUNTY FEDERAL SAVINGS & LOAN ASSOCIATION	THOMASVILLE	GA	1	249,628	-1,867
321273	29510	SI	NEWTON FEDERAL BANK	COVINGTON	GA	3	223,828	1,456
828174	29164	SI	FIRST FEDERAL SAVINGS & LOAN ASSOCIATION OF VALDOSTA	VALDOSTA	GA	3	163,037	250
910873	27993	SI	PROSPECT FEDERAL SAVINGS BANK	WORTH	IL	4	245,251	-850
649874	28068	SI	ROYAL SAVINGS BANK	CHICAGO	IL	4	164,044	6,414
656779	27767	SI	UNION FEDERAL SAVINGS AND LOAN ASSOCIATION	KEWANEE	IL	5	106,223	18
658474	28103	SI	COLLINSVILLE BUILDING AND LOAN ASSOCIATION	COLLINSVILLE	IL	2	120,424	708
708379	28925	SI	SECURITY SAVINGS BANK	MONMOUTH	IL	2	180,765	713
324975	29535	SI	DEWITT SAVINGS BANK	CLINTON	IL	2	102,482	445
305077	29384	SI	PERU FEDERAL SAVINGS BANK	PERU	IL	2	139,904	794
399973	29645	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF CENTRAL ILLINOIS	SHELBYVILLE	IL	3	102,914	708
441078	30819	SI	MARION COUNTY SAVINGS BANK	SALEM	IL	2	161,181	509
467470	28425	SI	CENTRAL FEDERAL SAVINGS AND LOAN ASSOCIATION	CICERO	IL	3	167,982	-81
615879	27910	SI	CENTRAL FEDERAL SAVINGS AND LOAN ASSOCIATION	CHICAGO	IL	5	99,929	349
