List of Banks in Peer Group -- 103S Stock-owned insured savings banks having assets between $100 million and $300 million

Reporting Period End Date	09/30/2018
Number of Banks in Peer Group	89

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
934673	30167	SI	CULLMAN SAVINGS BANK	CULLMAN	AL	4	291,169	3,015
814074	31127	SI	FIRST FEDERAL BANK, A FSB	TUSCALOOSA	AL	3	116,085	643
780562	25648	SI	INTERNATIONAL CITY BANK	LONG BEACH	CA	2	237,323	5,107
1493319	33103	SI	GATEWAY BANK, F.S.B.	OAKLAND	CA	1	117,145	-713
2921659	35164	SI	CAPITAL BANK AND TRUST COMPANY	IRVINE	CA	1	180,580	32,476
3148033	57531	SI	GRAND MOUNTAIN BANK, FSB	GRANBY	CO	4	109,638	1,337
206473	30707	SI	EQUITABLE SAVINGS AND LOAN ASSOCIATION	STERLING	CO	10	164,300	677
890603	18223	SI	COLLINSVILLE SAVINGS SOCIETY	COLLINSVILLE	CT	2	164,212	573
221775	31823	SI	INTERAMERICAN BANK, A FEDERAL SAVINGS BANK	MIAMI	FL	5	203,596	490
2992501	35027	SI	CORNERSTONE BANK	ATLANTA	GA	3	250,304	749
381932	16246	SI	COMMERCIAL BANKING COMPANY	VALDOSTA	GA	5	230,133	1,934
364270	30692	SI	BANKPACIFIC, LTD.	HAGATNA	GU	6	141,173	445
203043	4432	SI	MIDWEST HERITAGE BANK, FSB	WEST DES MOINES	IA	7	265,742	3,166
250476	29399	SI	GN BANK	CHICAGO	IL	2	138,339	-70
346771	28445	SI	FIRST FEDERAL SAVINGS BANK OF CHAMPAIGN-URBANA	CHAMPAIGN	IL	2	172,993	735
446877	30864	SI	MCHENRY SAVINGS BANK	MCHENRY	IL	1	216,350	-1,063
820477	29980	SI	MIDLAND FEDERAL SAVINGS AND LOAN ASSOCIATION	BRIDGEVIEW	IL	4	116,897	-80
817477	29121	SI	UNION SAVINGS BANK	FREEPORT	IL	5	157,901	626
775773	27683	SI	NORTH SHORE TRUST AND SAVINGS	WAUKEGAN	IL	3	226,173	423
671370	27831	SI	A J SMITH FEDERAL SAVINGS BANK	MIDLOTHIAN	IL	3	189,830	537
682479	27909	SI	BEST HOMETOWN BANK	COLLINSVILLE	IL	2	109,107	-775
725077	27989	SI	OTTAWA SAVINGS BANK	OTTAWA	IL	3	266,513	1,485
738572	29926	SI	DEARBORN SAVINGS BANK	LAWRENCEBURG	IN	1	115,466	766
857875	30133	SI	MID-SOUTHERN SAVINGS BANK, F.S.B.	SALEM	IN	3	189,842	945
148171	28735	SI	GOLDEN BELT BANK, FSA	HAYS	KS	3	236,685	2,549
50872	29313	SI	WINFIRST BANK	WINCHESTER	KY	2	133,034	1,337
741974	29937	SI	FIRST FEDERAL SAVINGS BANK OF KENTUCKY	FRANKFORT	KY	6	239,945	367
3153345	57277	SI	VICTORY COMMUNITY BANK	FORT MITCHELL	KY	3	169,499	4,032
194570	29577	SI	HERITAGE BANK OF SAINT TAMMANY	COVINGTON	LA	3	113,091	465
251978	32459	SI	HOMELAND FEDERAL SAVINGS BANK	COLUMBIA	LA	4	264,927	2,922
527178	29679	SI	ANTHEM BANK & TRUST	PLAQUEMINE	LA	5	144,228	385
541307	27015	SI	ADMIRALS BANK	BOSTON	MA	2	271,908	-3,550
61476	26590	SI	PILGRIM BANK	COHASSET	MA	4	263,424	1,406
2914268	35206	SI	FIDELITY PERSONAL TRUST COMPANY, F.S.B.	BOSTON	MA	2	99,681	36,302
242976	32527	SI	BAYVANGUARD BANK	SPARROWS POINT	MD	4	166,019	417
