List of Banks in Peer Group -- 104 Insured savings banks having assets less than $100 million

Reporting Period End Date	03/31/2022
Number of Banks in Peer Group	103

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
2059990	33818	SI	PRIORITY BANK	FAYETTEVILLE	AR	3	94,192	318
401072	28860	SI	CENTURY SAVINGS AND LOAN ASSOCIATION	TRINIDAD	CO	1	99,680	-2
2881445	35394	SI	MASSMUTUAL TRUST COMPANY, FSB, THE	WINDSOR	CT	1	90,227	1,041
1416279	32957	SI	PRUDENTIAL BANK AND TRUST, FSB	HARTFORD	CT	1	18,236	2,322
2909330	35267	SI	AIG FEDERAL SAVINGS BANK	WILMINGTON	DE	1	39,491	604
3219269	57470	SI	MEMBERS TRUST COMPANY	TAMPA	FL	1	40,484	317
615776	29065	SI	ELBERTON FEDERAL SAVINGS & LOAN ASSOCIATION	ELBERTON	GA	1	28,661	-39
277679	29501	SI	INTERSTATE FEDERAL SAVINGS AND LOAN ASSOCIATION	MCGREGOR	IA	1	7,883	-17
250476	29399	SI	GN BANK	CHICAGO	IL	2	83,303	-84
253776	30241	SI	FIRST SAVANNA SAVINGS BANK	SAVANNA	IL	1	9,981	-71
235174	28302	SI	MUTUAL FEDERAL BANK	CHICAGO	IL	1	93,736	-205
449935	35602	SI	COUNTRY TRUST BANK	BLOOMINGTON	IL	1	29,228	1,753
490179	28611	SI	PULASKI SAVINGS BANK	CHICAGO	IL	1	49,600	849
994770	30152	SI	MILFORD BUILDING AND LOAN ASSOCIATION, SB	MILFORD	IL	1	31,936	43
415770	30615	SI	TEMPO BANK	TRENTON	IL	2	89,864	-47
2949970	35393	SI	UNITED TRUST BANK	PALOS HEIGHTS	IL	1	78,427	546
343770	29677	SI	NASHVILLE SAVINGS BANK	NASHVILLE	IL	1	89,208	109
322476	30618	SI	WABASH SAVINGS BANK	MOUNT CARMEL	IL	1	10,262	-86
285777	29532	SI	NOKOMIS SAVINGS BANK	NOKOMIS	IL	1	33,106	12
627377	28723	SI	FIRST SAVINGS BANK	DANVILLE	IL	1	41,015	35
482370	30656	SI	NORTH COUNTY SAVINGS BANK	RED BUD	IL	3	67,796	48
375379	29449	SI	NORTH SIDE FEDERAL SAVINGS AND LOAN ASSOCIATION OF CHICAGO	CHICAGO	IL	1	49,047	-44
835378	30043	SI	BEARDSTOWN SAVINGS, S.B.	BEARDSTOWN	IL	2	71,630	96
823076	29986	SI	GUARDIAN SAVINGS BANK	GRANITE CITY	IL	1	37,995	53
735973	29910	SI	SCOTTSBURG BUILDING AND LOAN ASSOCIATION	SCOTTSBURG	IN	1	81,980	107
654579	30065	SI	PEOPLES COMMUNITY BANK SB OF MONTICELLO, INDIANA	MONTICELLO	IN	1	35,039	71
382274	28722	SI	KENTLAND FEDERAL SAVINGS AND LOAN ASSOCIATION	KENTLAND	IN	1	3,188	-15
3029253	57109	SI	EVERENCE TRUST COMPANY	GOSHEN	IN	1	10,886	588
991078	30128	SI	BOONVILLE FEDERAL SAVINGS BANK	BOONVILLE	IN	1	62,187	40
110972	29710	SI	FIRST FEDERAL SAVINGS BANK OF WASHINGTON	WASHINGTON	IN	1	76,266	2
120476	28507	SI	ARGENTINE FEDERAL SAVINGS	KANSAS CITY	KS	2	62,275	33
987576	29857	SI	LIBERTY SAVINGS ASSOCIATION, FSA, THE	FORT SCOTT	KS	1	32,536	23
765877	28246	SI	HOME SAVINGS BANK	CHANUTE	KS	1	87,911	94
831875	31197	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION	HAZARD	KY	1	86,296	214
673477	27841	SI	CITIZENS FEDERAL SAVINGS AND LOAN ASSOCIATION OF COVINGTON	COVINGTON	KY	1	41,915	54
33370	31723	SI	HOME SAVINGS BANK, FSB	LUDLOW	KY	1	26,288	-45
219679	29774	SI	CARROLLTON FEDERAL BANK	CARROLLTON	KY	1	39,583	41
411174	31409	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION	MOREHEAD	KY	1	35,950	6
617079	31090	SI	BLUE GRASS FEDERAL SAVINGS AND LOAN ASSOCIATION	PARIS	KY	1	43,226	36
114774	30332	SI	ABBEVILLE BUILDING AND LOAN, A STATE CHARTERED SAVINGS BANK	ABBEVILLE	LA	1	64,011	213
