List of Banks in Peer Group -- 104M Mutually-owned insured savings banks having assets less than $100 million

Reporting Period End Date	03/31/2006
Number of Banks in Peer Group	65

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
253776	30241	SI	FIRST SAVANNA SAVINGS BANK	SAVANNA	IL	1	11,807	0
254670	29416	SI	COLUMBUS SAVINGS BANK	CHICAGO	IL	1	18,075	1
322476	30618	SI	WABASH SAVINGS BANK	MOUNT CARMEL	IL	1	11,065	0
324975	29535	SI	DEWITT SAVINGS BANK	CLINTON	IL	2	75,152	139
343770	29677	SI	NASHVILLE SAVINGS BANK	NASHVILLE	IL	1	29,805	59
344674	28427	SI	MORRIS BUILDING AND LOAN, S.B.	MORRIS	IL	1	39,624	-47
285777	29532	SI	NOKOMIS SAVINGS BANK	NOKOMIS	IL	1	27,829	43
441078	30819	SI	MARION COUNTY SAVINGS BANK	SALEM	IL	1	85,446	80
482370	30656	SI	NORTH COUNTY SAVINGS BANK	RED BUD	IL	3	29,399	32
490179	28611	SI	PULASKI SAVINGS BANK	CHICAGO	IL	1	43,183	-5
593977	30568	SI	SOUTH END SAVINGS, SB	HOMEWOOD	IL	1	34,431	-30
627377	28723	SI	FIRST SAVINGS BANK	DANVILLE	IL	1	35,777	56
776275	27685	SI	FLORA SAVINGS BANK	FLORA	IL	1	26,106	42
835378	30043	SI	BEARDSTOWN SAVINGS, S.B.	BEARDSTOWN	IL	2	47,836	51
873679	31004	SI	TWIN OAKS SAVINGS BANK	MARSEILLES	IL	2	57,405	22
606073	29816	SI	GRIFFITH SAVINGS BANK	GRIFFITH	IN	1	92,815	202
114774	30332	SI	ABBEVILLE BUILDING AND LOAN, A STATE CHARTERED SAVINGS BANK	ABBEVILLE	LA	1	30,497	126
164975	26513	SI	STOUGHTON CO-OPERATIVE BANK	STOUGHTON	MA	2	73,906	67
198103	90273	SI	GRANITE SAVINGS BANK	ROCKPORT	MA	1	55,290	90
266879	26556	SI	COLONIAL CO-OPERATIVE BANK	GARDNER	MA	3	71,603	61
279673	26600	SI	HOLBROOK CO-OPERATIVE BANK	HOLBROOK	MA	1	93,271	174
875909	90240	SI	MERRIMAC SAVINGS BANK	MERRIMAC	MA	2	50,565	1
931270	26567	SI	NORTH CAMBRIDGE CO-OPERATIVE BANK	CAMBRIDGE	MA	1	84,746	166
948278	26576	SI	WRENTHAM CO-OPERATIVE BANK	WRENTHAM	MA	3	94,056	183
508270	27567	SI	GLEN BURNIE MUTUAL SAVINGS BANK	GLEN BURNIE	MD	1	60,860	90
132778	28667	SI	HOMESTEAD SAVINGS BANK	ALBION	MI	3	69,694	27
971472	27995	SI	CLEVELAND COMMUNITY BANK, S.S.B.	CLEVELAND	MS	1	27,002	-59
971379	31345	SI	HERTFORD SAVINGS BANK, SSB	HERTFORD	NC	1	14,201	11
800479	29061	SI	TARBORO SAVINGS BANK, SSB	TARBORO	NC	1	28,239	25
258379	32348	SI	TAYLORSVILLE SAVINGS BANK, SSB	TAYLORSVILLE	NC	3	83,515	98
247476	28314	SI	ROANOKE RAPIDS SAVINGS BANK, SSB	ROANOKE RAPIDS	NC	1	58,803	-49
518073	32362	SI	GIBSONVILLE COMMUNITY BANK	GIBSONVILLE	NC	1	18,833	13
563774	29485	SI	ROANOKE VALLEY SAVINGS BANK, SSB	ROANOKE RAPIDS	NC	1	42,175	65
444677	27897	SI	BLACK MOUNTAIN SAVINGS BANK, SSB	BLACK MOUNTAIN	NC	1	28,711	28
360777	31266	SI	JACKSON SAVINGS BANK, SSB	SYLVA	NC	2	27,033	58
930871	28963	SI	LINCOLN PARK SAVINGS BANK	LINCOLN PARK	NJ	1	91,235	80
819172	29975	SI	PEOPLES SAVINGS BANK, THE	URBANA	OH	2	80,701	55
920274	30045	SI	HICKSVILLE BUILDING LOAN & SAVINGS BANK	HICKSVILLE	OH	2	73,860	25
493077	30744	SI	BELPRE SAVINGS BANK	BELPRE	OH	2	60,244	27
666273	27808	SI	BRAMBLE SAVINGS BANK	MILFORD	OH	3	55,111	46
320070	28555	SI	VALLEY CENTRAL SAVINGS BANK	READING	OH	1	79,164	251
203575	28677	SI	CONNEAUT SAVINGS BANK, THE	CONNEAUT	OH	2	72,882	106
18377	34440	SI	BALLY SAVINGS BANK	BALLY	PA	1	24,474	15
19972	34711	SI	FARMERS BUILDING AND SAVINGS BANK	ROCHESTER	PA	1	47,491	122
218775	27033	SI	UNITED-AMERICAN SAVINGS BANK, THE	PITTSBURGH	PA	1	43,727	6
277277	30431	SI	SLOVAK SAVINGS BANK	PITTSBURGH	PA	1	53,160	94
572776	28770	SI	CROYDON SAVINGS BANK	CROYDON	PA	1	9,552	5
364971	31280	SI	NESQUEHONING SAVINGS BANK	NESQUEHONING	PA	2	28,109	57
404774	28416	SI	KEYSTONE STATE SAVINGS BANK	SHARPSBURG	PA	1	24,357	17
359070	35353	SI	METROPOLITAN SAVINGS BANK	PITTSBURGH	PA	1	14,295	13
725376	29967	SI	UNION BUILDING AND LOAN SAVINGS BANK	WEST BRIDGEWATER	PA	1	34,278	60
757779	28186	SI	MIFFLIN COUNTY SAVINGS BANK	LEWISTOWN	PA	4	85,289	174
815277	35497	SI	QUAINT OAK SAVINGS BANK	SOUTHAMPTON	PA	1	57,651	135
646471	30031	SI	HUNTINGDON SAVINGS BANK	HUNTINGDON	PA	1	11,814	14
885579	33802	SI	TIOGA-FRANKLIN SAVINGS BANK	PHILADELPHIA	PA	1	18,038	-59
821278	57125	SI	CHELTEN HILLS SAVINGS BANK	ABINGTON	PA	1	24,856	22
1225798	27385	SI	PORT RICHMOND SAVINGS	PHILADELPHIA	PA	1	49,574	195
416272	30619	SI	ABBEVILLE SAVINGS AND LOAN, SSB	ABBEVILLE	SC	1	77,766	168
3344536	58014	SI	INDEPENDENT BANK OF AUSTIN, SSB	LAKEWAY	TX	2	62,165	166
765774	31123	SI	OLYMPIC SAVINGS SSB	REFUGIO	TX	1	17,969	36
411576	30585	SI	MAYVILLE SAVINGS BANK	MAYVILLE	WI	1	37,049	-4
575375	28790	SI	SUPERIOR SAVINGS BANK	SUPERIOR	WI	3	66,302	109
465672	30516	SI	TOMAHAWK COMMUNITY BANK S.S.B.	TOMAHAWK	WI	1	77,668	116
276775	30426	SI	MILTON SAVINGS BANK	MILTON	WI	1	17,535	-21
208972	29691	SI	KEYSAVINGS BANK	WISCONSIN RAPIDS	WI	1	71,840	47
