List of Banks in Peer Group -- 104S Stock-owned insured savings banks having assets less than $100 million

Reporting Period End Date	09/30/2022
Number of Banks in Peer Group	29

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
2059990	33818	SI	PRIORITY BANK	FAYETTEVILLE	AR	3	92,763	1,759
1416279	32957	SI	PRUDENTIAL BANK AND TRUST, FSB	HARTFORD	CT	1	22,187	3,188
2881445	35394	SI	MASSMUTUAL TRUST COMPANY, FSB, THE	WINDSOR	CT	1	90,915	2,934
2909330	35267	SI	AIG FEDERAL SAVINGS BANK	WILMINGTON	DE	1	40,316	2,130
3219269	57470	SI	MEMBERS TRUST COMPANY	TAMPA	FL	1	39,319	662
2949970	35393	SI	UNITED TRUST BANK	PALOS HEIGHTS	IL	1	88,963	1,764
250476	29399	SI	GN BANK	CHICAGO	IL	2	79,325	-258
449935	35602	SI	COUNTRY TRUST BANK	BLOOMINGTON	IL	1	29,066	4,983
3029253	57109	SI	EVERENCE TRUST COMPANY	GOSHEN	IN	1	12,131	744
735973	29910	SI	SCOTTSBURG BUILDING AND LOAN ASSOCIATION	SCOTTSBURG	IN	1	82,297	199
617079	31090	SI	BLUE GRASS FEDERAL SAVINGS AND LOAN ASSOCIATION	PARIS	KY	1	45,352	128
831875	31197	SI	FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION	HAZARD	KY	1	84,190	614
123374	30339	SI	BEAUREGARD FEDERAL SAVINGS BANK	DERIDDER	LA	2	76,079	542
2914268	35206	SI	FIDELITY PERSONAL TRUST COMPANY, F.S.B.	BOSTON	MA	2	64,081	1,069
229173	28288	SI	AUBURN SAVINGS BANK, FSB	AUBURN	ME	2	92,468	72
291376	30492	SI	JACKSON FEDERAL SAVINGS & LOAN ASSOCIATION	JACKSON	MN	1	36,889	65
644954	35510	SI	DAVIDSON TRUST CO.	GREAT FALLS	MT	1	9,901	1,006
304575	29379	SI	SIDNEY FEDERAL SAVINGS AND LOAN ASSOCIATION	SIDNEY	NE	1	18,279	7
516873	28805	SI	SUNNYSIDE FEDERAL SAVINGS AND LOAN ASSOCIATION OF IRVINGTON	IRVINGTON	NY	1	95,445	-76
402873	28703	SI	VERSAILLES SAVINGS AND LOAN COMPANY, THE	VERSAILLES	OH	1	65,455	297
2107181	33831	SI	FDS BANK	MASON	OH	1	89,931	470,291
835079	28063	SI	COVINGTON SAVINGS AND LOAN ASSOCIATION, THE	COVINGTON	OH	3	89,107	315
534073	28463	SI	LIBERTY BANK	IRONTON	OH	2	62,052	154
875879	28217	SI	WARSAW FEDERAL SAVINGS AND LOAN ASSOCIATION	CINCINNATI	OH	2	61,737	-644
440978	29486	SI	KINGSTREE FEDERAL SAVINGS AND LOAN ASSOCIATION	KINGSTREE	SC	1	39,195	162
715470	31972	SI	FIRST WESTERN FEDERAL SAVINGS BANK	RAPID CITY	SD	1	63,808	1,415
660879	32018	SI	ANGELINA SAVINGS BANK, SSB	LUFKIN	TX	1	79,512	354
104971	29685	SI	MARTINSVILLE FIRST SAVINGS BANK	MARTINSVILLE	VA	1	36,501	153
2745529	34799	SI	THRIVENT TRUST CO.	APPLETON	WI	1	22,579	7,968
