List of Banks in Peer Group -- 11 Insured commercial banks having assets between $50 million and $100 million, with 3 or more full service banking offices and not located in a metropolitan statistical area

Reporting Period End Date	03/31/2008
Number of Banks in Peer Group	306

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
250430	21050	NM	FIRST STATE BANK OF THE SOUTH, INC.	SULLIGENT	AL	5	90,373	94
253730	9615	NM	SWEET WATER STATE BANK	SWEET WATER	AL	3	66,081	301
291330	1744	NM	FIRST BANK	WADLEY	AL	4	67,112	422
384335	20972	NM	HORIZON BANK	FYFFE	AL	3	92,783	214
386432	20429	NM	LIBERTY BANK	GERALDINE	AL	4	92,523	231
437138	24307	NM	FIRST BANK OF THE SOUTH	RAINSVILLE	AL	3	79,288	164
522034	17975	NM	COMMERCIAL BANK OF OZARK, THE	OZARK	AL	3	71,754	224
1897168	33519	NM	FIRST TUSKEGEE BANK	TUSKEGEE	AL	3	83,766	84
1474309	32968	NM	COMMUNITY BANK & TRUST-ALABAMA	UNION SPRINGS	AL	6	78,968	119
1879043	33471	NM	GREERS FERRY LAKE STATE BANK	HEBER SPRINGS	AR	4	60,961	130
596642	5629	NM	HOMEBANK OF ARKANSAS	PORTLAND	AR	5	63,620	85
629148	105	NM	BANK OF CAVE CITY	CAVE CITY	AR	4	97,282	165
712648	12531	NM	PEOPLES BANK, THE	MAGNOLIA	AR	4	93,761	301
314444	1028	NM	FORDYCE BANK & TRUST CO.	FORDYCE	AR	4	99,153	337
101345	8727	NM	CITIZENS STATE BANK	BALD KNOB	AR	3	68,357	116
98351	1779	NM	CITIZENS STATE BANK OF OURAY, THE	OURAY	CO	4	71,796	412
187451	9216	NM	KIT CARSON STATE BANK	KIT CARSON	CO	3	53,844	-59
247551	3017	SM	HIGH PLAINS BANK	FLAGLER	CO	4	87,197	441
387055	1778	NM	STATE BANK, THE	LA JUNTA	CO	3	91,800	127
444556	3031	N	FIRST NATIONAL BANK	JULESBURG	CO	4	91,116	356
1008209	2496	N	NATIONAL IRON BANK, THE	SALISBURY	CT	4	95,060	110
535931	16396	NM	LAFAYETTE STATE BANK	MAYO	FL	3	66,034	256
715032	15216	NM	PEOPLES BANK	LYONS	GA	3	59,625	160
695732	19753	NM	CITIZENS STATE BANK	KINGSLAND	GA	3	66,215	102
776734	5691	NM	FARMERS STATE BANK	LUMPKIN	GA	3	58,254	362
986935	155	NM	BANK OF ALAPAHA	ALAPAHA	GA	4	94,039	144
280138	21526	NM	WEST CENTRAL GEORGIA BANK	THOMASTON	GA	3	92,035	361
169233	19792	NM	COLONY BANK OF DODGE COUNTY	EASTMAN	GA	3	85,077	285
1015832	15813	NM	BANK OF EARLY	BLAKELY	GA	3	82,566	227
180443	17347	SM	IOWA PRAIRIE BANK	BRUNSVILLE	IA	3	52,701	164
187947	14521	SM	BANK IOWA	CLARINDA	IA	4	99,946	494
180041	14783	NM	PATRIOT BANK	BROOKLYN	IA	6	96,318	133
208440	8760	NM	FARMERS STATE BANK	ALGONA	IA	3	71,726	221
116741	14247	NM	UNITED BANK AND TRUST COMPANY	HAMPTON	IA	4	98,919	267
137643	9105	NM	WEST IOWA BANK	WEST BEND	IA	4	77,685	229
276645	26944	SM	AMERICAN STATE BANK	OSCEOLA	IA	3	97,957	416
247645	8093	NM	FIRST STATE BANK	NORA SPRINGS	IA	6	66,911	145
242949	4482	N	FIRST NEWTON NATIONAL BANK	NEWTON	IA	3	82,646	229
233246	14904	NM	FIRST COMMUNITY BANK	NEWELL	IA	3	54,867	208
403348	5822	NM	CITIZENS STATE BANK	WAUKON	IA	4	73,030	167
425845	235	NM	SECURITY STATE BANK	SUTHERLAND	IA	3	69,788	290
380346	10500	NM	FARMERS SAVINGS BANK	WEVER	IA	3	51,798	101
329149	16547	NM	BANK PLUS	ESTHERVILLE	IA	4	79,506	314
972143	18518	NM	WESTSIDE STATE BANK	WESTSIDE	IA	4	56,687	187
977942	14973	SM	HEDRICK SAVINGS BANK	OTTUMWA	IA	4	66,790	98
924348	15851	NM	SECURITY STATE BANK	INDEPENDENCE	IA	3	76,854	315
952846	14291	SM	IOWA STATE BANK	WAPELLO	IA	4	55,855	151
772240	10114	NM	COMMUNITY STATE BANK	TIPTON	IA	4	83,843	165
774347	14807	NM	FARMERS SAVINGS BANK	COLESBURG	IA	3	89,658	276
734949	17142	NM	SECURITY STATE BANK	HUBBARD	IA	3	50,688	65
750846	15839	NM	SECURITY STATE BANK	ALGONA	IA	3	58,252	129
855648	15320	NM	LAURENS STATE BANK	LAURENS	IA	3	58,311	176
676245	5795	SM	SECURITY SAVINGS BANK	EAGLE GROVE	IA	3	93,218	324
678744	1550	SM	CENTRAL STATE BANK	ELKADER	IA	4	92,803	439
604547	14809	NM	HEARTLAND BANK	SOMERS	IA	4	78,517	287
616540	14208	SM	SECURITY SAVINGS BANK	GOWRIE	IA	6	74,942	143
640442	8752	NM	FIRST TRUST AND SAVINGS BANK	WHEATLAND	IA	6	93,289	225
646042	8510	NM	FARMERS TRUST & SAVINGS BANK	EARLING	IA	3	72,726	291
651149	16151	SM	STATE BANK	SPENCER	IA	3	53,086	163
537243	5797	NM	FARMERS STATE BANK	NORTHWOOD	IA	7	98,310	260
588348	13735	NM	SAVINGS BANK	PRIMGHAR	IA	3	76,245	179
475046	9293	NM	GATEWAY STATE BANK	CLINTON	IA	3	97,598	97
476342	939	SM	CITIZENS FIRST STATE BANK OF WALNUT	WALNUT	IL	4	66,453	-35
484141	13380	NM	COMMUNITY TRUST BANK	IRVINGTON	IL	3	73,770	185
597041	5753	NM	SAVANNA-THOMSON STATE BANK	THOMSON	IL	3	78,330	-392
593940	16413	NM	BANK OF STRONGHURST	STRONGHURST	IL	4	66,094	53
659734	3598	N	FIRST NATIONAL BANK OF ARCOLA, THE	ARCOLA	IL	3	96,581	221
640143	10464	NM	FEDERATED BANK	ONARGA	IL	4	61,994	107
698546	10799	NM	FIRST STATE BANK OF CAMPBELL HILL	CAMPBELL HILL	IL	3	81,725	176
732945	15302	NM	ROCK RIVER BANK OF OREGON	OREGON	IL	4	93,026	282
760434	10473	NM	IPAVA STATE BANK	IPAVA	IL	4	77,250	221
912578	29224	SM	HERITAGE STATE BANK	LAWRENCEVILLE	IL	3	76,015	452
980438	11669	NM	FIRST STATE BANK OF FORREST	FORREST	IL	3	61,406	300
371942	11719	NM	FARMERS BANK OF LIBERTY, THE	LIBERTY	IL	3	61,770	186
372444	3808	N	LITCHFIELD NATIONAL BANK, THE	LITCHFIELD	IL	3	82,383	171
443634	8491	NM	SCOTT STATE BANK	BETHANY	IL	3	68,132	276
270148	19689	NM	STATE BANK OF WHITTINGTON	BENTON	IL	4	73,640	221
303747	3818	NM	FIRST BANK AND TRUST COMPANY OF MURPHYSBORO, THE	MURPHYSBORO	IL	3	54,532	79
35842	10868	SM	PREMIER BANK OF JACKSONVILLE	JACKSONVILLE	IL	4	93,337	92
230740	11705	NM	FREEDOM BANK	STERLING	IL	3	82,460	-45
231279	30220	N	CHESTER NATIONAL BANK	CHESTER	IL	3	80,492	62
180845	10788	SM	ILLINI STATE BANK	OGLESBY	IL	3	70,687	167
159243	13789	NM	MERIDIAN BANK	ELDRED	IL	3	52,986	-706
