List of Banks in Peer Group -- 13 Insured commercial banks having assets between $50 million and $100 million, with 2 or fewer full service banking offices and not located in a metropolitan statistical area

Reporting Period End Date	03/31/2024
Number of Banks in Peer Group	251

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
42037	70	NM	PEOPLES EXCHANGE BANK	MONROEVILLE	AL	1	98,581	58
496434	2794	NM	DOZIER BANK	DOZIER	AL	1	56,161	90
560438	49	NM	BANK OF EVERGREEN	EVERGREEN	AL	1	73,712	59
1474309	32968	NM	LIFESTEPS BANK & TRUST	UNION SPRINGS	AL	1	62,956	-429
3254297	57640	NM	BANK OF WALKER COUNTY	JASPER	AL	2	92,954	247
977045	93	NM	RIVERSIDE BANK	SPARKMAN	AR	2	61,061	220
741648	16395	NM	SECURITY BANK	STEPHENS	AR	1	63,287	153
476445	15547	SM	BANK OF LAKE VILLAGE	LAKE VILLAGE	AR	2	83,612	456
311144	16282	NM	BANK OF BEARDEN	BEARDEN	AR	1	64,573	350
399357	11261	NM	MCCLAVE STATE BANK	MC CLAVE	CO	1	64,560	250
587752	3047	N	FIRST COLORADO NATIONAL BANK	PAONIA	CO	2	81,340	183
89135	18136	N	FIRST NATIONAL BANK OF WAUCHULA	WAUCHULA	FL	1	90,060	102
102333	10074	NM	APEX BANKING COMPANY OF GEORGIA	IRWINTON	GA	1	56,529	-150
7634	15904	NM	FOUR COUNTY BANK, THE	ALLENTOWN	GA	1	85,840	395
37	10057	NM	BANK OF HANCOCK COUNTY	SPARTA	GA	1	75,626	58
140634	2157	NM	FIRST STATE BANK OF RANDOLPH COUNTY	CUTHBERT	GA	2	90,402	42
176437	5699	NM	BANK OF WRIGHTSVILLE	WRIGHTSVILLE	GA	1	86,918	378
598132	19680	NM	SECURITY STATE BANK, THE	MCRAE-HELENA	GA	1	55,836	287
610539	5686	NM	BANK OF EDISON, THE	EDISON	GA	1	75,521	242
649632	16609	NM	ROCHELLE STATE BANK	ROCHELLE	GA	1	64,610	-105
618647	4457	SM	FIRST HERITAGE BANK	SHENANDOAH	IA	2	62,088	132
700140	1860	NM	MONTEZUMA STATE BANK	MONTEZUMA	IA	1	54,294	193
818540	4477	N	FIRST NATIONAL BANK OF MANNING, THE	MANNING	IA	1	79,112	58
821643	11343	NM	ASHTON STATE BANK	ASHTON	IA	1	54,205	137
856542	5792	NM	BREDA SAVINGS BANK	BREDA	IA	1	99,417	355
944748	8503	NM	FARMERS STATE BANK	MARCUS	IA	1	79,484	164
943143	251	NM	FIRST SECURITY BANK	MAPLETON	IA	2	75,934	-32
3285246	57910	NM	FIRST STATE BANK	NASHUA	IA	1	64,122	184
595944	11352	NM	SANBORN SAVINGS BANK	SANBORN	IA	1	84,385	142
550448	13715	NM	STATE BANK, THE	SPIRIT LAKE	IA	2	84,696	115
472045	966	NM	HOME STATE BANK	ROYAL	IA	1	61,458	150
404943	12417	NM	TRI-VALLEY BANK	RANDOLPH	IA	2	81,127	178
286840	8513	NM	STATE SAVINGS BANK	RAKE	IA	1	78,876	328
316934	12121	NM	BUCKLEY STATE BANK	BUCKLEY	IL	1	54,029	-27
333940	3826	N	FIRST NATIONAL BANK OF OKAWVILLE, THE	OKAWVILLE	IL	1	74,117	76
321330	11324	NM	FARMERS AND MERCHANTS STATE BANK OF BUSHNELL	BUSHNELL	IL	2	90,311	322
371849	11715	NM	BANK OF YATES CITY	YATES CITY	IL	2	83,368	187
474245	9273	NM	VILLA GROVE STATE BANK	VILLA GROVE	IL	1	85,441	325
478533	12395	NM	LENA STATE BANK	LENA	IL	1	99,693	205
411240	3827	N	OLD EXCHANGE NATIONAL BANK OF OKAWVILLE, THE	OKAWVILLE	IL	1	81,340	204
413347	10437	NM	FIRST STATE BANK OF OLMSTED	OLMSTED	IL	2	70,415	147
419947	9274	NM	HILL-DODGE BANKING COMPANY, THE	WARSAW	IL	1	54,628	268
489249	3805	SM	KINMUNDY BANK	KINMUNDY	IL	1	66,027	286
122546	3834	N	MIDWEST NATIONAL BANK	SANDOVAL	IL	1	95,589	186
207041	3770	N	FIRST NATIONAL BANK OF BROWNSTOWN, THE	BROWNSTOWN	IL	1	53,549	102
242	3850	SM	FIRST COMMUNITY BANK XENIA-FLORA	XENIA	IL	2	55,546	240
104542	16318	NM	MARSEILLES BANK	MARSEILLES	IL	1	74,943	-70
108746	16198	N	MASON CITY NATIONAL BANK	MASON CITY	IL	1	83,455	234
2811086	34900	NM	PREFERRED BANK	CASEY	IL	2	68,505	51
923949	16344	NM	STATE BANK OF PEARL CITY, THE	PEARL CITY	IL	2	81,111	56
944935	10820	NM	STATE BANK OF INDUSTRY	INDUSTRY	IL	1	60,118	134
830645	11319	NM	LONGVIEW COMMUNITY BANK	MOUNT PULASKI	IL	2	96,082	205
822631	19796	NM	MIDLAND COMMUNITY BANK	KINCAID	IL	2	69,860	145
771047	931	NM	CITIZENS STATE BANK OF MILFORD	MILFORD	IL	1	59,941	189
775241	19230	N	COMMUNITY NATIONAL BANK IN MONMOUTH	MONMOUTH	IL	1	51,457	87
695947	10883	NM	BANK OF BLUFFS	BLUFFS	IL	2	61,225	98
724940	10469	NM	FARMERS & MERCHANTS BANK OF HUTSONVILLE	HUTSONVILLE	IL	1	52,653	228
50144	14561	NM	STATE BANK OF MEDORA	MEDORA	IN	1	99,775	97
503547	1829	SM	FAIRMOUNT STATE BANK, THE	FAIRMOUNT	IN	1	57,134	63
422059	13957	NM	KANSASLAND BANK	QUINTER	KS	2	56,225	-240
471057	15469	NM	FIRST STATE BANK OF RANSOM, THE	RANSOM	KS	2	50,264	98
358756	13584	NM	TAMPA STATE BANK	TAMPA	KS	2	67,213	58
392152	8108	SM	NEW CENTURY BANK	BELLEVILLE	KS	2	57,298	348
206950	16788	NM	UNION STATE BANK	UNIONTOWN	KS	2	67,559	272
275657	10503	SM	FIRST STATE BANK, THE	NESS CITY	KS	1	85,756	267
354	14083	NM	BISON STATE BANK	BISON	KS	2	69,866	-85
14753	18101	NM	FARMERS STATE BANK OF BUCKLIN, KANSAS, THE	BUCKLIN	KS	1	59,002	205
71859	13959	NM	CBW BANK	WEIR	KS	1	77,720	-174
235950	15237	NM	JOHNSON STATE BANK	JOHNSON	KS	2	95,304	-574
195157	4770	N	ELEVATE BANK, NATIONAL ASSOCIATION	SEDAN	KS	2	51,668	88
197254	4774	N	FIRST NATIONAL BANK OF SPEARVILLE	SPEARVILLE	KS	1	54,413	150
209559	4792	SM	FNB WASHINGTON	WASHINGTON	KS	1	85,910	351
723756	14636	SM	PEOPLES BANK	COLDWATER	KS	1	55,121	83
738657	17607	NM	CITY STATE BANK, THE	FORT SCOTT	KS	2	53,004	144
636753	4654	N	FIRST NATIONAL BANK OF DIGHTON, THE	DIGHTON	KS	1	76,555	243
540850	12139	NM	FORD COUNTY STATE BANK	SPEARVILLE	KS	1	50,992	-20
678557	5830	NM	CITIZENS STATE BANK AND TRUST COMPANY	HIAWATHA	KS	1	97,789	417
844455	13798	N	FIRST NATIONAL BANK IN FREDONIA	FREDONIA	KS	1	95,693	320
871358	9661	SM	BANK OF HOLYROOD, THE	HOLYROOD	KS	1	67,519	388
923350	4668	N	FIRST NATIONAL BANK IN FRANKFORT	FRANKFORT	KS	1	58,927	82
973252	12865	NM	SWEDISH-AMERICAN STATE BANK	COURTLAND	KS	1	61,256	151
2921622	35442	NM	CITIZENS BANK OF CUMBERLAND COUNTY, INC.	BURKESVILLE	KY	1	90,633	456
839817	288	NM	FARMERS & TRADERS BANK OF CAMPTON	CAMPTON	KY	1	70,794	131
835613	8121	NM	SECURITY BANK AND TRUST COMPANY	MAYSVILLE	KY	2	74,903	300
782548	304	NM	CLINTON BANK	CLINTON	KY	1	72,525	79
131717	5838	NM	FARMERS STATE BANK, INC	BOONEVILLE	KY	2	66,465	158
417710	22355	NM	PINNACLE BANK, INC	VANCEBURG	KY	2	51,277	105
