List of Banks in Peer Group -- 14 Insured commercial banks having assets less than $50 million, with 2 or more full service banking offices and located in a metropolitan statistical area

Reporting Period End Date	09/30/2020
Number of Banks in Peer Group	18

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
67254	27010	NM	YOUNG AMERICANS BANK	DENVER	CO	3	21,144	-976
225942	18463	NM	HERITAGE BANK	MARION	IA	3	37,389	50
868844	225	NM	PEOPLES SAVINGS BANK	CRAWFORDSVILLE	IA	2	35,251	220
362043	16094	NM	EXCHANGE STATE BANK, THE	SPRINGVILLE	IA	2	47,924	340
866251	15098	NM	UNION STATE BANK	OLSBURG	KS	2	33,580	-53
1017854	17629	NM	FARMERS STATE BANK OF BLUE MOUND, THE	BLUE MOUND	KS	3	45,714	334
366854	16471	NM	KENDALL STATE BANK	VALLEY FALLS	KS	2	44,649	-7
821559	26755	NM	MINNESOTA FIRST CREDIT AND SAVINGS, INCORPORATED	ROCHESTER	MN	4	26,098	86
108652	5105	N	FIRST NATIONAL BANK OF BUHL, THE	MOUNTAIN IRON	MN	2	28,208	98
322551	1622	NM	FIRST SECURITY BANK	UNION STAR	MO	2	35,665	247
380841	1421	NM	CBC BANK	SAINT PETERS	MO	4	39,012	28
76153	16953	NM	BANK OF CLARKS	CLARKS	NE	2	41,299	240
1008450	8323	NM	COMMUNITY STATE BANK	COLON	NE	2	36,128	86
559179	28663	NM	BROOKVILLE BUILDING AND SAVINGS ASSOCIATION	BROOKVILLE	OH	2	46,958	319
389826	9440	NM	PATASKALA BANKING COMPANY, THE	PATASKALA	OH	3	36,173	21
146056	4051	SM	ALLNATIONS BANK	CALUMET	OK	2	44,900	-100
498456	10704	SM	FIRST STATE BANK	ABILENE	TX	2	48,269	194
460556	3237	N	STATE NATIONAL BANK OF GROOM, THE	GROOM	TX	2	38,125	287
