List of Banks in Peer Group -- 15 Insured commercial banks having assets less than $50 million, with 2 or more full service banking offices and not located in a metropolitan statistical area

Reporting Period End Date	06/30/2012
Number of Banks in Peer Group	159

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
290838	15270	NM	CITIZENS BANK OF VALLEY HEAD, THE	VALLEY HEAD	AL	3	26,762	-454
401447	15810	NM	FARMERS BANK	HAMBURG	AR	2	42,723	319
454340	18987	NM	FIRST STATE BANK	CROSSETT	AR	2	41,636	247
587752	3047	N	FIRST COLORADO NATIONAL BANK	PAONIA	CO	2	45,052	-342
713038	14794	NM	BANK OF JACKSON COUNTY	GRACEVILLE	FL	2	28,648	107
776734	5691	NM	FARMERS STATE BANK	LUMPKIN	GA	3	47,685	-629
894834	13832	NM	TRUST BANK, THE	LENOX	GA	3	30,378	83
959630	16281	NM	BANK OF LUMBER CITY	LUMBER CITY	GA	2	21,245	25
902645	17450	NM	DEFIANCE STATE BANK	DEFIANCE	IA	2	26,175	75
791746	15431	SM	FIRST TRUST & SAVINGS BANK	MARCUS	IA	3	46,375	136
735142	14498	NM	COMMUNITY BANK	ALTON	IA	2	42,075	190
609645	10489	NM	ELGIN STATE BANK	ELGIN	IA	2	22,275	-5
618647	4457	SM	FIRST HERITAGE BANK	SHENANDOAH	IA	2	39,620	263
527749	18448	NM	SECURITY STATE BANK	RADCLIFFE	IA	2	49,420	278
533740	15575	NM	ROLFE STATE BANK	ROLFE	IA	2	44,650	290
410944	8758	NM	CITIZENS BANK	SAC CITY	IA	2	43,349	343
358149	15369	NM	FIRST STATE BANK	SIOUX RAPIDS	IA	2	32,878	154
233442	11317	NM	IUKA STATE BANK, THE	IUKA	IL	2	32,960	141
258146	23244	NM	NORTH ADAMS STATE BANK	URSA	IL	2	34,107	118
413347	10437	NM	FIRST STATE BANK OF OLMSTED	OLMSTED	IL	2	39,980	187
458049	5731	NM	FARMERS STATE BANK OF SUBLETTE	SUBLETTE	IL	2	48,756	-276
242	3850	SM	FIRST COMMUNITY BANK XENIA-FLORA	XENIA	IL	2	36,743	267
102539	920	NM	COMMUNITY BANKS OF SHELBY COUNTY	COWDEN	IL	3	48,269	134
226949	10816	NM	GRAND RIVERS COMMUNITY BANK	GRAND CHAIN	IL	2	18,860	37
472148	10809	NM	FIRST STATE BANK OF VAN ORIN	VAN ORIN	IL	2	41,491	25
575647	12391	NM	STATE BANK OF SAUNEMIN	SAUNEMIN	IL	2	34,564	134
583745	936	N	SUMNER NATIONAL BANK OF SHELDON	SHELDON	IL	2	17,335	35
630041	12098	SM	FIRST STATE BANK OF DONGOLA, THE	DONGOLA	IL	2	21,979	56
