List of Banks in Peer Group -- 16 Insured commercial banks having assets less than $50 million, with 1 full service banking offices and located in a metropolitan statistical area

Reporting Period End Date	12/31/2008
Number of Banks in Peer Group	223

ID RSSD	FDIC Cert.	Class	Name	City	State	No. Offices	Average Assets	Net Income
376237	855	NM	MERCHANTS & FARMERS BANK OF GREENE COUNTY	EUTAW	AL	1	49,329	539
2160654	20024	NM	CENTRAL BANK OF THE SOUTH	ANNISTON	AL	1	5,144	47
913146	17431	N	FIRST NATIONAL BANK OF ALTHEIMER	ALTHEIMER	AR	1	12,960	-993
733540	8730	NM	BANK OF RISON, THE	RISON	AR	1	29,665	676
89162	26839	NM	WELLS FARGO CENTRAL BANK	CALABASAS	CA	1	14,724	2
209362	24211	N	BANK OF WHITTIER, NATIONAL ASSOCIATION	WHITTIER	CA	1	45,379	229
154257	26853	SM	CENTENNIAL BANK	CENTENNIAL	CO	1	43,207	-53
67254	27010	NM	YOUNG AMERICANS BANK	DENVER	CO	1	13,228	-490
499154	90040	NM	HOME LOAN STATE BANK	GRAND JUNCTION	CO	1	40,933	-306
2383882	12863	N	WELLS FARGO BANK GRAND JUNCTION-DOWNTOWN, NATIONAL ASSOCIATION	GRAND JUNCTION	CO	1	3,244	-8
2383903	19109	N	WELLS FARGO BANK GRAND JUNCTION, NATIONAL ASSOCIATION	GRAND JUNCTION	CO	1	3,404	-10
1439054	32836	NM	PRIME BANK	ORANGE	CT	1	46,225	47
1404940	27575	NM	BANK OF NEW CASTLE	NEW CASTLE	DE	1	16,583	153
368111	18664	NM	ADVANTA BANK	WILMINGTON	DE	1	43,475	-685
501039	12078	NM	GREENVILLE BANKING COMPANY, THE	GREENVILLE	GA	1	27,718	203
34836	11297	NM	WOODBURY BANKING COMPANY, THE	WOODBURY	GA	1	27,313	168
226734	19786	NM	PEOPLES STATE BANK	JEFFERSONVILLE	GA	1	27,074	-72
1007734	22205	NM	BARWICK BANKING COMPANY	BARWICK	GA	1	12,828	-117
2651899	34478	N	CEDAR HILL NATIONAL BANK	LAWRENCEVILLE	GA	1	11,357	720
2774707	34619	NM	ITS BANK	JOHNSTON	IA	1	5,171	2,005
824242	13774	NM	BENTON COUNTY STATE BANK	BLAIRSTOWN	IA	1	39,378	448
862945	19293	NM	CENTER POINT BANK AND TRUST COMPANY	CENTER POINT	IA	1	21,087	166
248147	9098	NM	NEW VIENNA SAVINGS BANK	NEW VIENNA	IA	1	28,049	343
191449	8516	NM	SWISHER TRUST & SAVINGS BANK	SWISHER	IA	1	38,460	241
287342	9300	NM	READLYN SAVINGS BANK, THE	READLYN	IA	1	43,997	709
311649	18958	NM	PINNACLE BANK SIOUX CITY	SIOUX CITY	IA	1	44,984	850
337247	9104	NM	AMERICAN SAVINGS BANK	TRIPOLI	IA	1	40,772	604
90047	13990	NM	PALO SAVINGS BANK	PALO	IA	1	31,841	466
